Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Composition
Be,Mn4 Be8,12,4.0,8.0,0.019233690792955505,0.0016028075660796254,0.004808422698238876,0.002404211349119438,Mn4 Be8
O,Mn7 O12,19,7.0,12.0,0.041625950347001006,0.0021908394919474216,0.005946564335285858,0.003468829195583417,Mn7 O12
Pd,Mn1 Pd1,2,1.0,1.0,0.07174180353473,0.035870901767365,0.07174180353473,0.07174180353473,Mn1 Pd1
Si,Mn30 Si52,82,30.0,52.0,0.289378753641385,0.0035290091907485975,0.009645958454712833,0.005564976031565096,Mn30 Si52
O,Mn1 O1,2,1.0,1.0,0.0051165867182252495,0.0025582933591126247,0.0051165867182252495,0.0051165867182252495,Mn1 O1
Au,Mn9 Au31,40,9.0,31.0,0.43304236363399845,0.010826059090849962,0.048115818181555386,0.01396910850432253,Mn9 Au31
Ta,Ta4 Mn8,12,8.0,8.0,0.03531526458551951,0.002942938715459959,0.004414408073189938,0.004414408073189938,Ta4 Mn8
B,Mn8 B8,16,8.0,8.0,0.020734556673018503,0.0012959097920636565,0.002591819584127313,0.002591819584127313,Mn8 B8
F,Mn6 F18,24,6.0,18.0,0.03190185930637306,0.001329244137765544,0.005316976551062176,0.0017723255170207254,Mn6 F18
Te,Mn4 Te4,8,4.0,4.0,0.0432649918389193,0.005408123979864912,0.010816247959729824,0.010816247959729824,Mn4 Te4
P,Mn2 P2,4,2.0,2.0,0.01265470337363385,0.0031636758434084623,0.006327351686816925,0.006327351686816925,Mn2 P2
H,Mn29 H2,31,29.0,2.0,0.10968749100137998,0.003538306161334838,0.0037823272759096543,0.05484374550068999,Mn29 H2
S,Mn2 S4,6,2.0,4.0,0.0170217398539506,0.0028369566423250996,0.0085108699269753,0.00425543496348765,Mn2 S4
Sb,Mn3 Sb2,5,3.0,2.0,0.017708173129353553,0.0035416346258707104,0.005902724376451184,0.008854086564676776,Mn3 Sb2
Pd,Mn2 Pd2,4,2.0,2.0,0.14179318916983025,0.03544829729245756,0.07089659458491512,0.07089659458491512,Mn2 Pd2
O,Mn2 O4,6,2.0,4.0,0.010714509531401753,0.0017857515885669588,0.0053572547657008765,0.0026786273828504382,Mn2 O4
Au,Mn2 Au6,8,2.0,6.0,0.0882767403845151,0.011034592548064388,0.04413837019225755,0.014712790064085851,Mn2 Au6
As,Mn4 As4,8,4.0,4.0,0.03050287623215049,0.0038128595290188114,0.007625719058037623,0.007625719058037623,Mn4 As4
O,Mn8 O16,24,8.0,16.0,0.031926907989499,0.0013302878328957917,0.003990863498687375,0.0019954317493436876,Mn8 O16
Au,Mn1 Au4,5,1.0,4.0,0.0469842463525891,0.009396849270517819,0.0469842463525891,0.011746061588147274,Mn1 Au4
Er,Er4 Mn8,12,8.0,8.0,0.030464254234564503,0.0025386878528803752,0.003808031779320563,0.003808031779320563,Er4 Mn8
O,Mn4 O8,12,4.0,8.0,0.014659491522516797,0.0012216242935430665,0.0036648728806291993,0.0018324364403145997,Mn4 O8
F,Mn4 F8,12,4.0,8.0,0.023380694469131,0.0019483912057609166,0.00584517361728275,0.002922586808641375,Mn4 F8
O,Mn32 O48,80,32.0,48.0,0.2063859989893255,0.002579824987366569,0.006449562468416422,0.0042997083122776145,Mn32 O48
F,Mn8 F32,40,8.0,32.0,0.04245329246848501,0.0010613323117121252,0.005306661558560626,0.0013266653896401566,Mn8 F32
Si,Mn16 Si28,44,16.0,28.0,0.15939636656069303,0.0036226446945612054,0.009962272910043314,0.005692727377167609,Mn16 Si28
Ge,Mn10 Ge6,16,10.0,6.0,0.060057182669810485,0.0037535739168631553,0.0060057182669810485,0.010009530444968414,Mn10 Ge6
Be,Mn6 Be2,8,6.0,2.0,0.019220224806562,0.00240252810082025,0.0032033708010936663,0.009610112403281,Mn6 Be2
C,Mn28 C12,40,28.0,12.0,0.101712806140075,0.0025428201535018747,0.0036326002192883927,0.008476067178339583,Mn28 C12
Ir,Mn2 Ir2,4,2.0,2.0,0.025910853497355738,0.006477713374338934,0.012955426748677869,0.012955426748677869,Mn2 Ir2
Er,Er2 Mn4,6,4.0,4.0,0.014910896943237002,0.0024851494905395004,0.0037277242358092506,0.0037277242358092506,Er2 Mn4
O,Mn2 O8,10,2.0,8.0,0.03834194513083175,0.003834194513083175,0.019170972565415875,0.004792743141353969,Mn2 O8
F,Mn4 F8,12,4.0,8.0,0.024393203993447903,0.002032766999453992,0.006098300998361976,0.003049150499180988,Mn4 F8
As,Mn6 As4,10,6.0,4.0,0.038827334096600996,0.0038827334096600994,0.006471222349433499,0.009706833524150249,Mn6 As4
F,Mn2 F8,10,2.0,8.0,0.01333771085829075,0.001333771085829075,0.006668855429145375,0.0016672138572863438,Mn2 F8
O,Mn8 O12,20,8.0,12.0,0.03906835158135549,0.0019534175790677745,0.004883543947669437,0.0032556959651129577,Mn8 O12
S,Mn1 S2,3,1.0,2.0,0.00622154022532065,0.00207384674177355,0.00622154022532065,0.003110770112660325,Mn1 S2
Pt,Mn6 Pt2,8,6.0,2.0,0.05199129084878101,0.006498911356097627,0.008665215141463503,0.025995645424390507,Mn6 Pt2
F,Mn2 F6,8,2.0,6.0,0.008448961945724202,0.0010561202432155252,0.004224480972862101,0.001408160324287367,Mn2 F6
Ga,Mn3 Ga1,4,3.0,1.0,0.014306069949274497,0.0035765174873186242,0.004768689983091499,0.014306069949274497,Mn3 Ga1
As,Mn6 As2,8,6.0,2.0,0.0377768780304575,0.004722109753807187,0.006296146338409583,0.01888843901522875,Mn6 As2
Si,Mn40 Si16,56,40.0,16.0,0.21480882884752994,0.003835871943705892,0.005370220721188248,0.013425551802970621,Mn40 Si16
O,Mn32 O48,80,32.0,48.0,0.17215678728227102,0.0021519598410283877,0.005379899602570969,0.0035865997350473127,Mn32 O48
Ga,Mn6 Ga2,8,6.0,2.0,0.026815490516613,0.003351936314576625,0.0044692484194355,0.0134077452583065,Mn6 Ga2
F,Mn6 F18,24,6.0,18.0,0.029130135962808647,0.001213755665117027,0.004855022660468108,0.0016183408868227025,Mn6 F18
B,Mn3 B4,7,3.0,4.0,0.0201544878612955,0.0028792125516136427,0.006718162620431833,0.005038621965323875,Mn3 B4
Br,Mn4 Br8,12,4.0,8.0,0.0375166380989459,0.0031263865082454914,0.009379159524736475,0.004689579762368237,Mn4 Br8
O,Mn12 O16,28,12.0,16.0,0.07868154703575801,0.0028100552512770717,0.006556795586313168,0.004917596689734876,Mn12 O16
O,Mn16 O56,72,16.0,56.0,0.011828055863074498,0.00016427855365381248,0.0007392534914421561,0.00021121528326918746,Mn16 O56
Be,Mn1 Be12,13,1.0,12.0,0.1085841643691545,0.0083526280283965,0.1085841643691545,0.009048680364096208,Mn1 Be12
P,Mn6 P24,30,6.0,24.0,0.07030513235011251,0.002343504411670417,0.011717522058352086,0.0029293805145880216,Mn6 P24
O,Mn2 O4,6,2.0,4.0,0.0063235327889271005,0.00105392213148785,0.0031617663944635502,0.0015808831972317751,Mn2 O4
O,Mn1 O1,2,1.0,1.0,0.003303670237336685,0.0016518351186683424,0.003303670237336685,0.003303670237336685,Mn1 O1
Co,Mn6 Co2,8,6.0,2.0,0.027278409193184,0.003409801149148,0.004546401532197333,0.013639204596592,Mn6 Co2
Pt,Mn1 Pt3,4,1.0,3.0,0.0369431793335217,0.009235794833380426,0.0369431793335217,0.012314393111173902,Mn1 Pt3
