Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Composition
Sb,Cu6 Sb2,8,6.0,2.0,0.06742354258072986,0.008427942822591232,0.011237257096788309,0.03371177129036493,Cu6 Sb2
Br,Cu2 Br2,4,2.0,2.0,0.0,0.0,0.0,0.0,Cu2 Br2
Ti,Ti16 Cu8,24,8.0,8.0,0.41411956169114555,0.017254981737131064,0.051764945211393194,0.051764945211393194,Ti16 Cu8
Li,Li2 Cu6,8,6.0,6.0,0.11395000445192849,0.014243750556491061,0.01899166740865475,0.01899166740865475,Li2 Cu6
Pt,Cu1 Pt3,4,1.0,3.0,0.013334829049768,0.003333707262442,0.013334829049768,0.004444943016589333,Cu1 Pt3
O,Cu8 O6,14,8.0,6.0,0.03849695970858305,0.0027497828363273608,0.004812119963572881,0.0064161599514305084,Cu8 O6
Te,Cu1 Te1,2,1.0,1.0,0.0079183302407923,0.00395916512039615,0.0079183302407923,0.0079183302407923,Cu1 Te1
In,In2 Cu2,4,2.0,2.0,0.035173598236084,0.008793399559021,0.017586799118042,0.017586799118042,In2 Cu2
O,Cu16 O24,40,16.0,24.0,0.07328553854867399,0.0018321384637168497,0.0045803461592921245,0.0030535641061947495,Cu16 O24
As,Cu6 As8,14,6.0,8.0,0.04466076916227075,0.0031900549401621963,0.007443461527045125,0.0055825961452838435,Cu6 As8
Mg,Mg3 Cu1,4,1.0,1.0,0.03893142422520986,0.009732856056302464,0.03893142422520986,0.03893142422520986,Mg3 Cu1
I,Cu2 I2,4,2.0,2.0,0.0086222370486398,0.00215555926215995,0.0043111185243199,0.0043111185243199,Cu2 I2
S,Cu1 S2,3,1.0,2.0,0.00435744717726195,0.0014524823924206502,0.00435744717726195,0.002178723588630975,Cu1 S2
La,La9 Cu36,45,36.0,36.0,0.5591888434894441,0.012426418744209869,0.015533023430262336,0.015533023430262336,La9 Cu36
O,Cu16 O16,32,16.0,16.0,0.07732100347045599,0.0024162813584517498,0.0048325627169034996,0.0048325627169034996,Cu16 O16
Se,Cu17 Se10,27,17.0,10.0,0.1186963652991405,0.004396161677745944,0.006982139135243559,0.01186963652991405,Cu17 Se10
Te,Cu3 Te2,5,3.0,2.0,0.022443035620784348,0.004488607124156869,0.0074810118735947825,0.011221517810392174,Cu3 Te2
Gd,Gd4 Cu24,28,24.0,24.0,0.303653316074598,0.0108447612883785,0.01265222150310825,0.01265222150310825,Gd4 Cu24
Zr,Zr4 Cu2,6,2.0,2.0,0.10365316713793452,0.017275527856322418,0.05182658356896726,0.05182658356896726,Zr4 Cu2
Tb,Tb6 Cu23,29,23.0,23.0,0.4408908208044505,0.015203131751877604,0.019169166121932632,0.019169166121932632,Tb6 Cu23
F,Cu1 F2,3,1.0,2.0,0.0016374629163466046,0.0005458209721155349,0.0016374629163466046,0.0008187314581733023,Cu1 F2
I,Cu16 I19,35,16.0,19.0,0.05027117807456599,0.0014363193735590282,0.0031419486296603745,0.0026458514776087363,Cu16 I19
S,Cu8 S4,12,8.0,4.0,0.05552165710814265,0.004626804759011887,0.006940207138517831,0.013880414277035662,Cu8 S4
F,Cu6 F2,8,6.0,2.0,0.04537650544790071,0.005672063180987588,0.0075627509079834515,0.022688252723950354,Cu6 F2
Hf,Hf1 Cu3,4,3.0,3.0,0.03782872064535886,0.009457180161339715,0.012609573548452954,0.012609573548452954,Hf1 Cu3
Au,Cu1 Au3,4,1.0,3.0,0.041406783781727595,0.010351695945431899,0.041406783781727595,0.013802261260575864,Cu1 Au3
Pd,Cu21 Pd7,28,21.0,7.0,0.43107541137325356,0.015395550406187628,0.0205274005415835,0.06158220162475051,Cu21 Pd7
Te,Cu2 Te2,4,2.0,2.0,0.01582404740470205,0.003956011851175513,0.007912023702351025,0.007912023702351025,Cu2 Te2
Mg,Mg15 Cu1,16,1.0,1.0,0.1805412379538245,0.011283827372114032,0.1805412379538245,0.1805412379538245,Mg15 Cu1
As,Cu6 As2,8,6.0,2.0,0.0604717528773198,0.007558969109664975,0.010078625479553299,0.0302358764386599,Cu6 As2
S,Cu6 S6,12,6.0,6.0,0.028777140760117004,0.0023980950633430836,0.004796190126686167,0.004796190126686167,Cu6 S6
Mg,Mg1 Cu3,4,3.0,3.0,0.040082299405655455,0.010020574851413864,0.013360766468551818,0.013360766468551818,Mg1 Cu3
I,Cu14 I19,33,14.0,19.0,0.0,0.0,0.0,0.0,Cu14 I19
N,Cu2 N2,4,2.0,2.0,0.012318304877056652,0.003079576219264163,0.006159152438528326,0.006159152438528326,Cu2 N2
Se,Cu2 Se1,3,2.0,1.0,0.016424046283655652,0.005474682094551884,0.008212023141827826,0.016424046283655652,Cu2 Se1
Ni,Cu3 Ni1,4,3.0,1.0,0.03739197252400485,0.009347993131001212,0.012463990841334949,0.03739197252400485,Cu3 Ni1
Te,Cu4 Te8,12,4.0,8.0,0.04034281130477676,0.0033619009420647297,0.01008570282619419,0.005042851413097095,Cu4 Te8
Se,Cu9 Se5,14,9.0,5.0,0.05569079917327031,0.003977914226662165,0.006187866574807812,0.011138159834654061,Cu9 Se5
Sc,Sc1 Cu3,4,3.0,3.0,0.0471155245269536,0.0117788811317384,0.015705174842317867,0.015705174842317867,Sc1 Cu3
Te,Cu4 Te2,6,4.0,2.0,0.02601305272496945,0.004335508787494909,0.006503263181242363,0.013006526362484725,Cu4 Te2
Zr,Zr1 Cu1,2,1.0,1.0,0.008382031539195,0.0041910157695975,0.008382031539195,0.008382031539195,Zr1 Cu1
In,In6 Cu2,8,2.0,2.0,0.05549867633647814,0.006937334542059768,0.02774933816823907,0.02774933816823907,In6 Cu2
Ga,Ga1 Cu2,3,2.0,2.0,0.030932441126783953,0.010310813708927984,0.015466220563391976,0.015466220563391976,Ga1 Cu2
Se,Cu75 Se78,153,75.0,78.0,0.36587841239863944,0.002391362172540127,0.004878378831981859,0.004690748876905634,Cu75 Se78
S,Cu4 S8,12,4.0,8.0,0.03012831222169405,0.002510692685141171,0.007532078055423512,0.003766039027711756,Cu4 S8
N,Cu3 N1,4,3.0,1.0,0.0181219399882798,0.00453048499706995,0.006040646662759933,0.0181219399882798,Cu3 N1
Pd,Cu16 Pd4,20,16.0,4.0,0.24287060333222152,0.012143530166611075,0.015179412708263845,0.06071765083305538,Cu16 Pd4
Ce,Ce4 Cu24,28,24.0,24.0,0.193406703598359,0.006907382271369964,0.008058612649931624,0.008058612649931624,Ce4 Cu24
I,Cu1 I1,2,1.0,1.0,0.005750501255924646,0.002875250627962323,0.005750501255924646,0.005750501255924646,Cu1 I1
Pd,Cu1 Pd1,2,1.0,1.0,0.0344473665420537,0.01722368327102685,0.0344473665420537,0.0344473665420537,Cu1 Pd1
O,Cu1 O2,3,1.0,2.0,0.0014738379558657498,0.0004912793186219166,0.0014738379558657498,0.0007369189779328749,Cu1 O2
N,Cu10 N3,13,10.0,3.0,0.0723742561353155,0.005567250471947347,0.007237425613531551,0.02412475204510517,Cu10 N3
S,Cu11 S20,31,11.0,20.0,0.051318060388167,0.0016554213028440966,0.004665278217106091,0.00256590301940835,Cu11 S20
Sb,Cu3 Sb1,4,3.0,1.0,0.022681336350440152,0.005670334087610038,0.0075604454501467175,0.022681336350440152,Cu3 Sb1
Te,Cu2 Te2,4,2.0,2.0,0.016226480945965852,0.004056620236491463,0.008113240472982926,0.008113240472982926,Cu2 Te2
Se,Cu13 Se8,21,13.0,8.0,0.089570051643788,0.0042652405544660954,0.006890003972599077,0.0111962564554735,Cu13 Se8
Zn,Zn1 Cu3,4,3.0,3.0,0.0397966701344163,0.009949167533604074,0.0132655567114721,0.0132655567114721,Zn1 Cu3
Zn,Zn1 Cu2,3,2.0,2.0,0.02920824117847115,0.009736080392823717,0.014604120589235575,0.014604120589235575,Zn1 Cu2
Fe,Fe3 Cu1,4,1.0,1.0,0.015175915131929799,0.0037939787829824496,0.015175915131929799,0.015175915131929799,Fe3 Cu1
Ge,Cu6 Ge2,8,6.0,2.0,0.07933891172047255,0.00991736396505907,0.013223151953412093,0.03966945586023628,Cu6 Ge2
Li,Li1 Cu3,4,3.0,3.0,0.05592825530823605,0.013982063827059013,0.018642751769412016,0.018642751769412016,Li1 Cu3
Er,Er1 Cu5,6,5.0,5.0,0.0728859313703188,0.012147655228386468,0.01457718627406376,0.01457718627406376,Er1 Cu5
O,Cu6 O8,14,6.0,8.0,0.018961270832503048,0.001354376488035932,0.003160211805417175,0.002370158854062881,Cu6 O8
N,Cu24 N8,32,24.0,8.0,0.154613385343531,0.004831668291985344,0.006442224389313792,0.019326673167941375,Cu24 N8
Zn,Zn1 Cu3,4,3.0,3.0,0.040109296286951396,0.010027324071737849,0.013369765428983799,0.013369765428983799,Zn1 Cu3
