Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Composition
Se,Mg1 Se1,2,1.0,1.0,0.009963117433379659,0.0049815587166898295,0.009963117433379659,0.009963117433379659,Mg1 Se1
I,Mg149 I1,150,149.0,1.0,1.3046760063466145,0.008697840042310763,0.0087562148076954,1.3046760063466145,Mg149 I1
Te,Mg2 Te2,4,2.0,2.0,0.0230131127307619,0.005753278182690475,0.01150655636538095,0.01150655636538095,Mg2 Te2
Ca,Ca6 Mg6,12,6.0,6.0,0.1536831827384592,0.012806931894871601,0.025613863789743202,0.025613863789743202,Ca6 Mg6
O,Mg12 O12,24,12.0,12.0,0.048705478607953004,0.002029394941998042,0.004058789883996084,0.004058789883996084,Mg12 O12
F,Mg2 F4,6,2.0,4.0,0.004808401298934249,0.0008014002164890415,0.0024042006494671246,0.0012021003247335623,Mg2 F4
Tl,Mg149 Tl1,150,149.0,1.0,1.337684304212715,0.008917895361418099,0.008977747008139025,1.337684304212715,Mg149 Tl1
B,Mg4 B16,20,4.0,16.0,0.10745574692530449,0.005372787346265224,0.026863936731326123,0.006715984182831531,Mg4 B16
Fe,Mg149 Fe1,150,149.0,1.0,1.4629598762818397,0.009753065841878931,0.009818522659609662,1.4629598762818397,Mg149 Fe1
Rh,Mg149 Rh1,150,149.0,1.0,1.5295610115488505,0.01019707341032567,0.010265510144623157,1.5295610115488505,Mg149 Rh1
F,Mg2 F4,6,2.0,4.0,0.004612856795866249,0.0007688094659777082,0.0023064283979331245,0.0011532141989665623,Mg2 F4
Ca,Ca6 Mg6,12,6.0,6.0,0.1458880388910778,0.012157336574256482,0.024314673148512964,0.024314673148512964,Ca6 Mg6
O,Mg4 O4,8,4.0,4.0,0.022083168770327052,0.0027603960962908815,0.005520792192581763,0.005520792192581763,Mg4 O4
Ca,Ca6 Mg6,12,6.0,6.0,0.14175406009468774,0.011812838341223979,0.023625676682447957,0.023625676682447957,Ca6 Mg6
P,Mg2 P8,10,2.0,8.0,0.022288820069922246,0.0022288820069922247,0.011144410034961123,0.0027861025087402807,Mg2 P8
H,Mg4 H8,12,4.0,8.0,0.05836552795240336,0.004863793996033613,0.01459138198810084,0.00729569099405042,Mg4 H8
Se,Mg1 Se1,2,1.0,1.0,0.005654648540638415,0.0028273242703192075,0.005654648540638415,0.005654648540638415,Mg1 Se1
P,Mg6 P4,10,6.0,4.0,0.052055190457334304,0.0052055190457334305,0.008675865076222384,0.013013797614333576,Mg6 P4
Ca,Ca8 Mg4,12,4.0,4.0,0.1570927065961958,0.013091058883016317,0.03927317664904895,0.03927317664904895,Ca8 Mg4
Ce,Ce2 Mg10,12,10.0,10.0,0.08915464836672227,0.007429554030560189,0.008915464836672226,0.008915464836672226,Ce2 Mg10
O,Mg8 O8,16,8.0,8.0,0.059195196416350994,0.003699699776021937,0.007399399552043874,0.007399399552043874,Mg8 O8
Bi,Mg149 Bi1,150,149.0,1.0,1.4340788396388735,0.00956052559759249,0.009624690198918614,1.4340788396388735,Mg149 Bi1
