cell_length,energy,E-dispersion
5.1325087546999999,-.25167796E+02,-1.43575
5.3825087546999999,-.25817350E+02,-1.18628
5.6325087546999999,-.25603159E+02,-0.99414
5.8825087546999999,-.24971631E+02,-0.84208
6.1325087546999999,-.24102764E+02,-0.72348
6.3825087546999999,-.23154493E+02,-0.63915
6.6325087546999999,-.22201573E+02,-0.58873
6.8825087546999999,-.21280522E+02,-0.56755
7.1325087546999999,-.20406678E+02,-0.56697
7.3825087546999999,-.19582800E+02,-0.57574
7.6325087546999999,-.18835330E+02,-0.62265
7.8825087546999999,-.18088888E+02,-0.63071
8.1325087546999999,-.17346250E+02,-0.60695
8.3825087546999999,-.16623222E+02,-0.56220
8.6325087546999999,-.15923909E+02,-0.50736
8.8825087546999999,-.15253881E+02,-0.45088
9.2325087546999995,-.14377870E+02,-0.38656
9.5825087546999992,-.13757847E+02,-0.52240
9.9325087547000006,-.13817503E+02,-1.28613
10.2825087547000003,-.13575249E+02,-1.70797
10.6325087546999999,-.12880991E+02,-1.63052
10.9825087546999995,-.12084702E+02,-1.41705
11.3325087546999992,-.11319044E+02,-1.19474
11.6825087547000006,-.10613529E+02,-0.99587
12.0325087547000003,-.99664399E+01,-0.82735
