Symbol,Structure,Total Sites,Zn Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Zn Sites,Diff per Counter Ion Sites,Composition
Ba,Ba2 Zn1,3,1.0,1.0,0.0380619833799916,0.012687327793330533,0.0380619833799916,0.0380619833799916,Ba2 Zn1
Ba,Ba2 Zn26,28,26.0,26.0,0.23023551596597447,0.008222696998784803,0.00885521215253748,0.00885521215253748,Ba2 Zn26
Ba,Ba2 Zn4,6,4.0,4.0,0.06792004138429285,0.011320006897382141,0.016980010346073212,0.016980010346073212,Ba2 Zn4
Ba,Ba2 Zn10,12,10.0,10.0,0.11140367350855102,0.009283639459045917,0.011140367350855102,0.011140367350855102,Ba2 Zn10
Ca,Ca10 Zn6,16,6.0,6.0,0.17554718461606247,0.010971699038503905,0.02925786410267708,0.02925786410267708,Ca10 Zn6
Ca,Ca2 Zn22,24,22.0,22.0,0.27897428157150295,0.011623928398812622,0.012680649162341044,0.012680649162341044,Ca2 Zn22
Ca,Ca2 Zn4,6,4.0,4.0,0.050032683957422705,0.00833878065957045,0.012508170989355676,0.012508170989355676,Ca2 Zn4
Ca,Ca1 Zn5,6,5.0,5.0,0.054469991723726505,0.009078331953954417,0.0108939983447453,0.0108939983447453,Ca1 Zn5
Ca,Ca2 Zn2,4,2.0,2.0,0.04714483686065584,0.01178620921516396,0.02357241843032792,0.02357241843032792,Ca2 Zn2
Ce,Ce2 Zn17,19,17.0,17.0,0.18494510457941601,0.009733952872600843,0.010879123798789178,0.010879123798789178,Ce2 Zn17
Ce,Ce3 Zn11,14,11.0,11.0,0.1123684709749299,0.008026319355352135,0.010215315543175445,0.010215315543175445,Ce3 Zn11
Ce,Ce6 Zn44,50,44.0,44.0,0.5055865479434791,0.010111730958869582,0.011490603362351798,0.011490603362351798,Ce6 Zn44
Ce,Ce2 Zn22,24,22.0,22.0,0.238557962218576,0.009939915092440667,0.010843543737208,0.010843543737208,Ce2 Zn22
Ce,Ce2 Zn4,6,4.0,4.0,0.03849502907381931,0.006415838178969885,0.009623757268454828,0.009623757268454828,Ce2 Zn4
Ce,Ce4 Zn12,16,12.0,12.0,0.08269952735004449,0.0051687204593777805,0.006891627279170374,0.006891627279170374,Ce4 Zn12
Dy,Dy2 Zn17,19,17.0,17.0,0.2607445430001675,0.013723397000008814,0.015337914294127498,0.015337914294127498,Dy2 Zn17
Dy,Dy3 Zn11,14,11.0,11.0,0.187986242759757,0.013427588768554072,0.01708965843270518,0.01708965843270518,Dy3 Zn11
Dy,Dy1 Zn12,13,12.0,12.0,0.16779607287648401,0.012907390221268002,0.013983006073040335,0.013983006073040335,Dy1 Zn12
Dy,Dy2 Zn4,6,4.0,4.0,0.08238350684468446,0.013730584474114077,0.020595876711171114,0.020595876711171114,Dy2 Zn4
Dy,Dy4 Zn12,16,12.0,12.0,0.2410700932139775,0.015066880825873593,0.020089174434498123,0.020089174434498123,Dy4 Zn12
Dy,Dy1 Zn5,6,5.0,5.0,0.0654977274913692,0.0109162879152282,0.01309954549827384,0.01309954549827384,Dy1 Zn5
Dy,Dy1 Zn1,2,1.0,1.0,0.039459824925827,0.0197299124629135,0.039459824925827,0.039459824925827,Dy1 Zn1
Er,Er2 Zn17,19,17.0,17.0,0.2633176129134945,0.013858821732289183,0.015489271347852617,0.015489271347852617,Er2 Zn17
Er,Er1 Zn12,13,12.0,12.0,0.16945336246881348,0.013034874036062575,0.01412111353906779,0.01412111353906779,Er1 Zn12
Er,Er2 Zn4,6,4.0,4.0,0.09701335518433402,0.016168892530722335,0.024253338796083504,0.024253338796083504,Er2 Zn4
Er,Er4 Zn12,16,12.0,12.0,0.24778407305902497,0.01548650456618906,0.02064867275491875,0.02064867275491875,Er4 Zn12
Er,Er1 Zn1,2,1.0,1.0,0.041748913893287554,0.020874456946643777,0.041748913893287554,0.041748913893287554,Er1 Zn1
Eu,Eu2 Zn22,24,22.0,22.0,0.3081708230319295,0.012840450959663728,0.014007764683269523,0.014007764683269523,Eu2 Zn22
Eu,Eu2 Zn4,6,4.0,4.0,0.09926474217688946,0.016544123696148244,0.024816185544222366,0.024816185544222366,Eu2 Zn4
Eu,Eu1 Zn5,6,5.0,5.0,0.06281021267317219,0.010468368778862031,0.012562042534634438,0.012562042534634438,Eu1 Zn5
Eu,Eu1 Zn1,2,1.0,1.0,0.03668080097300075,0.018340400486500374,0.03668080097300075,0.03668080097300075,Eu1 Zn1
Gd,Gd2 Zn17,19,17.0,17.0,0.1638276429349445,0.008622507522891816,0.009636920172643795,0.009636920172643795,Gd2 Zn17
Gd,Gd2 Zn4,6,4.0,4.0,0.057089477592607046,0.009514912932101174,0.014272369398151762,0.014272369398151762,Gd2 Zn4
Gd,Gd1 Zn1,2,1.0,1.0,0.0274097100840369,0.01370485504201845,0.0274097100840369,0.0274097100840369,Gd1 Zn1
Hf,Hf2 Zn1,3,1.0,1.0,0.0438968091050061,0.0146322697016687,0.0438968091050061,0.0438968091050061,Hf2 Zn1
Hf,Hf2 Zn4,6,4.0,4.0,0.0814210446933547,0.013570174115559117,0.020355261173338676,0.020355261173338676,Hf2 Zn4
Ho,Ho26 Zn116,142,116.0,116.0,1.289725577578355,0.009082574489988416,0.011118323944640992,0.011118323944640992,Ho26 Zn116
Ho,Ho2 Zn17,19,17.0,17.0,0.2633232659252085,0.0138591192592215,0.01548960387795344,0.01548960387795344,Ho2 Zn17
Ho,Ho1 Zn12,13,12.0,12.0,0.16843361319662598,0.012956431784355845,0.014036134433052164,0.014036134433052164,Ho1 Zn12
Ho,Ho2 Zn4,6,4.0,4.0,0.0810206448731653,0.013503440812194218,0.020255161218291327,0.020255161218291327,Ho2 Zn4
Ho,Ho4 Zn12,16,12.0,12.0,0.23836054376647048,0.014897533985404405,0.019863378647205873,0.019863378647205873,Ho4 Zn12
Ho,Ho1 Zn1,2,1.0,1.0,0.03787779089732605,0.018938895448663024,0.03787779089732605,0.03787779089732605,Ho1 Zn1
K,K2 Zn26,28,26.0,26.0,0.2137665513697285,0.007634519691776018,0.00822179043729725,0.00822179043729725,K2 Zn26
La,La2 Zn17,19,17.0,17.0,0.255115373358197,0.013427124913589316,0.015006786668129235,0.015006786668129235,La2 Zn17
La,La6 Zn44,50,44.0,44.0,0.6902473828743745,0.01380494765748749,0.015687440519872146,0.015687440519872146,La6 Zn44
La,La2 Zn22,24,22.0,22.0,0.3043275853630945,0.012680316056795605,0.013833072061958841,0.013833072061958841,La2 Zn22
