Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,,Result
Zn,65.4,139,1.65,9.394,0,38.67,0.013213921919247466,0.013213921919247466,102,102,0.013213921919247466,,13.21392192
Zn,65.4,139,1.65,9.394,0,38.67,0.016370318859506707,0.016370318859506707,8,8,0.016370318859506707,,16.37031886
Zn,65.4,139,1.65,9.394,0,38.67,0.018938895448663024,0.018938895448663024,1,1,0.018938895448663024,,18.93889545
Cu,63.55,140,1.9,7.726,1.228,46.5,0.007877632,0.007877632,16,10,0.007877632,,7.877632042
Zn,65.4,139,1.65,9.394,0,38.67,0.006994757,0.006994757,16,16,0.006994757,,6.994757483
Zn,65.4,139,1.65,9.394,0,38.67,0.010971699038503905,0.010971699038503905,6,6,0.010971699038503905,,10.97169904
Pt,195.08,209,2.28,9,2.128,48,0.013124473810946648,0.013124473810946648,49,29,0.013124473810946648,,13.12447381
Pd,106.42,202,2.2,8.337,0.557,26.14,0.024127292,0.024127292,2,2,0.024127292,,24.12729229
Zn,65.4,139,1.65,9.394,0,38.67,0.016701537,0.016701537,1,1,0.016701537,,16.70153739
Zn,65.4,139,1.65,9.394,0,38.67,0.014897533985404405,0.014897533985404405,12,12,0.014897533985404405,,14.89753399
Zn,65.4,139,1.65,9.394,0,38.67,0.012794291572985133,0.012794291572985133,17,17,0.012794291572985133,,12.79429157
Zn,65.4,139,1.65,9.394,0,38.67,0.013803124192601447,0.013803124192601447,17,17,0.013803124192601447,,13.80312419
S,32.07,180,2.58,10.36,2.077,19.4,0.002662137,0.002662137,28,28,0.002662137,,2.662137362
Au,196.96657,166,2.54,9.226,2.309,36.06,0.010625893691975405,0.010625893691975405,8,24,0.010625893691975405,,10.62589369
Zn,65.4,139,1.65,9.394,0,38.67,0.020684894739567927,0.020684894739567927,1,1,0.020684894739567927,,20.68489474
Zn,65.4,139,1.65,9.394,0,38.67,0.013068586790231764,0.013068586790231764,32,32,0.013068586790231764,,13.06858679
Zn,65.4,139,1.65,9.394,0,38.67,0.009207854,0.009207854,44,44,0.009207854,,9.207853876
Zn,65.4,139,1.65,9.394,0,38.67,0.012907390221268002,0.012907390221268002,12,12,0.012907390221268002,,12.90739022
Zn,65.4,139,1.65,9.394,0,38.67,0.019448648325720026,0.019448648325720026,1,1,0.019448648325720026,,19.44864833
Zn,65.4,139,1.65,9.394,0,38.67,0.014292296018683592,0.014292296018683592,12,12,0.014292296018683592,,14.29229602
Ni,58.693,163,1.91,7.64,1.156,49,0.014168631183792274,0.014168631183792274,2,2,0.014168631183792274,,14.16863118
Zn,65.4,139,1.65,9.394,0,38.67,0.00763452,0.00763452,26,26,0.00763452,,7.634519692
