Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Dy,162.5,229.0,1.22,5.939,,163.0,0.013427588768554072,0.01708965843270518,11.0,11.0,0.01708965843270518,Immm,71,14,Dy3Zn11
Dy,162.5,229.0,1.22,5.939,,163.0,0.012907390221268002,0.013983006073040335,12.0,12.0,0.013983006073040335,I4/mmm,139,13,DyZn12
Dy,162.5,229.0,1.22,5.939,,163.0,0.013730584474114077,0.020595876711171114,4.0,4.0,0.020595876711171114,Imma,74,6,DyZn2
Dy,162.5,229.0,1.22,5.939,,163.0,0.015066880825873593,0.020089174434498123,12.0,12.0,0.020089174434498123,Pnma,62,16,DyZn3
Dy,162.5,229.0,1.22,5.939,,163.0,0.0109162879152282,0.01309954549827384,5.0,5.0,0.01309954549827384,P6/mmm,191,6,DyZn5
Dy,162.5,229.0,1.22,5.939,,163.0,0.0197299124629135,0.039459824925827,1.0,1.0,0.039459824925827,Pm-3m,221,2,DyZn
Er,167.26,235.0,1.24,6.108,,150.0,0.013858821732289183,0.015489271347852617,17.0,17.0,0.015489271347852617,R-3m,166,19,Er2Zn17
Er,167.26,235.0,1.24,6.108,,150.0,0.013034874036062575,0.01412111353906779,12.0,12.0,0.01412111353906779,I4/mmm,139,13,ErZn12
Er,167.26,235.0,1.24,6.108,,150.0,0.016168892530722335,0.024253338796083504,4.0,4.0,0.024253338796083504,Imma,74,6,ErZn2
Er,167.26,235.0,1.24,6.108,,150.0,0.01548650456618906,0.02064867275491875,12.0,12.0,0.02064867275491875,Pnma,62,16,ErZn3
Er,167.26,235.0,1.24,6.108,,150.0,0.020874456946643777,0.041748913893287554,1.0,1.0,0.041748913893287554,Pm-3m,221,2,ErZn
Eu,151.964,233.0,,5.67,,184.0,0.012840450959663728,0.014007764683269523,22.0,22.0,0.014007764683269523,C2/m,12,24,EuZn11
Eu,151.964,233.0,,5.67,,184.0,0.016544123696148244,0.024816185544222366,4.0,4.0,0.024816185544222366,Imma,74,6,EuZn2
Eu,151.964,233.0,,5.67,,184.0,0.010468368778862031,0.012562042534634438,5.0,5.0,0.012562042534634438,P6/mmm,191,6,EuZn5
Eu,151.964,233.0,,5.67,,184.0,0.018340400486500374,0.03668080097300075,1.0,1.0,0.03668080097300075,Pm-3m,221,2,EuZn
Gd,157.25,237.0,1.2,6.15,,158.0,0.008622507522891816,0.009636920172643795,17.0,17.0,0.009636920172643795,R-3m,166,19,Gd2Zn17
Gd,157.25,237.0,1.2,6.15,,158.0,0.009514912932101174,0.014272369398151762,4.0,4.0,0.014272369398151762,Imma,74,6,GdZn2
Gd,157.25,237.0,1.2,6.15,,158.0,0.01370485504201845,0.0274097100840369,1.0,1.0,0.0274097100840369,Pm-3m,221,2,GdZn
Hf,178.49,212.0,1.3,6.825,,103.0,0.0146322697016687,0.0438968091050061,1.0,1.0,0.0438968091050061,I4/mmm,139,3,Hf2Zn
Hf,178.49,212.0,1.3,6.825,,103.0,0.013570174115559117,0.020355261173338676,4.0,4.0,0.020355261173338676,Fd-3m,227,6,HfZn2
Ho,164.93033,216.0,1.23,6.022,,156.0,0.009082574489988416,0.011118323944640992,116.0,116.0,0.011118323944640992,P6_3/mmc,194,142,Ho13Zn58
Ho,164.93033,216.0,1.23,6.022,,156.0,0.0138591192592215,0.01548960387795344,17.0,17.0,0.01548960387795344,R-3m,166,19,Ho2Zn17
Ho,164.93033,216.0,1.23,6.022,,156.0,0.012956431784355845,0.014036134433052164,12.0,12.0,0.014036134433052164,I4/mmm,139,13,HoZn12
Ho,164.93033,216.0,1.23,6.022,,156.0,0.013503440812194218,0.020255161218291327,4.0,4.0,0.020255161218291327,Imma,74,6,HoZn2
Ho,164.93033,216.0,1.23,6.022,,156.0,0.014897533985404405,0.019863378647205873,12.0,12.0,0.019863378647205873,Pnma,62,16,HoZn3
Ho,164.93033,216.0,1.23,6.022,,156.0,0.018938895448663024,0.03787779089732605,1.0,1.0,0.03787779089732605,Pm-3m,221,2,HoZn
K,39.0983,275.0,0.82,4.341,0.501,289.7,0.007634519691776018,0.00822179043729725,26.0,26.0,0.00822179043729725,Fm-3c,226,28,KZn13
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.013427124913589316,0.015006786668129235,17.0,17.0,0.015006786668129235,R-3m,166,19,La2Zn17
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.01380494765748749,0.015687440519872146,44.0,44.0,0.015687440519872146,C2/c,15,50,La3Zn22
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.012680316056795605,0.013833072061958841,22.0,22.0,0.013833072061958841,C2/m,12,24,LaZn11
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.012593184428923269,0.01356189092345583,26.0,26.0,0.01356189092345583,Fm-3c,226,28,LaZn13
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.015059243616191367,0.02258886542428705,4.0,4.0,0.02258886542428705,Imma,74,6,LaZn2
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.01339190865524662,0.016739885819058276,8.0,8.0,0.016739885819058276,Cmcm,63,10,LaZn4
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.017301346910428048,0.034602693820856095,1.0,1.0,0.034602693820856095,Pm-3m,221,2,LaZn
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.01251044979803424,0.02502089959606848,2.0,2.0,0.02502089959606848,Fd-3m,227,4,LiZn
Lu,174.9667,221.0,1.27,5.426,,137.0,0.009529162929909159,0.010650240921663178,17.0,17.0,0.010650240921663178,R-3m,166,19,Lu2Zn17
Lu,174.9667,221.0,1.27,5.426,,137.0,0.012343068220232385,0.013371657238585084,12.0,12.0,0.013371657238585084,I4/mmm,139,13,LuZn12
Lu,174.9667,221.0,1.27,5.426,,137.0,0.01378634555610568,0.02067951833415852,4.0,4.0,0.02067951833415852,Imma,74,6,LuZn2
Lu,174.9667,221.0,1.27,5.426,,137.0,0.013741602443875532,0.018322136591834043,12.0,12.0,0.018322136591834043,Pnma,62,16,LuZn3
Lu,174.9667,221.0,1.27,5.426,,137.0,0.017507730695642022,0.035015461391284045,1.0,1.0,0.035015461391284045,Pm-3m,221,2,LuZn
Mg,24.305,173.0,1.31,7.646,,71.2,0.012287136687178924,0.022608331504409218,50.0,50.0,0.022608331504409218,R-3c,167,92,Mg21Zn25
Mg,24.305,173.0,1.31,7.646,,71.2,0.010763576154845717,0.012720590001181302,33.0,33.0,0.012720590001181302,Pm-3,200,39,Mg2Zn11
Mg,24.305,173.0,1.31,7.646,,71.2,0.01178517365781643,0.018519558605140103,35.0,35.0,0.018519558605140103,P1,1,55,Mg4Zn7
Mg,24.305,173.0,1.31,7.646,,71.2,0.011743128948496056,0.017614693422744084,8.0,8.0,0.017614693422744084,P6_3/mmc,194,12,MgZn2
Mn,54.93804,197.0,1.55,7.434,,68.0,0.003640601970777763,0.004854135961037017,3.0,3.0,0.004854135961037017,Pm-3m,221,4,MnZn3
