-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   56 Ba         0.0159    5685.1578 1759450.9377
     2   12 Mg         0.0053     676.9766   60610.9256
     3   12 Mg         0.0052     676.9776   60611.0115
     4   12 Mg         0.0052     676.9776   60611.0114
     5   12 Mg         0.0058     676.9492   60608.4698
     6   12 Mg         0.0058     676.9492   60608.4700
     7   12 Mg         0.0053     676.9766   60610.9256
     8   12 Mg         0.0053     676.9766   60610.9257
     9   12 Mg         0.0054     676.9710   60610.4181
    10   12 Mg         0.0054     676.9710   60610.4181
    11   12 Mg         0.0054     676.9712   60610.4359
    12   12 Mg         0.0054     676.9710   60610.4180
    13   12 Mg         0.0054     676.9710   60610.4181
    14   12 Mg         0.0052     676.9776   60611.0115
    15   12 Mg         0.0053     676.9726   60610.5677
    16   12 Mg         0.0053     676.9726   60610.5679
    17   12 Mg         0.0058     676.9492   60608.4698
    18   12 Mg         0.0058     676.9492   60608.4699
    19   12 Mg         0.0054     676.9712   60610.4358
    20   12 Mg         0.0054     676.9712   60610.4357
    21   12 Mg         0.0053     676.9726   60610.5678
    22   12 Mg         0.0058     676.9492   60608.4698
    23   12 Mg         0.0058     676.9492   60608.4697
    24   12 Mg         0.0054     676.9710   60610.4180
    25   12 Mg         0.0054     676.9710   60610.4180
    26   12 Mg         0.0051     676.9849   60611.6651
    27   12 Mg         0.0051     676.9849   60611.6649
    28   12 Mg         0.0051     676.9849   60611.6651
    29   12 Mg         0.0051     676.9824   60611.4383
    30   12 Mg         0.0051     676.9825   60611.4523
    31   12 Mg         0.0051     676.9825   60611.4524
    32   12 Mg         0.0051     676.9825   60611.4524
    33   12 Mg         0.0051     676.9825   60611.4524
    34   12 Mg         0.0051     676.9825   60611.4523
    35   12 Mg         0.0051     676.9825   60611.4524
    36   12 Mg         0.0053     676.9734   60610.6356
    37   12 Mg         0.0053     676.9734   60610.6355
    38   12 Mg         0.0053     676.9734   60610.6355
    39   12 Mg         0.0053     676.9753   60610.8082
    40   12 Mg         0.0053     676.9753   60610.8081
    41   12 Mg         0.0053     676.9753   60610.8081
    42   12 Mg         0.0053     676.9743   60610.7159
    43   12 Mg         0.0053     676.9743   60610.7159
    44   12 Mg         0.0053     676.9743   60610.7158
    45   12 Mg         0.0053     676.9743   60610.7158
    46   12 Mg         0.0053     676.9743   60610.7159
    47   12 Mg         0.0053     676.9743   60610.7157
    48   12 Mg         0.0059     676.9458   60608.1646
    49   12 Mg         0.0059     676.9458   60608.1645
    50   12 Mg         0.0059     676.9458   60608.1646
    51   12 Mg         0.0052     676.9807   60611.2943
    52   12 Mg         0.0052     676.9807   60611.2943
    53   12 Mg         0.0052     676.9807   60611.2944
    54   12 Mg         0.0052     676.9813   60611.3481
    55   12 Mg         0.0052     676.9813   60611.3480
    56   12 Mg         0.0052     676.9813   60611.3481
    57   12 Mg         0.0052     676.9777   60611.0176
    58   12 Mg         0.0052     676.9777   60611.0175
    59   12 Mg         0.0052     676.9777   60611.0174
    60   12 Mg         0.0053     676.9769   60610.9499
    61   12 Mg         0.0053     676.9769   60610.9500
    62   12 Mg         0.0053     676.9769   60610.9500
    63   12 Mg         0.0053     676.9769   60610.9500
    64   12 Mg         0.0053     676.9769   60610.9500
    65   12 Mg         0.0053     676.9769   60610.9500
    66   12 Mg         0.0053     676.9768   60610.9431
    67   12 Mg         0.0053     676.9768   60610.9429
    68   12 Mg         0.0053     676.9768   60610.9430
    69   12 Mg         0.0052     676.9788   60611.1231
    70   12 Mg         0.0053     676.9754   60610.8158
    71   12 Mg         0.0053     676.9754   60610.8158
    72   12 Mg         0.0053     676.9754   60610.8158
    73   12 Mg         0.0053     676.9754   60610.8158
    74   12 Mg         0.0053     676.9754   60610.8158
    75   12 Mg         0.0053     676.9754   60610.8159
    76   12 Mg         0.0052     676.9791   60611.1489
    77   12 Mg         0.0053     676.9767   60610.9293
    78   12 Mg         0.0053     676.9767   60610.9294
    79   12 Mg         0.0052     676.9802   60611.2478
    80   12 Mg         0.0052     676.9802   60611.2478
    81   12 Mg         0.0052     676.9802   60611.2478
    82   12 Mg         0.0052     676.9802   60611.2477
    83   12 Mg         0.0052     676.9793   60611.1657
    84   12 Mg         0.0053     676.9768   60610.9384
    85   12 Mg         0.0053     676.9768   60610.9386
    86   12 Mg         0.0052     676.9802   60611.2478
    87   12 Mg         0.0052     676.9802   60611.2477
    88   12 Mg         0.0052     676.9780   60611.0485
    89   12 Mg         0.0052     676.9780   60611.0485
    90   12 Mg         0.0052     676.9773   60610.9857
    91   12 Mg         0.0053     676.9767   60610.9295
    92   12 Mg         0.0053     676.9768   60610.9387
    93   12 Mg         0.0053     676.9768   60610.9384
    94   12 Mg         0.0052     676.9773   60610.9858
    95   12 Mg         0.0052     676.9773   60610.9855
    96   12 Mg         0.0053     676.9768   60610.9385
    97   12 Mg         0.0053     676.9768   60610.9385
    98   12 Mg         0.0052     676.9791   60611.1491
    99   12 Mg         0.0052     676.9791   60611.1490
   100   12 Mg         0.0052     676.9780   60611.0483
   101   12 Mg         0.0053     676.9754   60610.8159
   102   12 Mg         0.0053     676.9754   60610.8159
   103   12 Mg         0.0053     676.9754   60610.8158
   104   12 Mg         0.0053     676.9754   60610.8159
   105   12 Mg         0.0053     676.9754   60610.8159
   106   12 Mg         0.0053     676.9754   60610.8159
   107   12 Mg         0.0052     676.9788   60611.1231
   108   12 Mg         0.0053     676.9768   60610.9432
   109   12 Mg         0.0053     676.9768   60610.9431
   110   12 Mg         0.0053     676.9768   60610.9431
   111   12 Mg         0.0053     676.9769   60610.9500
   112   12 Mg         0.0053     676.9769   60610.9501
   113   12 Mg         0.0053     676.9769   60610.9501
   114   12 Mg         0.0053     676.9769   60610.9501
   115   12 Mg         0.0053     676.9769   60610.9501
   116   12 Mg         0.0053     676.9769   60610.9501
   117   12 Mg         0.0052     676.9777   60611.0176
   118   12 Mg         0.0052     676.9777   60611.0175
   119   12 Mg         0.0052     676.9777   60611.0175
   120   12 Mg         0.0052     676.9813   60611.3482
   121   12 Mg         0.0052     676.9813   60611.3482
   122   12 Mg         0.0052     676.9813   60611.3483
   123   12 Mg         0.0052     676.9807   60611.2944
   124   12 Mg         0.0052     676.9807   60611.2944
   125   12 Mg         0.0052     676.9807   60611.2945
   126   12 Mg         0.0059     676.9458   60608.1646
   127   12 Mg         0.0059     676.9458   60608.1645
   128   12 Mg         0.0059     676.9458   60608.1646
   129   12 Mg         0.0053     676.9743   60610.7159
   130   12 Mg         0.0053     676.9743   60610.7159
   131   12 Mg         0.0053     676.9743   60610.7158
   132   12 Mg         0.0053     676.9743   60610.7158
   133   12 Mg         0.0053     676.9743   60610.7159
   134   12 Mg         0.0053     676.9743   60610.7157
   135   12 Mg         0.0053     676.9753   60610.8082
   136   12 Mg         0.0053     676.9753   60610.8081
   137   12 Mg         0.0053     676.9753   60610.8081
   138   12 Mg         0.0053     676.9734   60610.6356
   139   12 Mg         0.0053     676.9734   60610.6355
   140   12 Mg         0.0053     676.9734   60610.6355
   141   12 Mg         0.0051     676.9825   60611.4523
   142   12 Mg         0.0051     676.9825   60611.4523
   143   12 Mg         0.0051     676.9825   60611.4523
   144   12 Mg         0.0051     676.9825   60611.4524
   145   12 Mg         0.0051     676.9825   60611.4523
   146   12 Mg         0.0051     676.9825   60611.4523
   147   12 Mg         0.0051     676.9824   60611.4383
