-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   56 Ba         0.0322    5679.6202 1757737.1735
     2   12 Mg         0.0098     676.7566   60591.2229
     3   12 Mg         0.0097     676.7585   60591.3919
     4   12 Mg         0.0097     676.7584   60591.3917
     5   12 Mg         0.0111     676.6915   60585.3968
     6   12 Mg         0.0111     676.6915   60585.3972
     7   12 Mg         0.0098     676.7566   60591.2229
     8   12 Mg         0.0098     676.7566   60591.2230
     9   12 Mg         0.0100     676.7444   60590.1383
    10   12 Mg         0.0100     676.7444   60590.1382
    11   12 Mg         0.0100     676.7448   60590.1711
    12   12 Mg         0.0100     676.7444   60590.1379
    13   12 Mg         0.0100     676.7444   60590.1381
    14   12 Mg         0.0097     676.7585   60591.3919
    15   12 Mg         0.0099     676.7480   60590.4523
    16   12 Mg         0.0099     676.7480   60590.4527
    17   12 Mg         0.0111     676.6915   60585.3969
    18   12 Mg         0.0111     676.6915   60585.3971
    19   12 Mg         0.0100     676.7448   60590.1710
    20   12 Mg         0.0100     676.7448   60590.1707
    21   12 Mg         0.0099     676.7480   60590.4524
    22   12 Mg         0.0111     676.6915   60585.3969
    23   12 Mg         0.0111     676.6915   60585.3967
    24   12 Mg         0.0100     676.7444   60590.1380
    25   12 Mg         0.0100     676.7444   60590.1379
    26   12 Mg         0.0094     676.7746   60592.8421
    27   12 Mg         0.0094     676.7746   60592.8418
    28   12 Mg         0.0094     676.7746   60592.8420
    29   12 Mg         0.0095     676.7687   60592.3124
    30   12 Mg         0.0095     676.7694   60592.3706
    31   12 Mg         0.0095     676.7694   60592.3707
    32   12 Mg         0.0095     676.7694   60592.3707
    33   12 Mg         0.0095     676.7694   60592.3707
    34   12 Mg         0.0095     676.7694   60592.3706
    35   12 Mg         0.0095     676.7694   60592.3707
    36   12 Mg         0.0099     676.7500   60590.6322
    37   12 Mg         0.0099     676.7500   60590.6320
    38   12 Mg         0.0099     676.7500   60590.6320
    39   12 Mg         0.0098     676.7539   60590.9851
    40   12 Mg         0.0098     676.7539   60590.9849
    41   12 Mg         0.0098     676.7539   60590.9849
    42   12 Mg         0.0099     676.7517   60590.7840
    43   12 Mg         0.0099     676.7517   60590.7840
    44   12 Mg         0.0099     676.7517   60590.7837
    45   12 Mg         0.0099     676.7517   60590.7837
    46   12 Mg         0.0099     676.7517   60590.7839
    47   12 Mg         0.0099     676.7517   60590.7836
    48   12 Mg         0.0112     676.6852   60584.8311
    49   12 Mg         0.0112     676.6852   60584.8310
    50   12 Mg         0.0112     676.6852   60584.8312
    51   12 Mg         0.0096     676.7654   60592.0117
    52   12 Mg         0.0096     676.7654   60592.0115
    53   12 Mg         0.0096     676.7654   60592.0117
    54   12 Mg         0.0096     676.7665   60592.1167
    55   12 Mg         0.0096     676.7665   60592.1166
    56   12 Mg         0.0096     676.7665   60592.1168
    57   12 Mg         0.0097     676.7589   60591.4356
    58   12 Mg         0.0097     676.7589   60591.4353
    59   12 Mg         0.0097     676.7589   60591.4352
    60   12 Mg         0.0098     676.7570   60591.2614
    61   12 Mg         0.0098     676.7570   60591.2616
    62   12 Mg         0.0098     676.7570   60591.2617
    63   12 Mg         0.0098     676.7570   60591.2617
    64   12 Mg         0.0098     676.7570   60591.2617
    65   12 Mg         0.0098     676.7570   60591.2616
    66   12 Mg         0.0098     676.7576   60591.3147
    67   12 Mg         0.0098     676.7576   60591.3144
    68   12 Mg         0.0098     676.7576   60591.3145
    69   12 Mg         0.0097     676.7616   60591.6732
    70   12 Mg         0.0098     676.7535   60590.9497
    71   12 Mg         0.0098     676.7535   60590.9497
    72   12 Mg         0.0098     676.7535   60590.9496
    73   12 Mg         0.0098     676.7535   60590.9498
    74   12 Mg         0.0098     676.7535   60590.9498
    75   12 Mg         0.0098     676.7535   60590.9498
