-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   56 Ba         0.0105    5686.8500 1759974.6421
     2   12 Mg         0.0036     677.0534   60617.7998
     3   12 Mg         0.0036     677.0540   60617.8518
     4   12 Mg         0.0036     677.0540   60617.8518
     5   12 Mg         0.0040     677.0365   60616.2876
     6   12 Mg         0.0040     677.0365   60616.2878
     7   12 Mg         0.0036     677.0534   60617.7998
     8   12 Mg         0.0036     677.0534   60617.7998
     9   12 Mg         0.0037     677.0498   60617.4726
    10   12 Mg         0.0037     677.0498   60617.4726
    11   12 Mg         0.0037     677.0498   60617.4797
    12   12 Mg         0.0037     677.0498   60617.4725
    13   12 Mg         0.0037     677.0498   60617.4726
    14   12 Mg         0.0036     677.0540   60617.8518
    15   12 Mg         0.0037     677.0508   60617.5644
    16   12 Mg         0.0037     677.0508   60617.5645
    17   12 Mg         0.0040     677.0365   60616.2877
    18   12 Mg         0.0040     677.0365   60616.2877
    19   12 Mg         0.0037     677.0498   60617.4797
    20   12 Mg         0.0037     677.0498   60617.4796
    21   12 Mg         0.0037     677.0508   60617.5645
    22   12 Mg         0.0040     677.0365   60616.2877
    23   12 Mg         0.0040     677.0365   60616.2876
    24   12 Mg         0.0037     677.0498   60617.4725
    25   12 Mg         0.0037     677.0498   60617.4725
    26   12 Mg         0.0035     677.0586   60618.2653
    27   12 Mg         0.0035     677.0586   60618.2652
    28   12 Mg         0.0035     677.0586   60618.2653
    29   12 Mg         0.0036     677.0571   60618.1296
    30   12 Mg         0.0036     677.0572   60618.1353
    31   12 Mg         0.0036     677.0572   60618.1353
    32   12 Mg         0.0036     677.0572   60618.1353
    33   12 Mg         0.0036     677.0572   60618.1354
    34   12 Mg         0.0036     677.0572   60618.1353
    35   12 Mg         0.0036     677.0572   60618.1353
    36   12 Mg         0.0037     677.0515   60617.6277
    37   12 Mg         0.0037     677.0515   60617.6276
    38   12 Mg         0.0037     677.0515   60617.6276
    39   12 Mg         0.0037     677.0525   60617.7217
    40   12 Mg         0.0037     677.0525   60617.7216
    41   12 Mg         0.0037     677.0525   60617.7216
    42   12 Mg         0.0037     677.0517   60617.6509
    43   12 Mg         0.0037     677.0517   60617.6509
    44   12 Mg         0.0037     677.0517   60617.6508
    45   12 Mg         0.0037     677.0517   60617.6508
    46   12 Mg         0.0037     677.0517   60617.6508
    47   12 Mg         0.0037     677.0517   60617.6507
    48   12 Mg         0.0041     677.0344   60616.0946
    49   12 Mg         0.0041     677.0344   60616.0945
    50   12 Mg         0.0041     677.0344   60616.0946
    51   12 Mg         0.0036     677.0562   60618.0477
    52   12 Mg         0.0036     677.0562   60618.0477
    53   12 Mg         0.0036     677.0562   60618.0477
    54   12 Mg         0.0036     677.0565   60618.0736
    55   12 Mg         0.0036     677.0565   60618.0736
    56   12 Mg         0.0036     677.0565   60618.0736
    57   12 Mg         0.0036     677.0540   60617.8570
    58   12 Mg         0.0036     677.0540   60617.8569
    59   12 Mg         0.0036     677.0540   60617.8569
    60   12 Mg         0.0036     677.0536   60617.8151
    61   12 Mg         0.0036     677.0536   60617.8151
    62   12 Mg         0.0036     677.0536   60617.8152
    63   12 Mg         0.0036     677.0536   60617.8152
    64   12 Mg         0.0036     677.0536   60617.8152
    65   12 Mg         0.0036     677.0536   60617.8151
    66   12 Mg         0.0036     677.0536   60617.8171
    67   12 Mg         0.0036     677.0536   60617.8170
    68   12 Mg         0.0036     677.0536   60617.8170
    69   12 Mg         0.0036     677.0547   60617.9197
    70   12 Mg         0.0037     677.0524   60617.7085
    71   12 Mg         0.0037     677.0524   60617.7085
    72   12 Mg         0.0037     677.0524   60617.7085
    73   12 Mg         0.0037     677.0524   60617.7086
    74   12 Mg         0.0037     677.0524   60617.7086
    75   12 Mg         0.0037     677.0524   60617.7086
    76   12 Mg         0.0036     677.0550   60617.9417
    77   12 Mg         0.0036     677.0534   60617.8017
    78   12 Mg         0.0036     677.0534   60617.8018
    79   12 Mg         0.0036     677.0557   60618.0078
    80   12 Mg         0.0036     677.0557   60618.0077
    81   12 Mg         0.0036     677.0557   60618.0077
    82   12 Mg         0.0036     677.0557   60618.0077
    83   12 Mg         0.0036     677.0551   60617.9534
    84   12 Mg         0.0036     677.0535   60617.8070
    85   12 Mg         0.0036     677.0535   60617.8071
    86   12 Mg         0.0036     677.0557   60618.0078
    87   12 Mg         0.0036     677.0557   60618.0077
    88   12 Mg         0.0036     677.0543   60617.8772
    89   12 Mg         0.0036     677.0543   60617.8771
    90   12 Mg         0.0036     677.0538   60617.8392
    91   12 Mg         0.0036     677.0534   60617.8019
    92   12 Mg         0.0036     677.0535   60617.8072
    93   12 Mg         0.0036     677.0535   60617.8070
    94   12 Mg         0.0036     677.0538   60617.8392
    95   12 Mg         0.0036     677.0538   60617.8391
    96   12 Mg         0.0036     677.0535   60617.8071
    97   12 Mg         0.0036     677.0535   60617.8071
    98   12 Mg         0.0036     677.0550   60617.9418
    99   12 Mg         0.0036     677.0550   60617.9418
   100   12 Mg         0.0036     677.0543   60617.8771
   101   12 Mg         0.0037     677.0524   60617.7086
   102   12 Mg         0.0037     677.0524   60617.7086
   103   12 Mg         0.0037     677.0524   60617.7085
   104   12 Mg         0.0037     677.0524   60617.7086
   105   12 Mg         0.0037     677.0524   60617.7086
   106   12 Mg         0.0037     677.0524   60617.7086
   107   12 Mg         0.0036     677.0547   60617.9197
   108   12 Mg         0.0036     677.0536   60617.8172
   109   12 Mg         0.0036     677.0536   60617.8170
   110   12 Mg         0.0036     677.0536   60617.8171
   111   12 Mg         0.0036     677.0536   60617.8152
   112   12 Mg         0.0036     677.0536   60617.8152
   113   12 Mg         0.0036     677.0536   60617.8152
   114   12 Mg         0.0036     677.0536   60617.8152
   115   12 Mg         0.0036     677.0536   60617.8152
   116   12 Mg         0.0036     677.0536   60617.8152
   117   12 Mg         0.0036     677.0540   60617.8570
   118   12 Mg         0.0036     677.0540   60617.8569
   119   12 Mg         0.0036     677.0540   60617.8569
   120   12 Mg         0.0036     677.0565   60618.0737
   121   12 Mg         0.0036     677.0565   60618.0737
   122   12 Mg         0.0036     677.0565   60618.0737
   123   12 Mg         0.0036     677.0562   60618.0478
   124   12 Mg         0.0036     677.0562   60618.0478
   125   12 Mg         0.0036     677.0562   60618.0478
   126   12 Mg         0.0041     677.0344   60616.0946
   127   12 Mg         0.0041     677.0344   60616.0945
   128   12 Mg         0.0041     677.0344   60616.0946
   129   12 Mg         0.0037     677.0517   60617.6509
   130   12 Mg         0.0037     677.0517   60617.6509
   131   12 Mg         0.0037     677.0517   60617.6508
   132   12 Mg         0.0037     677.0517   60617.6508
   133   12 Mg         0.0037     677.0517   60617.6508
   134   12 Mg         0.0037     677.0517   60617.6507
   135   12 Mg         0.0037     677.0525   60617.7217
   136   12 Mg         0.0037     677.0525   60617.7216
   137   12 Mg         0.0037     677.0525   60617.7216
   138   12 Mg         0.0037     677.0515   60617.6277
   139   12 Mg         0.0037     677.0515   60617.6276
   140   12 Mg         0.0037     677.0515   60617.6276
   141   12 Mg         0.0036     677.0572   60618.1353
   142   12 Mg         0.0036     677.0572   60618.1353
   143   12 Mg         0.0036     677.0572   60618.1353
   144   12 Mg         0.0036     677.0572   60618.1353
   145   12 Mg         0.0036     677.0572   60618.1353
   146   12 Mg         0.0036     677.0572   60618.1353
   147   12 Mg         0.0036     677.0571   60618.1296
   148   12 Mg         0.0035     677.0586   60618.2653
   149   12 Mg         0.0035     677.0586   60618.2652
   150   12 Mg         0.0035     677.0586   60618.2653
--------------------------------------------------------

Atom-resolved dispersion energies:
--------------------------------------------------
     #    Z           [Hartree]      [kcal/mol]
--------------------------------------------------
     1   56 Ba  -0.32657000E-02     -2.04925766
     2   12 Mg  -0.13426580E-02     -0.84253063
     3   12 Mg  -0.13386424E-02     -0.84001080
     4   12 Mg  -0.13386471E-02     -0.84001371
     5   12 Mg  -0.14161103E-02     -0.88862260
     6   12 Mg  -0.14161011E-02     -0.88861685
     7   12 Mg  -0.13426577E-02     -0.84253041
     8   12 Mg  -0.13426549E-02     -0.84252866
     9   12 Mg  -0.13641122E-02     -0.85599334
    10   12 Mg  -0.13641145E-02     -0.85599476
    11   12 Mg  -0.13654874E-02     -0.85685626
    12   12 Mg  -0.13641200E-02     -0.85599824
    13   12 Mg  -0.13641154E-02     -0.85599534
    14   12 Mg  -0.13386425E-02     -0.84001083
    15   12 Mg  -0.13603814E-02     -0.85365222
    16   12 Mg  -0.13603721E-02     -0.85364635
    17   12 Mg  -0.14161082E-02     -0.88862129
    18   12 Mg  -0.14161046E-02     -0.88861905
    19   12 Mg  -0.13654901E-02     -0.85685797
    20   12 Mg  -0.13654974E-02     -0.85686258
    21   12 Mg  -0.13603784E-02     -0.85365034
    22   12 Mg  -0.14161081E-02     -0.88862125
    23   12 Mg  -0.14161125E-02     -0.88862402
    24   12 Mg  -0.13641182E-02     -0.85599713
    25   12 Mg  -0.13641192E-02     -0.85599774
    26   12 Mg  -0.13123131E-02     -0.82348889
    27   12 Mg  -0.13123199E-02     -0.82349318
    28   12 Mg  -0.13123146E-02     -0.82348984
    29   12 Mg  -0.13185600E-02     -0.82740890
    30   12 Mg  -0.13180451E-02     -0.82708581
    31   12 Mg  -0.13180441E-02     -0.82708517
    32   12 Mg  -0.13180437E-02     -0.82708492
    33   12 Mg  -0.13180422E-02     -0.82708396
    34   12 Mg  -0.13180451E-02     -0.82708577
    35   12 Mg  -0.13180436E-02     -0.82708487
    36   12 Mg  -0.13559163E-02     -0.85085035
    37   12 Mg  -0.13559197E-02     -0.85085243
    38   12 Mg  -0.13559216E-02     -0.85085367
    39   12 Mg  -0.13487097E-02     -0.84632808
    40   12 Mg  -0.13487141E-02     -0.84633090
    41   12 Mg  -0.13487145E-02     -0.84633114
    42   12 Mg  -0.13533930E-02     -0.84926690
    43   12 Mg  -0.13533929E-02     -0.84926685
    44   12 Mg  -0.13534001E-02     -0.84927139
    45   12 Mg  -0.13533986E-02     -0.84927045
    46   12 Mg  -0.13533955E-02     -0.84926847
    47   12 Mg  -0.13534018E-02     -0.84927242
    48   12 Mg  -0.14289651E-02     -0.89668912
    49   12 Mg  -0.14289677E-02     -0.89669076
    50   12 Mg  -0.14289653E-02     -0.89668926
    51   12 Mg  -0.13246812E-02     -0.83124999
    52   12 Mg  -0.13246844E-02     -0.83125201
    53   12 Mg  -0.13246796E-02     -0.83124901
    54   12 Mg  -0.13226729E-02     -0.82998975
    55   12 Mg  -0.13226743E-02     -0.82999067
    56   12 Mg  -0.13226712E-02     -0.82998873
    57   12 Mg  -0.13392421E-02     -0.84038712
    58   12 Mg  -0.13392469E-02     -0.84039010
    59   12 Mg  -0.13392501E-02     -0.84039210
    60   12 Mg  -0.13415088E-02     -0.84180948
    61   12 Mg  -0.13415059E-02     -0.84180765
    62   12 Mg  -0.13415040E-02     -0.84180645
    63   12 Mg  -0.13415039E-02     -0.84180641
    64   12 Mg  -0.13415039E-02     -0.84180642
    65   12 Mg  -0.13415057E-02     -0.84180751
    66   12 Mg  -0.13426273E-02     -0.84251136
    67   12 Mg  -0.13426356E-02     -0.84251658
    68   12 Mg  -0.13426323E-02     -0.84251449
    69   12 Mg  -0.13348829E-02     -0.83765166
    70   12 Mg  -0.13478768E-02     -0.84580546
    71   12 Mg  -0.13478772E-02     -0.84580573
    72   12 Mg  -0.13478786E-02     -0.84580657
    73   12 Mg  -0.13478753E-02     -0.84580449
    74   12 Mg  -0.13478755E-02     -0.84580466
    75   12 Mg  -0.13478736E-02     -0.84580345
    76   12 Mg  -0.13330710E-02     -0.83651467
    77   12 Mg  -0.13423792E-02     -0.84235569
    78   12 Mg  -0.13423728E-02     -0.84235168
    79   12 Mg  -0.13277722E-02     -0.83318962
    80   12 Mg  -0.13277737E-02     -0.83319060
    81   12 Mg  -0.13277736E-02     -0.83319050
    82   12 Mg  -0.13277782E-02     -0.83319340
    83   12 Mg  -0.13309237E-02     -0.83516725
    84   12 Mg  -0.13422212E-02     -0.84225651
    85   12 Mg  -0.13422153E-02     -0.84225279
    86   12 Mg  -0.13277720E-02     -0.83318948
    87   12 Mg  -0.13277748E-02     -0.83319126
    88   12 Mg  -0.13371011E-02     -0.83904362
    89   12 Mg  -0.13371032E-02     -0.83904492
    90   12 Mg  -0.13400884E-02     -0.84091820
    91   12 Mg  -0.13423696E-02     -0.84234963
    92   12 Mg  -0.13422109E-02     -0.84225008
    93   12 Mg  -0.13422233E-02     -0.84225787
    94   12 Mg  -0.13400876E-02     -0.84091763
    95   12 Mg  -0.13400981E-02     -0.84092425
    96   12 Mg  -0.13422190E-02     -0.84225511
    97   12 Mg  -0.13422172E-02     -0.84225402
    98   12 Mg  -0.13330649E-02     -0.83651087
    99   12 Mg  -0.13330683E-02     -0.83651298
   100   12 Mg  -0.13371093E-02     -0.83904874
   101   12 Mg  -0.13478741E-02     -0.84580379
   102   12 Mg  -0.13478746E-02     -0.84580405
   103   12 Mg  -0.13478759E-02     -0.84580489
   104   12 Mg  -0.13478726E-02     -0.84580282
   105   12 Mg  -0.13478728E-02     -0.84580298
   106   12 Mg  -0.13478709E-02     -0.84580177
   107   12 Mg  -0.13348827E-02     -0.83765157
   108   12 Mg  -0.13426220E-02     -0.84250805
   109   12 Mg  -0.13426303E-02     -0.84251326
   110   12 Mg  -0.13426270E-02     -0.84251117
   111   12 Mg  -0.13415035E-02     -0.84180616
   112   12 Mg  -0.13415006E-02     -0.84180433
   113   12 Mg  -0.13414987E-02     -0.84180313
   114   12 Mg  -0.13414986E-02     -0.84180309
   115   12 Mg  -0.13414986E-02     -0.84180310
   116   12 Mg  -0.13415004E-02     -0.84180419
   117   12 Mg  -0.13392417E-02     -0.84038687
   118   12 Mg  -0.13392465E-02     -0.84038985
   119   12 Mg  -0.13392497E-02     -0.84039186
   120   12 Mg  -0.13226652E-02     -0.82998496
   121   12 Mg  -0.13226667E-02     -0.82998588
   122   12 Mg  -0.13226636E-02     -0.82998394
   123   12 Mg  -0.13246755E-02     -0.83124643
   124   12 Mg  -0.13246787E-02     -0.83124845
   125   12 Mg  -0.13246739E-02     -0.83124545
   126   12 Mg  -0.14289648E-02     -0.89668895
   127   12 Mg  -0.14289674E-02     -0.89669060
   128   12 Mg  -0.14289650E-02     -0.89668910
   129   12 Mg  -0.13533929E-02     -0.84926686
   130   12 Mg  -0.13533928E-02     -0.84926681
   131   12 Mg  -0.13534001E-02     -0.84927136
   132   12 Mg  -0.13533986E-02     -0.84927041
   133   12 Mg  -0.13533954E-02     -0.84926844
   134   12 Mg  -0.13534017E-02     -0.84927239
   135   12 Mg  -0.13487096E-02     -0.84632804
   136   12 Mg  -0.13487141E-02     -0.84633085
   137   12 Mg  -0.13487144E-02     -0.84633109
   138   12 Mg  -0.13559163E-02     -0.85085033
   139   12 Mg  -0.13559196E-02     -0.85085241
   140   12 Mg  -0.13559216E-02     -0.85085365
   141   12 Mg  -0.13180476E-02     -0.82708738
   142   12 Mg  -0.13180466E-02     -0.82708674
   143   12 Mg  -0.13180462E-02     -0.82708649
   144   12 Mg  -0.13180447E-02     -0.82708552
   145   12 Mg  -0.13180476E-02     -0.82708734
   146   12 Mg  -0.13180461E-02     -0.82708644
   147   12 Mg  -0.13185605E-02     -0.82740920
   148   12 Mg  -0.13123153E-02     -0.82349029
   149   12 Mg  -0.13123221E-02     -0.82349457
   150   12 Mg  -0.13123168E-02     -0.82349124
--------------------------------------------------

Dispersion energy:      -2.0386489223974E-01 Eh

[Info] Dispersion energy written to .EDISP
