-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   56 Ba         0.1972    5566.9360 1722863.4900
     2   12 Mg         0.0480     674.5764   60396.0273
     3   12 Mg         0.0477     674.5972   60397.8897
     4   12 Mg         0.0477     674.5972   60397.8881
     5   12 Mg         0.0577     673.9178   60337.0613
     6   12 Mg         0.0577     673.9178   60337.0659
     7   12 Mg         0.0480     674.5764   60396.0275
     8   12 Mg         0.0480     674.5764   60396.0285
     9   12 Mg         0.0495     674.4758   60387.0227
    10   12 Mg         0.0495     674.4758   60387.0220
    11   12 Mg         0.0494     674.4865   60387.9825
    12   12 Mg         0.0495     674.4758   60387.0201
    13   12 Mg         0.0495     674.4758   60387.0216
    14   12 Mg         0.0477     674.5972   60397.8897
    15   12 Mg         0.0490     674.5119   60390.2555
    16   12 Mg         0.0490     674.5120   60390.2589
    17   12 Mg         0.0577     673.9178   60337.0634
    18   12 Mg         0.0577     673.9178   60337.0648
    19   12 Mg         0.0494     674.4865   60387.9815
    20   12 Mg         0.0494     674.4865   60387.9788
    21   12 Mg         0.0490     674.5119   60390.2566
    22   12 Mg         0.0577     673.9178   60337.0634
    23   12 Mg         0.0577     673.9178   60337.0614
    24   12 Mg         0.0495     674.4758   60387.0209
    25   12 Mg         0.0495     674.4758   60387.0201
    26   12 Mg         0.0456     674.7318   60409.9418
    27   12 Mg         0.0456     674.7318   60409.9394
    28   12 Mg         0.0456     674.7318   60409.9412
    29   12 Mg         0.0465     674.6747   60404.8332
    30   12 Mg         0.0464     674.6811   60405.3992
    31   12 Mg         0.0464     674.6811   60405.3996
    32   12 Mg         0.0464     674.6811   60405.3998
    33   12 Mg         0.0464     674.6811   60405.4002
    34   12 Mg         0.0464     674.6811   60405.3992
    35   12 Mg         0.0464     674.6811   60405.3997
    36   12 Mg         0.0487     674.5302   60391.8895
    37   12 Mg         0.0487     674.5302   60391.8883
    38   12 Mg         0.0487     674.5301   60391.8878
    39   12 Mg         0.0483     674.5566   60394.2550
    40   12 Mg         0.0483     674.5566   60394.2534
    41   12 Mg         0.0483     674.5566   60394.2533
    42   12 Mg         0.0486     674.5389   60392.6756
    43   12 Mg         0.0486     674.5389   60392.6754
    44   12 Mg         0.0486     674.5389   60392.6730
    45   12 Mg         0.0486     674.5389   60392.6733
    46   12 Mg         0.0486     674.5389   60392.6747
    47   12 Mg         0.0486     674.5389   60392.6724
    48   12 Mg         0.0587     673.8509   60331.0713
    49   12 Mg         0.0587     673.8509   60331.0713
    50   12 Mg         0.0587     673.8509   60331.0725
    51   12 Mg         0.0469     674.6486   60402.4933
    52   12 Mg         0.0469     674.6486   60402.4922
    53   12 Mg         0.0469     674.6486   60402.4938
    54   12 Mg         0.0467     674.6576   60403.3002
    55   12 Mg         0.0467     674.6576   60403.2997
    56   12 Mg         0.0467     674.6576   60403.3008
    57   12 Mg         0.0476     674.5993   60398.0796
    58   12 Mg         0.0476     674.5993   60398.0780
    59   12 Mg         0.0476     674.5993   60398.0768
    60   12 Mg         0.0479     674.5821   60396.5350
    61   12 Mg         0.0479     674.5821   60396.5360
    62   12 Mg         0.0479     674.5821   60396.5367
    63   12 Mg         0.0479     674.5821   60396.5367
    64   12 Mg         0.0479     674.5821   60396.5366
    65   12 Mg         0.0479     674.5821   60396.5361
    66   12 Mg         0.0478     674.5868   60396.9562
    67   12 Mg         0.0478     674.5867   60396.9534
    68   12 Mg         0.0478     674.5867   60396.9546
    69   12 Mg         0.0473     674.6224   60400.1519
    70   12 Mg         0.0484     674.5507   60393.7308
    71   12 Mg         0.0484     674.5507   60393.7308
    72   12 Mg         0.0484     674.5507   60393.7302
    73   12 Mg         0.0484     674.5507   60393.7314
    74   12 Mg         0.0484     674.5507   60393.7313
    75   12 Mg         0.0484     674.5507   60393.7320
    76   12 Mg         0.0473     674.6213   60400.0476
    77   12 Mg         0.0480     674.5779   60396.1619
    78   12 Mg         0.0480     674.5779   60396.1642
    79   12 Mg         0.0470     674.6402   60401.7421
    80   12 Mg         0.0470     674.6402   60401.7416
    81   12 Mg         0.0470     674.6402   60401.7416
    82   12 Mg         0.0470     674.6402   60401.7399
    83   12 Mg         0.0473     674.6200   60399.9366
    84   12 Mg         0.0479     674.5807   60396.4126
    85   12 Mg         0.0479     674.5807   60396.4150
    86   12 Mg         0.0470     674.6402   60401.7421
    87   12 Mg         0.0470     674.6402   60401.7411
    88   12 Mg         0.0476     674.6025   60398.3702
    89   12 Mg         0.0476     674.6025   60398.3696
    90   12 Mg         0.0478     674.5908   60397.3189
    91   12 Mg         0.0480     674.5779   60396.1653
    92   12 Mg         0.0479     674.5807   60396.4164
    93   12 Mg         0.0479     674.5807   60396.4120
    94   12 Mg         0.0478     674.5908   60397.3193
    95   12 Mg         0.0478     674.5908   60397.3155
    96   12 Mg         0.0479     674.5807   60396.4136
    97   12 Mg         0.0479     674.5807   60396.4142
    98   12 Mg         0.0473     674.6213   60400.0497
    99   12 Mg         0.0473     674.6213   60400.0486
   100   12 Mg         0.0476     674.6025   60398.3673
