-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
   109   12 Mg         0.0022     677.1200   60623.7624
   110   12 Mg         0.0022     677.1200   60623.7624
   111   12 Mg         0.0022     677.1200   60623.7635
   112   12 Mg         0.0022     677.1200   60623.7635
   113   12 Mg         0.0022     677.1200   60623.7635
   114   12 Mg         0.0022     677.1200   60623.7635
   115   12 Mg         0.0022     677.1200   60623.7635
   116   12 Mg         0.0022     677.1200   60623.7635
   117   12 Mg         0.0022     677.1203   60623.7863
   118   12 Mg         0.0022     677.1203   60623.7863
   119   12 Mg         0.0022     677.1203   60623.7863
   120   12 Mg         0.0022     677.1216   60623.9084
   121   12 Mg         0.0022     677.1216   60623.9084
   122   12 Mg         0.0022     677.1216   60623.9084
   123   12 Mg         0.0022     677.1215   60623.8939
   124   12 Mg         0.0022     677.1215   60623.8939
   125   12 Mg         0.0022     677.1215   60623.8939
   126   12 Mg         0.0024     677.1101   60622.8728
   127   12 Mg         0.0024     677.1101   60622.8728
   128   12 Mg         0.0024     677.1101   60622.8728
   129   12 Mg         0.0023     677.1189   60623.6677
   130   12 Mg         0.0023     677.1189   60623.6677
   131   12 Mg         0.0023     677.1189   60623.6677
   132   12 Mg         0.0023     677.1189   60623.6677
   133   12 Mg         0.0023     677.1189   60623.6677
   134   12 Mg         0.0023     677.1189   60623.6677
   135   12 Mg         0.0022     677.1194   60623.7106
   136   12 Mg         0.0022     677.1194   60623.7106
   137   12 Mg         0.0022     677.1194   60623.7106
   138   12 Mg         0.0023     677.1188   60623.6567
   139   12 Mg         0.0023     677.1188   60623.6567
   140   12 Mg         0.0023     677.1188   60623.6567
   141   12 Mg         0.0022     677.1221   60623.9515
   142   12 Mg         0.0022     677.1221   60623.9515
   143   12 Mg         0.0022     677.1221   60623.9515
   144   12 Mg         0.0022     677.1221   60623.9515
   145   12 Mg         0.0022     677.1221   60623.9515
   146   12 Mg         0.0022     677.1221   60623.9515
   147   12 Mg         0.0022     677.1220   60623.9420
   148   12 Mg         0.0022     677.1227   60624.0049
   149   12 Mg         0.0022     677.1227   60624.0049
   150   12 Mg         0.0022     677.1227   60624.0049
--------------------------------------------------------

Atom-resolved dispersion energies:
--------------------------------------------------
     #    Z           [Hartree]      [kcal/mol]
--------------------------------------------------
     1   56 Ba  -0.21087979E-02     -1.32329064
     2   12 Mg  -0.86886980E-03     -0.54522403
     3   12 Mg  -0.86628137E-03     -0.54359976
     4   12 Mg  -0.86628436E-03     -0.54360165
     5   12 Mg  -0.91630507E-03     -0.57499011
     6   12 Mg  -0.91629911E-03     -0.57498637
     7   12 Mg  -0.86886957E-03     -0.54522389
     8   12 Mg  -0.86886777E-03     -0.54522276
     9   12 Mg  -0.88272697E-03     -0.55391953
    10   12 Mg  -0.88272844E-03     -0.55392046
    11   12 Mg  -0.88362873E-03     -0.55448540
    12   12 Mg  -0.88273201E-03     -0.55392270
    13   12 Mg  -0.88272903E-03     -0.55392083
    14   12 Mg  -0.86628140E-03     -0.54359979
    15   12 Mg  -0.88033217E-03     -0.55241677
    16   12 Mg  -0.88032614E-03     -0.55241299
    17   12 Mg  -0.91630367E-03     -0.57498924
    18   12 Mg  -0.91630137E-03     -0.57498779
    19   12 Mg  -0.88363050E-03     -0.55448651
    20   12 Mg  -0.88363524E-03     -0.55448949
    21   12 Mg  -0.88033023E-03     -0.55241556
    22   12 Mg  -0.91630363E-03     -0.57498921
    23   12 Mg  -0.91630649E-03     -0.57499100
    24   12 Mg  -0.88273086E-03     -0.55392198
    25   12 Mg  -0.88273150E-03     -0.55392238
    26   12 Mg  -0.84924883E-03     -0.53291169
    27   12 Mg  -0.84925324E-03     -0.53291445
    28   12 Mg  -0.84924981E-03     -0.53291230
    29   12 Mg  -0.85333878E-03     -0.53547817
    30   12 Mg  -0.85301506E-03     -0.53527503
    31   12 Mg  -0.85301440E-03     -0.53527462
    32   12 Mg  -0.85301415E-03     -0.53527446
    33   12 Mg  -0.85301315E-03     -0.53527383
    34   12 Mg  -0.85301502E-03     -0.53527500
    35   12 Mg  -0.85301409E-03     -0.53527442
    36   12 Mg  -0.87744093E-03     -0.55060250
    37   12 Mg  -0.87744307E-03     -0.55060384
    38   12 Mg  -0.87744435E-03     -0.55060464
    39   12 Mg  -0.87279118E-03     -0.54768474
    40   12 Mg  -0.87279408E-03     -0.54768655
    41   12 Mg  -0.87279432E-03     -0.54768671
    42   12 Mg  -0.87581072E-03     -0.54957953
    43   12 Mg  -0.87581067E-03     -0.54957949
    44   12 Mg  -0.87581534E-03     -0.54958243
    45   12 Mg  -0.87581437E-03     -0.54958182
    46   12 Mg  -0.87581235E-03     -0.54958054
    47   12 Mg  -0.87581640E-03     -0.54958309
