-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   56 Ba         0.0043    5688.6880 1760543.4949
     2   12 Mg         0.0017     677.1457   60626.0626
     3   12 Mg         0.0017     677.1459   60626.0795
     4   12 Mg         0.0017     677.1459   60626.0794
     5   12 Mg         0.0018     677.1400   60625.5560
     6   12 Mg         0.0018     677.1400   60625.5560
     7   12 Mg         0.0017     677.1457   60626.0626
     8   12 Mg         0.0017     677.1457   60626.0627
     9   12 Mg         0.0017     677.1442   60625.9328
    10   12 Mg         0.0017     677.1442   60625.9328
    11   12 Mg         0.0017     677.1442   60625.9312
    12   12 Mg         0.0017     677.1442   60625.9328
    13   12 Mg         0.0017     677.1442   60625.9328
    14   12 Mg         0.0017     677.1459   60626.0795
    15   12 Mg         0.0017     677.1446   60625.9675
    16   12 Mg         0.0017     677.1446   60625.9675
    17   12 Mg         0.0018     677.1400   60625.5560
    18   12 Mg         0.0018     677.1400   60625.5560
    19   12 Mg         0.0017     677.1442   60625.9312
    20   12 Mg         0.0017     677.1442   60625.9312
    21   12 Mg         0.0017     677.1446   60625.9675
    22   12 Mg         0.0018     677.1400   60625.5560
    23   12 Mg         0.0018     677.1400   60625.5560
    24   12 Mg         0.0017     677.1442   60625.9328
    25   12 Mg         0.0017     677.1442   60625.9328
    26   12 Mg         0.0016     677.1476   60626.2351
    27   12 Mg         0.0016     677.1476   60626.2350
    28   12 Mg         0.0016     677.1476   60626.2350
    29   12 Mg         0.0017     677.1472   60626.1947
    30   12 Mg         0.0017     677.1472   60626.2010
    31   12 Mg         0.0017     677.1472   60626.2010
    32   12 Mg         0.0017     677.1472   60626.2010
    33   12 Mg         0.0017     677.1472   60626.2010
    34   12 Mg         0.0017     677.1472   60626.2010
    35   12 Mg         0.0017     677.1472   60626.2010
    36   12 Mg         0.0017     677.1449   60625.9920
    37   12 Mg         0.0017     677.1449   60625.9919
    38   12 Mg         0.0017     677.1449   60625.9919
    39   12 Mg         0.0017     677.1453   60626.0304
    40   12 Mg         0.0017     677.1453   60626.0304
    41   12 Mg         0.0017     677.1453   60626.0304
    42   12 Mg         0.0017     677.1450   60625.9990
    43   12 Mg         0.0017     677.1450   60625.9990
    44   12 Mg         0.0017     677.1450   60625.9990
    45   12 Mg         0.0017     677.1450   60625.9990
    46   12 Mg         0.0017     677.1450   60625.9990
    47   12 Mg         0.0017     677.1450   60625.9990
    48   12 Mg         0.0018     677.1391   60625.4693
    49   12 Mg         0.0018     677.1391   60625.4692
    50   12 Mg         0.0018     677.1391   60625.4693
    51   12 Mg         0.0017     677.1468   60626.1607
    52   12 Mg         0.0017     677.1468   60626.1607
    53   12 Mg         0.0017     677.1468   60626.1607
    54   12 Mg         0.0017     677.1469   60626.1709
    55   12 Mg         0.0017     677.1469   60626.1709
    56   12 Mg         0.0017     677.1469   60626.1709
    57   12 Mg         0.0017     677.1459   60626.0835
    58   12 Mg         0.0017     677.1459   60626.0834
    59   12 Mg         0.0017     677.1459   60626.0834
    60   12 Mg         0.0017     677.1458   60626.0683
    61   12 Mg         0.0017     677.1458   60626.0684
    62   12 Mg         0.0017     677.1458   60626.0684
    63   12 Mg         0.0017     677.1458   60626.0684
    64   12 Mg         0.0017     677.1458   60626.0684
    65   12 Mg         0.0017     677.1458   60626.0684
    66   12 Mg         0.0017     677.1457   60626.0665
    67   12 Mg         0.0017     677.1457   60626.0665
    68   12 Mg         0.0017     677.1457   60626.0665
    69   12 Mg         0.0017     677.1462   60626.1040
    70   12 Mg         0.0017     677.1453   60626.0248
    71   12 Mg         0.0017     677.1453   60626.0248
    72   12 Mg         0.0017     677.1453   60626.0248
    73   12 Mg         0.0017     677.1453   60626.0249
    74   12 Mg         0.0017     677.1453   60626.0249
    75   12 Mg         0.0017     677.1453   60626.0249
    76   12 Mg         0.0017     677.1463   60626.1167
    77   12 Mg         0.0017     677.1457   60626.0633
    78   12 Mg         0.0017     677.1457   60626.0634
    79   12 Mg         0.0017     677.1466   60626.1441
    80   12 Mg         0.0017     677.1466   60626.1441
    81   12 Mg         0.0017     677.1466   60626.1441
    82   12 Mg         0.0017     677.1466   60626.1441
    83   12 Mg         0.0017     677.1464   60626.1255
    84   12 Mg         0.0017     677.1457   60626.0642
    85   12 Mg         0.0017     677.1457   60626.0642
    86   12 Mg         0.0017     677.1466   60626.1441
    87   12 Mg         0.0017     677.1466   60626.1441
    88   12 Mg         0.0017     677.1460   60626.0918
    89   12 Mg         0.0017     677.1460   60626.0918
