-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   56 Ba         0.0086    5687.4036 1760145.9771
     2   12 Mg         0.0031     677.0798   60620.1595
     3   12 Mg         0.0031     677.0808   60620.2551
     4   12 Mg         0.0031     677.0808   60620.2551
     5   12 Mg         0.0034     677.0669   60619.0120
     6   12 Mg         0.0034     677.0669   60619.0121
     7   12 Mg         0.0031     677.0798   60620.1595
     8   12 Mg         0.0031     677.0798   60620.1596
     9   12 Mg         0.0031     677.0774   60619.9459
    10   12 Mg         0.0031     677.0774   60619.9459
    11   12 Mg         0.0031     677.0774   60619.9478
    12   12 Mg         0.0031     677.0774   60619.9459
    13   12 Mg         0.0031     677.0774   60619.9459
    14   12 Mg         0.0031     677.0808   60620.2551
    15   12 Mg         0.0031     677.0776   60619.9657
    16   12 Mg         0.0031     677.0776   60619.9658
    17   12 Mg         0.0034     677.0669   60619.0120
    18   12 Mg         0.0034     677.0669   60619.0120
    19   12 Mg         0.0031     677.0774   60619.9478
    20   12 Mg         0.0031     677.0774   60619.9477
    21   12 Mg         0.0031     677.0776   60619.9657
    22   12 Mg         0.0034     677.0669   60619.0120
    23   12 Mg         0.0034     677.0669   60619.0119
    24   12 Mg         0.0031     677.0774   60619.9459
    25   12 Mg         0.0031     677.0774   60619.9459
    26   12 Mg         0.0030     677.0846   60620.5889
    27   12 Mg         0.0030     677.0846   60620.5888
    28   12 Mg         0.0030     677.0846   60620.5889
    29   12 Mg         0.0030     677.0828   60620.4283
    30   12 Mg         0.0030     677.0828   60620.4316
    31   12 Mg         0.0030     677.0828   60620.4316
    32   12 Mg         0.0030     677.0828   60620.4316
    33   12 Mg         0.0030     677.0828   60620.4316
    34   12 Mg         0.0030     677.0828   60620.4316
    35   12 Mg         0.0030     677.0828   60620.4316
    36   12 Mg         0.0031     677.0782   60620.0177
    37   12 Mg         0.0031     677.0782   60620.0177
    38   12 Mg         0.0031     677.0782   60620.0176
    39   12 Mg         0.0031     677.0790   60620.0947
    40   12 Mg         0.0031     677.0790   60620.0947
    41   12 Mg         0.0031     677.0790   60620.0947
    42   12 Mg         0.0031     677.0790   60620.0895
    43   12 Mg         0.0031     677.0790   60620.0895
    44   12 Mg         0.0031     677.0790   60620.0895
    45   12 Mg         0.0031     677.0790   60620.0895
    46   12 Mg         0.0031     677.0790   60620.0895
    47   12 Mg         0.0031     677.0790   60620.0894
    48   12 Mg         0.0034     677.0652   60618.8557
    49   12 Mg         0.0034     677.0652   60618.8557
    50   12 Mg         0.0034     677.0652   60618.8557
    51   12 Mg         0.0030     677.0820   60620.3619
    52   12 Mg         0.0030     677.0820   60620.3618
    53   12 Mg         0.0030     677.0820   60620.3619
    54   12 Mg         0.0030     677.0823   60620.3829
    55   12 Mg         0.0030     677.0823   60620.3829
    56   12 Mg         0.0030     677.0823   60620.3829
    57   12 Mg         0.0031     677.0803   60620.2045
    58   12 Mg         0.0031     677.0803   60620.2045
    59   12 Mg         0.0031     677.0803   60620.2045
    60   12 Mg         0.0031     677.0801   60620.1853
    61   12 Mg         0.0031     677.0801   60620.1853
    62   12 Mg         0.0031     677.0801   60620.1854
    63   12 Mg         0.0031     677.0801   60620.1854
