-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   56 Ba         0.0738    5662.1137 1752319.2324
     2   12 Mg         0.0202     676.2188   60543.0735
     3   12 Mg         0.0201     676.2251   60543.6384
     4   12 Mg         0.0201     676.2251   60543.6379
     5   12 Mg         0.0235     676.0411   60527.1667
     6   12 Mg         0.0235     676.0411   60527.1680
     7   12 Mg         0.0202     676.2188   60543.0735
     8   12 Mg         0.0202     676.2188   60543.0738
     9   12 Mg         0.0208     676.1888   60540.3886
    10   12 Mg         0.0208     676.1888   60540.3884
    11   12 Mg         0.0207     676.1912   60540.6064
    12   12 Mg         0.0208     676.1888   60540.3878
    13   12 Mg         0.0208     676.1888   60540.3883
    14   12 Mg         0.0201     676.2251   60543.6384
    15   12 Mg         0.0206     676.1986   60541.2688
    16   12 Mg         0.0206     676.1986   60541.2699
    17   12 Mg         0.0235     676.0411   60527.1672
    18   12 Mg         0.0235     676.0411   60527.1676
    19   12 Mg         0.0207     676.1912   60540.6061
    20   12 Mg         0.0207     676.1912   60540.6053
    21   12 Mg         0.0206     676.1986   60541.2692
    22   12 Mg         0.0235     676.0411   60527.1672
    23   12 Mg         0.0235     676.0411   60527.1666
    24   12 Mg         0.0208     676.1888   60540.3880
    25   12 Mg         0.0208     676.1888   60540.3878
    26   12 Mg         0.0193     676.2656   60547.2672
    27   12 Mg         0.0193     676.2656   60547.2665
    28   12 Mg         0.0193     676.2656   60547.2671
    29   12 Mg         0.0196     676.2495   60545.8238
    30   12 Mg         0.0196     676.2510   60545.9630
    31   12 Mg         0.0196     676.2510   60545.9631
    32   12 Mg         0.0196     676.2510   60545.9632
    33   12 Mg         0.0196     676.2510   60545.9633
    34   12 Mg         0.0196     676.2510   60545.9630
    35   12 Mg         0.0196     676.2510   60545.9632
    36   12 Mg         0.0205     676.2043   60541.7738
    37   12 Mg         0.0205     676.2043   60541.7734
    38   12 Mg         0.0205     676.2042   60541.7732
    39   12 Mg         0.0203     676.2125   60542.5085
    40   12 Mg         0.0203     676.2125   60542.5080
    41   12 Mg         0.0203     676.2125   60542.5079
    42   12 Mg         0.0204     676.2072   60542.0345
    43   12 Mg         0.0204     676.2072   60542.0345
    44   12 Mg         0.0204     676.2072   60542.0337
    45   12 Mg         0.0204     676.2072   60542.0338
    46   12 Mg         0.0204     676.2072   60542.0342
    47   12 Mg         0.0204     676.2072   60542.0335
    48   12 Mg         0.0239     676.0218   60525.4349
    49   12 Mg         0.0239     676.0218   60525.4348
    50   12 Mg         0.0239     676.0218   60525.4351
    51   12 Mg         0.0198     676.2413   60545.0883
    52   12 Mg         0.0198     676.2413   60545.0879
    53   12 Mg         0.0198     676.2413   60545.0884
    54   12 Mg         0.0197     676.2441   60545.3388
    55   12 Mg         0.0197     676.2441   60545.3387
    56   12 Mg         0.0197     676.2441   60545.3390
    57   12 Mg         0.0201     676.2257   60543.6915
    58   12 Mg         0.0201     676.2257   60543.6910
    59   12 Mg         0.0201     676.2257   60543.6906
    60   12 Mg         0.0202     676.2206   60543.2348
    61   12 Mg         0.0202     676.2206   60543.2352
    62   12 Mg         0.0202     676.2206   60543.2354
    63   12 Mg         0.0202     676.2206   60543.2354
    64   12 Mg         0.0202     676.2206   60543.2354
    65   12 Mg         0.0202     676.2206   60543.2352
    66   12 Mg         0.0202     676.2217   60543.3347
    67   12 Mg         0.0202     676.2217   60543.3338
    68   12 Mg         0.0202     676.2217   60543.3341
    69   12 Mg         0.0200     676.2325   60544.3004
    70   12 Mg         0.0204     676.2113   60542.4007
    71   12 Mg         0.0204     676.2113   60542.4006
    72   12 Mg         0.0204     676.2113   60542.4005
    73   12 Mg         0.0204     676.2113   60542.4008
    74   12 Mg         0.0204     676.2113   60542.4008
    75   12 Mg         0.0204     676.2113   60542.4010
    76   12 Mg         0.0200     676.2323   60544.2875
    77   12 Mg         0.0202     676.2192   60543.1122
    78   12 Mg         0.0202     676.2192   60543.1129
    79   12 Mg         0.0199     676.2386   60544.8455
    80   12 Mg         0.0199     676.2386   60544.8454
    81   12 Mg         0.0199     676.2386   60544.8454
    82   12 Mg         0.0199     676.2386   60544.8449
    83   12 Mg         0.0200     676.2332   60544.3664
    84   12 Mg         0.0202     676.2204   60543.2198
    85   12 Mg         0.0202     676.2204   60543.2205
    86   12 Mg         0.0199     676.2386   60544.8455
    87   12 Mg         0.0199     676.2386   60544.8452
    88   12 Mg         0.0201     676.2268   60543.7920
    89   12 Mg         0.0201     676.2268   60543.7919
    90   12 Mg         0.0201     676.2234   60543.4871
    91   12 Mg         0.0202     676.2192   60543.1132
    92   12 Mg         0.0202     676.2204   60543.2210
