-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   56 Ba         0.4214    5101.8574 1578930.2996
     2   12 Mg         0.0944     670.9977   60075.6238
     3   12 Mg         0.0937     671.0593   60081.1404
     4   12 Mg         0.0937     671.0593   60081.1357
     5   12 Mg         0.1164     668.8475   59883.1143
     6   12 Mg         0.1164     668.8477   59883.1296
     7   12 Mg         0.0944     670.9977   60075.6242
     8   12 Mg         0.0944     670.9978   60075.6273
     9   12 Mg         0.0977     670.6946   60048.4869
    10   12 Mg         0.0977     670.6946   60048.4848
    11   12 Mg         0.0973     670.7307   60051.7138
    12   12 Mg         0.0977     670.6945   60048.4793
    13   12 Mg         0.0977     670.6946   60048.4835
    14   12 Mg         0.0937     671.0593   60081.1404
    15   12 Mg         0.0964     670.8094   60058.7583
    16   12 Mg         0.0964     670.8095   60058.7684
    17   12 Mg         0.1164     668.8476   59883.1216
    18   12 Mg         0.1164     668.8477   59883.1262
    19   12 Mg         0.0973     670.7306   60051.7109
    20   12 Mg         0.0973     670.7305   60051.7028
    21   12 Mg         0.0964     670.8094   60058.7617
    22   12 Mg         0.1164     668.8476   59883.1217
    23   12 Mg         0.1164     668.8476   59883.1151
    24   12 Mg         0.0977     670.6946   60048.4816
    25   12 Mg         0.0977     670.6945   60048.4790
    26   12 Mg         0.0892     671.4593   60116.9468
    27   12 Mg         0.0892     671.4592   60116.9398
    28   12 Mg         0.0892     671.4593   60116.9450
    29   12 Mg         0.0911     671.2851   60101.3564
    30   12 Mg         0.0909     671.3040   60103.0433
    31   12 Mg         0.0909     671.3040   60103.0443
    32   12 Mg         0.0909     671.3040   60103.0449
    33   12 Mg         0.0909     671.3040   60103.0461
    34   12 Mg         0.0909     671.3040   60103.0433
    35   12 Mg         0.0909     671.3040   60103.0446
    36   12 Mg         0.0958     670.8634   60063.5967
    37   12 Mg         0.0958     670.8634   60063.5933
    38   12 Mg         0.0958     670.8633   60063.5916
    39   12 Mg         0.0950     670.9400   60070.4590
    40   12 Mg         0.0950     670.9400   60070.4541
    41   12 Mg         0.0950     670.9400   60070.4539
    42   12 Mg         0.0956     670.8886   60065.8533
    43   12 Mg         0.0956     670.8886   60065.8527
    44   12 Mg         0.0956     670.8885   60065.8454
    45   12 Mg         0.0956     670.8885   60065.8464
    46   12 Mg         0.0956     670.8886   60065.8505
    47   12 Mg         0.0956     670.8885   60065.8436
    48   12 Mg         0.1185     668.6269   59863.3571
    49   12 Mg         0.1185     668.6269   59863.3575
    50   12 Mg         0.1185     668.6269   59863.3616
    51   12 Mg         0.0920     671.2091   60094.5462
    52   12 Mg         0.0920     671.2090   60094.5429
    53   12 Mg         0.0920     671.2091   60094.5477
    54   12 Mg         0.0917     671.2346   60096.8333
    55   12 Mg         0.0917     671.2346   60096.8317
    56   12 Mg         0.0917     671.2346   60096.8349
    57   12 Mg         0.0936     671.0673   60081.8494
    58   12 Mg         0.0936     671.0672   60081.8445
    59   12 Mg         0.0936     671.0672   60081.8412
    60   12 Mg         0.0942     671.0151   60077.1810
    61   12 Mg         0.0942     671.0152   60077.1841
    62   12 Mg         0.0942     671.0152   60077.1861
    63   12 Mg         0.0942     671.0152   60077.1862
    64   12 Mg         0.0942     671.0152   60077.1859
    65   12 Mg         0.0942     671.0152   60077.1844
    66   12 Mg         0.0940     671.0318   60078.6791
    67   12 Mg         0.0940     671.0318   60078.6708
    68   12 Mg         0.0940     671.0318   60078.6742
    69   12 Mg         0.0928     671.1351   60087.9239
    70   12 Mg         0.0952     670.9195   60068.6162
    71   12 Mg         0.0952     670.9195   60068.6161
    72   12 Mg         0.0952     670.9194   60068.6144
    73   12 Mg         0.0952     670.9195   60068.6181
    74   12 Mg         0.0952     670.9195   60068.6175
    75   12 Mg         0.0952     670.9195   60068.6196
    76   12 Mg         0.0929     671.1312   60087.5782
    77   12 Mg         0.0943     671.0021   60076.0198
    78   12 Mg         0.0943     671.0022   60076.0265
    79   12 Mg         0.0923     671.1854   60092.4239
    80   12 Mg         0.0923     671.1854   60092.4223
    81   12 Mg         0.0923     671.1853   60092.4223
    82   12 Mg         0.0923     671.1853   60092.4175
    83   12 Mg         0.0929     671.1321   60087.6511
    84   12 Mg         0.0942     671.0123   60076.9253
    85   12 Mg         0.0942     671.0123   60076.9324
    86   12 Mg         0.0923     671.1854   60092.4239
    87   12 Mg         0.0923     671.1853   60092.4208
    88   12 Mg         0.0935     671.0748   60082.5256
    89   12 Mg         0.0935     671.0748   60082.5242
    90   12 Mg         0.0939     671.0433   60079.7085
    91   12 Mg         0.0943     671.0023   60076.0297
    92   12 Mg         0.0942     671.0124   60076.9365
    93   12 Mg         0.0942     671.0122   60076.9235
    94   12 Mg         0.0939     671.0434   60079.7099
    95   12 Mg         0.0939     671.0432   60079.6986
    96   12 Mg         0.0942     671.0123   60076.9284
    97   12 Mg         0.0942     671.0123   60076.9299
    98   12 Mg         0.0929     671.1313   60087.5843
    99   12 Mg         0.0929     671.1313   60087.5812
   100   12 Mg         0.0935     671.0747   60082.5174
   101   12 Mg         0.0952     670.9195   60068.6187
   102   12 Mg         0.0952     670.9195   60068.6186
   103   12 Mg         0.0952     670.9195   60068.6169
   104   12 Mg         0.0952     670.9195   60068.6206
   105   12 Mg         0.0952     670.9195   60068.6200
   106   12 Mg         0.0952     670.9195   60068.6221
   107   12 Mg         0.0928     671.1351   60087.9240
   108   12 Mg         0.0940     671.0319   60078.6848
   109   12 Mg         0.0940     671.0318   60078.6765
   110   12 Mg         0.0940     671.0319   60078.6799
   111   12 Mg         0.0942     671.0152   60077.1865
   112   12 Mg         0.0942     671.0152   60077.1896
   113   12 Mg         0.0942     671.0152   60077.1916
   114   12 Mg         0.0942     671.0152   60077.1917
   115   12 Mg         0.0942     671.0152   60077.1914
   116   12 Mg         0.0942     671.0152   60077.1899
   117   12 Mg         0.0936     671.0673   60081.8495
   118   12 Mg         0.0936     671.0672   60081.8446
   119   12 Mg         0.0936     671.0672   60081.8413
   120   12 Mg         0.0917     671.2347   60096.8409
   121   12 Mg         0.0917     671.2347   60096.8393
   122   12 Mg         0.0917     671.2347   60096.8425
   123   12 Mg         0.0920     671.2091   60094.5519
   124   12 Mg         0.0920     671.2091   60094.5486
   125   12 Mg         0.0920     671.2092   60094.5535
   126   12 Mg         0.1185     668.6269   59863.3574
   127   12 Mg         0.1185     668.6269   59863.3578
   128   12 Mg         0.1185     668.6269   59863.3620
   129   12 Mg         0.0956     670.8886   60065.8535
   130   12 Mg         0.0956     670.8886   60065.8528
   131   12 Mg         0.0956     670.8885   60065.8456
   132   12 Mg         0.0956     670.8885   60065.8466
