-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   56 Ba         0.9808    3954.4639 1223833.2795
     2   12 Mg         0.2041     656.4472   58772.8923
     3   12 Mg         0.2025     656.7414   58799.2318
     4   12 Mg         0.2025     656.7412   58799.2099
     5   12 Mg         0.2579     644.8985   57738.9166
     6   12 Mg         0.2579     644.8995   57739.0014
     7   12 Mg         0.2041     656.4473   58772.8941
     8   12 Mg         0.2041     656.4474   58772.9087
     9   12 Mg         0.2119     654.9755   58641.1217
    10   12 Mg         0.2119     654.9753   58641.1118
    11   12 Mg         0.2109     655.1736   58658.8596
    12   12 Mg         0.2119     654.9750   58641.0851
    13   12 Mg         0.2119     654.9753   58641.1053
    14   12 Mg         0.2025     656.7414   58799.2319
    15   12 Mg         0.2089     655.5553   58693.0333
    16   12 Mg         0.2089     655.5558   58693.0815
    17   12 Mg         0.2579     644.8990   57738.9580
    18   12 Mg         0.2579     644.8993   57738.9831
    19   12 Mg         0.2109     655.1734   58658.8454
    20   12 Mg         0.2109     655.1730   58658.8061
    21   12 Mg         0.2089     655.5555   58693.0497
    22   12 Mg         0.2579     644.8990   57738.9589
    23   12 Mg         0.2579     644.8986   57738.9216
    24   12 Mg         0.2119     654.9752   58641.0964
    25   12 Mg         0.2119     654.9750   58641.0833
    26   12 Mg         0.1917     658.6341   58968.6908
    27   12 Mg         0.1917     658.6338   58968.6590
    28   12 Mg         0.1917     658.6341   58968.6830
    29   12 Mg         0.1966     657.7936   58893.4330
    30   12 Mg         0.1961     657.8848   58901.5980
    31   12 Mg         0.1961     657.8848   58901.6030
    32   12 Mg         0.1961     657.8849   58901.6055
    33   12 Mg         0.1961     657.8849   58901.6112
    34   12 Mg         0.1961     657.8848   58901.5980
    35   12 Mg         0.1961     657.8848   58901.6042
    36   12 Mg         0.2075     655.8144   58716.2292
    37   12 Mg         0.2075     655.8142   58716.2129
    38   12 Mg         0.2075     655.8141   58716.2051
    39   12 Mg         0.2055     656.1812   58749.0751
    40   12 Mg         0.2055     656.1810   58749.0518
    41   12 Mg         0.2055     656.1809   58749.0511
    42   12 Mg         0.2068     655.9343   58726.9679
    43   12 Mg         0.2068     655.9343   58726.9643
    44   12 Mg         0.2069     655.9339   58726.9300
    45   12 Mg         0.2069     655.9339   58726.9346
    46   12 Mg         0.2069     655.9341   58726.9541
    47   12 Mg         0.2069     655.9338   58726.9215
    48   12 Mg         0.2628     643.6606   57628.0796
    49   12 Mg         0.2628     643.6606   57628.0828
    50   12 Mg         0.2628     643.6609   57628.1061
    51   12 Mg         0.1986     657.4405   58861.8189
    52   12 Mg         0.1986     657.4403   58861.8036
    53   12 Mg         0.1986     657.4406   58861.8262
    54   12 Mg         0.1979     657.5629   58872.7764
    55   12 Mg         0.1979     657.5628   58872.7690
    56   12 Mg         0.1979     657.5629   58872.7838
    57   12 Mg         0.2022     656.7857   58803.1926
    58   12 Mg         0.2022     656.7854   58803.1698
    59   12 Mg         0.2022     656.7852   58803.1544
    60   12 Mg         0.2036     656.5306   58780.3584
    61   12 Mg         0.2036     656.5308   58780.3727
    62   12 Mg         0.2036     656.5309   58780.3823
    63   12 Mg         0.2036     656.5309   58780.3828
    64   12 Mg         0.2036     656.5309   58780.3815
    65   12 Mg         0.2036     656.5308   58780.3743
    66   12 Mg         0.2031     656.6196   58788.3220
    67   12 Mg         0.2031     656.6191   58788.2830
    68   12 Mg         0.2031     656.6193   58788.2989
    69   12 Mg         0.2004     657.1071   58831.9756
    70   12 Mg         0.2062     656.0638   58738.5658
    71   12 Mg         0.2062     656.0638   58738.5652
    72   12 Mg         0.2062     656.0637   58738.5571
    73   12 Mg         0.2062     656.0639   58738.5747
    74   12 Mg         0.2062     656.0639   58738.5719
    75   12 Mg         0.2062     656.0640   58738.5820
    76   12 Mg         0.2006     657.0794   58829.4928
    77   12 Mg         0.2040     656.4689   58774.8332
    78   12 Mg         0.2040     656.4693   58774.8653
    79   12 Mg         0.1992     657.3328   58852.1817
    80   12 Mg         0.1992     657.3328   58852.1746
    81   12 Mg         0.1992     657.3327   58852.1741
    82   12 Mg         0.1992     657.3325   58852.1518
    83   12 Mg         0.2006     657.0780   58829.3669
    84   12 Mg         0.2037     656.5203   58779.4383
    85   12 Mg         0.2037     656.5207   58779.4721
    86   12 Mg         0.1992     657.3328   58852.1818
    87   12 Mg         0.1992     657.3327   58852.1673
    88   12 Mg         0.2021     656.8114   58805.5013
    89   12 Mg         0.2021     656.8114   58805.4945
    90   12 Mg         0.2029     656.6680   58792.6549
    91   12 Mg         0.2040     656.4694   58774.8800
    92   12 Mg         0.2037     656.5209   58779.4916
    93   12 Mg         0.2037     656.5203   58779.4301
    94   12 Mg         0.2029     656.6680   58792.6616
    95   12 Mg         0.2029     656.6674   58792.6085
    96   12 Mg         0.2037     656.5205   58779.4534
    97   12 Mg         0.2037     656.5206   58779.4604
    98   12 Mg         0.2006     657.0797   58829.5215
    99   12 Mg         0.2006     657.0796   58829.5068
   100   12 Mg         0.2021     656.8110   58805.4629
   101   12 Mg         0.2062     656.0640   58738.5776
   102   12 Mg         0.2062     656.0640   58738.5770
   103   12 Mg         0.2062     656.0639   58738.5689
   104   12 Mg         0.2062     656.0641   58738.5865
   105   12 Mg         0.2062     656.0640   58738.5837
   106   12 Mg         0.2062     656.0641   58738.5938
   107   12 Mg         0.2004     657.1071   58831.9757
   108   12 Mg         0.2031     656.6199   58788.3491
   109   12 Mg         0.2031     656.6194   58788.3101
   110   12 Mg         0.2031     656.6196   58788.3260
