Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,Result
Lu,174.9667,221,1.27,5.426,0,137,0.013172379,0.013172379,2,6,0.013172379,13.17237872
Ca,40.08,231,1,6.113,0,160.8,0.019033566,0.019033566,4,2,0.019033566,19.0335663
Mg,24.305,173,1.31,7.646,0,71.2,0.016588234,0.016588234,3,3,0.016588234,16.58823378
Fe,55.84,194,1.83,7.902,0.163,62,0.003169781,0.003169781,2,2,0.003169781,3.169781065
Rh,102.9055,195,2.28,7.459,1.137,66,0.0008689,0.0008689,3,1,0.0008689,0.868900489
Tl,204.383,196,1.62,6.108,0.2,66,0.010554879,0.010554879,1,3,0.010554879,10.55487888
Yb,173.05,242,0,6.254,0,139,0.022484006,0.022484006,1,3,0.022484006,22.48400575
Au,196.96657,166,2.54,9.226,2.309,36.06,0.006373689,0.006373689,2,6,0.006373689,6.373689467
Li,7,182,0.98,5.392,0.618,164.1125,0.016745279,0.016745279,8,8,0.016745279,16.74527872
B,10.81,192,2.04,8.298,0.277,20.5,0.001414131,0.001414131,2,2,0.001414131,1.414131023
Nb,92.90637,207,1.6,6.759,0.893,98,0.01773598,0.01773598,3,1,0.01773598,17.73598023
Hg,200.59,209,2,10.438,0,33,0.006840046,0.006840046,1,1,0.006840046,6.840046433
Ge,72.63,211,2.01,7.9,1.35,40,0.001034283,0.001034283,96,56,0.001034283,1.034282514
Hf,178.49,212,1.3,6.825,0,103,0.014163892,0.014163892,1,1,0.014163892,14.1638919
Si,28.085,210,1.9,8.152,1.385,37.3,0.000836953,0.000836953,96,56,0.000836953,0.836952786
Mg,24.305,173,1.31,7.646,0,71.2,0.015972586,0.015972586,4,2,0.015972586,15.97258571
Si,28.085,210,1.9,8.152,1.385,37.3,0.013518213,0.013518213,88,20,0.013518213,13.51821271
Zr,91.22,186,1.33,6.634,0.426,112,0.02327423,0.02327423,3,1,0.02327423,23.27423043
Tl,204.383,196,1.62,6.108,0.2,66,0.013250021,0.013250021,12,12,0.013250021,13.25002062
