Symbol,Structure,Total Sites,Li Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Li Sites,Diff per Counter Ion Sites,Composition
Sn,Li1 Sn3,4,1.0,3.0,0.009970962432499399,0.0024927406081248498,0.009970962432499399,0.003323654144166466,Li1 Sn3
Sn,Li6 Sn6,12,6.0,6.0,0.019685781076979145,0.0016404817564149288,0.0032809635128298576,0.0032809635128298576,Li6 Sn6
Sn,Li3 Sn3,6,3.0,3.0,0.009352016835654252,0.001558669472609042,0.003117338945218084,0.003117338945218084,Li3 Sn3
S,Li1 S1,2,1.0,1.0,0.011404670375180549,0.005702335187590274,0.011404670375180549,0.011404670375180549,Li1 S1
S,Li4 S4,8,4.0,4.0,0.04465548203896375,0.005581935254870469,0.011163870509740938,0.011163870509740938,Li4 S4
S,Li1 S1,2,1.0,1.0,0.015341901967986401,0.0076709509839932005,0.015341901967986401,0.015341901967986401,Li1 S1
Tb,Li1 Tb3,4,1.0,3.0,0.11472257325871424,0.02868064331467856,0.11472257325871424,0.03824085775290475,Li1 Tb3
Tb,Li1 Tb3,4,1.0,3.0,0.13066530236246415,0.03266632559061604,0.13066530236246415,0.04355510078748805,Li1 Tb3
Tb,Li2 Tb6,8,2.0,6.0,0.1697014664130725,0.02121268330163406,0.08485073320653624,0.028283577735512083,Li2 Tb6
Te,Li2 Te6,8,2.0,6.0,0.02426361712354115,0.003032952140442644,0.012131808561770575,0.004043936187256858,Li2 Te6
Te,Li12 Te36,48,12.0,36.0,0.17598641161962847,0.0036663835754089263,0.014665534301635705,0.004888511433878568,Li12 Te36
Te,Li12 Te36,48,12.0,36.0,0.176300920907769,0.0036729358522451876,0.01469174340898075,0.0048972478029935835,Li12 Te36
Tl,Li1 Tl3,4,1.0,3.0,0.042219515513869696,0.010554878878467424,0.042219515513869696,0.014073171837956566,Li1 Tl3
Tl,Li1 Tl3,4,1.0,3.0,0.0425836099372461,0.010645902484311525,0.0425836099372461,0.0141945366457487,Li1 Tl3
Tl,Li4 Tl4,8,4.0,4.0,0.09677199779543005,0.012096499724428757,0.024192999448857513,0.024192999448857513,Li4 Tl4
Tl,Li12 Tl12,24,12.0,12.0,0.3077822892294335,0.012824262051226396,0.02564852410245279,0.02564852410245279,Li12 Tl12
Tl,Li12 Tl12,24,12.0,12.0,0.3180004948687095,0.013250020619529563,0.026500041239059125,0.026500041239059125,Li12 Tl12
Tl,Li1 Tl1,2,1.0,1.0,0.0323862826814628,0.0161931413407314,0.0323862826814628,0.0323862826814628,Li1 Tl1
Tm,Li2 Tm6,8,2.0,6.0,0.14577117850211202,0.018221397312764002,0.07288558925105601,0.02429519641701867,Li2 Tm6
U,Li1 U1,2,1.0,1.0,0.03134938936111535,0.015674694680557676,0.03134938936111535,0.03134938936111535,Li1 U1
W,Li1 W3,4,1.0,3.0,0.013884587042659248,0.003471146760664812,0.013884587042659248,0.004628195680886416,Li1 W3
Y,Li1 Y3,4,1.0,3.0,0.10143440957763926,0.025358602394409815,0.10143440957763926,0.033811469859213086,Li1 Y3
Y,Li1 Y3,4,1.0,3.0,0.09717284610516135,0.024293211526290336,0.09717284610516135,0.03239094870172045,Li1 Y3
Y,Li1 Y3,4,1.0,3.0,0.0986480680469431,0.024662017011735773,0.0986480680469431,0.03288268934898103,Li1 Y3
Yb,Li1 Yb3,4,1.0,3.0,0.105714008074075,0.02642850201851875,0.105714008074075,0.03523800269135833,Li1 Yb3
Yb,Li2 Yb6,8,2.0,6.0,0.21293107654609902,0.026616384568262378,0.10646553827304951,0.03548851275768317,Li2 Yb6
Yb,Li1 Yb3,4,1.0,3.0,0.08993602301882628,0.02248400575470657,0.08993602301882628,0.029978674339608758,Li1 Yb3
Zn,Li2 Zn26,28,2.0,26.0,0.11118586709574499,0.003970923824848036,0.055592933547872495,0.0042763795036825,Li2 Zn26
Zn,Li4 Zn8,12,4.0,8.0,0.14539688252969452,0.012116406877474542,0.03634922063242363,0.018174610316211814,Li4 Zn8
Zn,Li1 Zn3,4,1.0,3.0,0.035263672690698744,0.008815918172674686,0.035263672690698744,0.011754557563566248,Li1 Zn3
Zn,Li1 Zn3,4,1.0,3.0,0.050778162507864454,0.012694540626966113,0.050778162507864454,0.016926054169288152,Li1 Zn3
Zn,Li2 Zn6,8,2.0,6.0,0.09478166755468254,0.011847708444335317,0.04739083377734127,0.015796944592447088,Li2 Zn6
Zn,Li2 Zn2,4,2.0,2.0,0.05004179919213696,0.01251044979803424,0.02502089959606848,0.02502089959606848,Li2 Zn2
Li,Na1 Li3,4,3.0,3.0,0.0734990989201115,0.018374774730027875,0.024499699640037165,0.024499699640037165,Na1 Li3
Li,Na2 Li6,8,6.0,6.0,0.14738202437852752,0.01842275304731594,0.024563670729754586,0.024563670729754586,Na2 Li6
Li,Rb3 Li1,4,1.0,1.0,0.007191087569381001,0.0017977718923452503,0.007191087569381001,0.007191087569381001,Rb3 Li1
Li,Rb3 Li1,4,1.0,1.0,0.0082145980526685,0.002053649513167125,0.0082145980526685,0.0082145980526685,Rb3 Li1
Li,Rb3 Li1,4,1.0,1.0,0.007419974529891699,0.0018549936324729248,0.007419974529891699,0.007419974529891699,Rb3 Li1
Li,Sr12 Li8,20,8.0,8.0,0.3349055743803005,0.016745278719015023,0.04186319679753756,0.04186319679753756,Sr12 Li8
Li,Sr6 Li2,8,2.0,2.0,0.14513262930704846,0.018141578663381057,0.07256631465352423,0.07256631465352423,Sr6 Li2
Li,Sr3 Li1,4,1.0,1.0,0.07093089001445375,0.01773272250361344,0.07093089001445375,0.07093089001445375,Sr3 Li1
Li,Sr6 Li23,29,23.0,23.0,0.5607315689772735,0.019335571344043914,0.0243796334337945,0.0243796334337945,Sr6 Li23
