Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.016020350992593,0.016020350992593,2.0,4.0,0.016020350992593
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.012034943658298,0.012034943658298,26.0,8.0,0.012034943658298
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.0142504762403114,0.0142504762403114,30.0,8.0,0.0142504762403114
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0159603771567637,0.0159603771567637,1.0,1.0,0.0159603771567637
Hg,200.59,209.0,2.0,10.438,0.0,33.0,0.0043307819195542,0.0043307819195542,2.0,6.0,0.0043307819195542
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0153932744136141,0.0153932744136141,4.0,2.0,0.0153932744136141
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0083749276018587,0.0083749276018587,68.0,34.0,0.0083749276018587
Tm,168.93422,227.0,1.25,6.184,0.0,144.0,0.018345222454228,0.018345222454228,6.0,2.0,0.018345222454228
O,15.999,152.0,3.44,13.618,1.461,5.3,0.000943189408454,0.000943189408454,1.0,1.0,0.000943189408454
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.0139038420903032,0.0139038420903032,30.0,8.0,0.0139038420903032
Zn,65.4,139.0,1.65,9.394,0.0,38.67,0.0169678602760928,0.0169678602760928,6.0,2.0,0.0169678602760928
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.004986587856097,0.004986587856097,1.0,3.0,0.004986587856097
Mo,95.95,209.0,2.16,7.092,0.746,87.0,0.001369366761548,0.001369366761548,3.0,1.0,0.001369366761548
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0188161244308876,0.0188161244308876,88.0,88.0,0.0188161244308876
Sm,150.4,229.0,1.17,5.644,0.0,192.0,0.017350697299099,0.017350697299099,6.0,2.0,0.017350697299099
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.0105114359347004,0.0105114359347004,1.0,3.0,0.0105114359347004
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0143980847902445,0.0143980847902445,2.0,4.0,0.0143980847902445
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0182105324019794,0.0182105324019794,4.0,2.0,0.0182105324019794
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0113552870480013,0.0113552870480013,4.0,8.0,0.0113552870480013
Cd,112.41,158.0,1.69,8.994,0.0,46.0,0.0085416965176417,0.0085416965176417,2.0,6.0,0.0085416965176417
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.0098409657667179,0.0098409657667179,1.0,1.0,0.0098409657667179
Sb,121.76,206.0,2.05,8.64,1.07,43.0,0.0095982650342393,0.0095982650342393,12.0,6.0,0.0095982650342393
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.016756457317548,0.016756457317548,4.0,2.0,0.016756457317548
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0108501425391585,0.0108501425391585,2.0,2.0,0.0108501425391585
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.011737965306676,0.011737965306676,27.0,10.0,0.011737965306676
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.0036663835754089,0.0036663835754089,12.0,36.0,0.0036663835754089
Pu,244.0642,243.0,1.28,6.06,0.0,145.0,0.0170238897097786,0.0170238897097786,3.0,1.0,0.0170238897097786
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0184227530473159,0.0184227530473159,6.0,6.0,0.0184227530473159
Lu,174.9667,221.0,1.27,5.426,0.0,137.0,0.0173146515705968,0.0173146515705968,6.0,2.0,0.0173146515705968
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0017977718923452,0.0017977718923452,1.0,1.0,0.0017977718923452
Pm,144.91276,236.0,0.0,5.55,0.0,200.0,0.025436806740734,0.025436806740734,3.0,1.0,0.025436806740734
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0181231438430146,0.0181231438430146,5.0,1.0,0.0181231438430146
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.0112254195464436,0.0112254195464436,2.0,2.0,0.0112254195464436
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0127597713328364,0.0127597713328364,85.0,20.0,0.0127597713328364
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.0115872673109993,0.0115872673109993,6.0,2.0,0.0115872673109993
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0010008373333783,0.0010008373333783,3.0,1.0,0.0010008373333783
Zn,65.4,139.0,1.65,9.394,0.0,38.67,0.003970923824848,0.003970923824848,2.0,26.0,0.003970923824848
Be,9.012183,153.0,1.57,9.323,0.0,37.74,0.0165259391066958,0.0165259391066958,3.0,1.0,0.0165259391066958
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0184060000741154,0.0184060000741154,5.0,1.0,0.0184060000741154
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0022149848621406,0.0022149848621406,4.0,10.0,0.0022149848621406
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0113434604090239,0.0113434604090239,8.0,4.0,0.0113434604090239
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0116302384195752,0.0116302384195752,2.0,6.0,0.0116302384195752
Ir,192.22,202.0,2.2,9.1,1.565,54.0,0.0130235883666295,0.0130235883666295,1.0,1.0,0.0130235883666295
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.016997657308235,0.016997657308235,9.0,4.0,0.016997657308235
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.0075205720693802,0.0075205720693802,1.0,3.0,0.0075205720693802
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0145113327204981,0.0145113327204981,1.0,3.0,0.0145113327204981
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.0153312667036996,0.0153312667036996,1.0,7.0,0.0153312667036996
I,126.9045,198.0,2.66,10.451,3.059,32.9,0.0048408690897619,0.0048408690897619,2.0,2.0,0.0048408690897619
Ca,40.08,231.0,1.0,6.113,0.0,160.8,0.006825104482653,0.006825104482653,2.0,8.0,0.006825104482653
Eu,151.964,233.0,0.0,5.67,0.0,184.0,0.0264736544839168,0.0264736544839168,1.0,3.0,0.0264736544839168
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.0008938504019247,0.0008938504019247,6.0,2.0,0.0008938504019247
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0084142404903292,0.0084142404903292,4.0,14.0,0.0084142404903292
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0010879295338342,0.0010879295338342,2.0,2.0,0.0010879295338342
Tl,204.383,196.0,1.62,6.108,0.2,66.0,0.0128242620512263,0.0128242620512263,12.0,12.0,0.0128242620512263
Pa,231.03588,243.0,1.5,5.89,0.0,200.0,0.0171476763848949,0.0171476763848949,1.0,1.0,0.0171476763848949
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.0105457578251164,0.0105457578251164,1.0,3.0,0.0105457578251164
Pu,244.0642,243.0,1.28,6.06,0.0,145.0,0.014716199064086,0.014716199064086,1.0,3.0,0.014716199064086
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0095558458156167,0.0095558458156167,68.0,34.0,0.0095558458156167
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.012655035909469,0.012655035909469,2.0,4.0,0.012655035909469
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.0134908114255436,0.0134908114255436,88.0,20.0,0.0134908114255436
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0117781040169393,0.0117781040169393,1.0,3.0,0.0117781040169393
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0169403845504721,0.0169403845504721,4.0,2.0,0.0169403845504721
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0033318432712172,0.0033318432712172,1.0,3.0,0.0033318432712172
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.0246620170117357,0.0246620170117357,1.0,3.0,0.0246620170117357
N,14.007,155.0,3.04,14.534,0.0,7.4,0.0057249036794436,0.0057249036794436,1.0,1.0,0.0057249036794436
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0076051163977945,0.0076051163977945,2.0,2.0,0.0076051163977945
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.0076987349127119,0.0076987349127119,1.0,1.0,0.0076987349127119
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0182170748284664,0.0182170748284664,3.0,1.0,0.0182170748284664
I,126.9045,198.0,2.66,10.451,3.059,32.9,0.0034036575752345,0.0034036575752345,2.0,2.0,0.0034036575752345
Er,167.26,235.0,1.24,6.108,0.0,150.0,0.0197624801180264,0.0197624801180264,2.0,6.0,0.0197624801180264
Ho,164.93033,216.0,1.23,6.022,0.0,156.0,0.0184954970109344,0.0184954970109344,6.0,2.0,0.0184954970109344
In,114.818,193.0,1.78,5.786,0.3,65.0,0.0178256459902983,0.0178256459902983,26.0,6.0,0.0178256459902983
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.0131948521677827,0.0131948521677827,3.0,1.0,0.0131948521677827
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0166591848236125,0.0166591848236125,2.0,4.0,0.0166591848236125
Ce,140.116,235.0,1.12,5.539,0.5,205.0,0.012910891392535,0.012910891392535,3.0,1.0,0.012910891392535
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0095173187875818,0.0095173187875818,2.0,1.0,0.0095173187875818
Dy,162.5,229.0,1.22,5.939,0.0,163.0,0.0304571082406915,0.0304571082406915,1.0,3.0,0.0304571082406915
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0120707984597504,0.0120707984597504,14.0,4.0,0.0120707984597504
Ca,40.08,231.0,1.0,6.113,0.0,160.8,0.0163138013945347,0.0163138013945347,2.0,6.0,0.0163138013945347
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0004285011992989,0.0004285011992989,2.0,8.0,0.0004285011992989
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,0.0197004273795543,0.0197004273795543,6.0,2.0,0.0197004273795543
Cl,35.45,175.0,3.16,12.968,3.617,14.6,0.0069634571314085,0.0069634571314085,4.0,4.0,0.0069634571314085
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0007772652430849,0.0007772652430849,1.0,8.0,0.0007772652430849
Be,9.012183,153.0,1.57,9.323,0.0,37.74,0.0162615121724675,0.0162615121724675,6.0,2.0,0.0162615121724675
Hg,200.59,209.0,2.0,10.438,0.0,33.0,0.0130261913902033,0.0130261913902033,3.0,1.0,0.0130261913902033
N,14.007,155.0,3.04,14.534,0.0,7.4,0.0027373421707566,0.0027373421707566,1.0,3.0,0.0027373421707566
Tb,158.92535,221.0,0.0,5.864,0.0,170.0,0.0286806433146785,0.0286806433146785,1.0,3.0,0.0286806433146785
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0177327225036134,0.0177327225036134,1.0,1.0,0.0177327225036134
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0075093971147776,0.0075093971147776,8.0,8.0,0.0075093971147776
Ni,58.693,163.0,1.91,7.64,1.156,49.0,0.0021323079656081,0.0021323079656081,3.0,1.0,0.0021323079656081
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.0127701341519211,0.0127701341519211,14.0,4.0,0.0127701341519211
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0145381954759066,0.0145381954759066,2.0,4.0,0.0145381954759066
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.000570098429859,0.000570098429859,8.0,8.0,0.000570098429859
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.0086954215114302,0.0086954215114302,1.0,1.0,0.0086954215114302
Cd,112.41,158.0,1.69,8.994,0.0,46.0,0.0154689422101515,0.0154689422101515,3.0,1.0,0.0154689422101515
Cd,112.41,158.0,1.69,8.994,0.0,46.0,0.0087673713817695,0.0087673713817695,1.0,3.0,0.0087673713817695
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.0067282605541535,0.0067282605541535,1.0,1.0,0.0067282605541535
In,114.818,193.0,1.78,5.786,0.3,65.0,0.0158885857309179,0.0158885857309179,4.0,2.0,0.0158885857309179
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0132209370095197,0.0132209370095197,1.0,5.0,0.0132209370095197
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.0027722314225559,0.0027722314225559,7.0,6.0,0.0027722314225559
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.0073436802352406,0.0073436802352406,1.0,7.0,0.0073436802352406
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0051317163467162,0.0051317163467162,1.0,11.0,0.0051317163467162
Ho,164.93033,216.0,1.23,6.022,0.0,156.0,0.0168206044417904,0.0168206044417904,2.0,6.0,0.0168206044417904
In,114.818,193.0,1.78,5.786,0.3,65.0,0.0141112010859746,0.0141112010859746,2.0,2.0,0.0141112010859746
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0152645504390353,0.0152645504390353,3.0,3.0,0.0152645504390353
Ca,40.08,231.0,1.0,6.113,0.0,160.8,0.0206551974991243,0.0206551974991243,3.0,1.0,0.0206551974991243
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0004285011992989,0.0004285011992989,2.0,8.0,0.0004285011992989
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.010151166014746,0.010151166014746,22.0,12.0,0.010151166014746
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0095050840075983,0.0095050840075983,68.0,34.0,0.0095050840075983
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0162378583052591,0.0162378583052591,2.0,4.0,0.0162378583052591
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.0033761214525335,0.0033761214525335,2.0,6.0,0.0033761214525335
Ac,227.02775,260.0,1.1,5.17,0.0,282.0,0.0154672696953513,0.0154672696953513,3.0,1.0,0.0154672696953513
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0193355713440439,0.0193355713440439,23.0,23.0,0.0193355713440439
Ca,40.08,231.0,1.0,6.113,0.0,160.8,0.0192974153913607,0.0192974153913607,8.0,4.0,0.0192974153913607
Sb,121.76,206.0,2.05,8.64,1.07,43.0,0.0051126427111905,0.0051126427111905,1.0,3.0,0.0051126427111905
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.0208379655843068,0.0208379655843068,2.0,6.0,0.0208379655843068
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.0140621715937622,0.0140621715937622,3.0,1.0,0.0140621715937622
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.001991283824443,0.001991283824443,1.0,1.0,0.001991283824443
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0130344587511252,0.0130344587511252,4.0,12.0,0.0130344587511252
Zn,65.4,139.0,1.65,9.394,0.0,38.67,0.0151697469451328,0.0151697469451328,3.0,1.0,0.0151697469451328
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0039473856203636,0.0039473856203636,5.0,4.0,0.0039473856203636
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.0097291847819429,0.0097291847819429,1.0,3.0,0.0097291847819429
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0165910632533828,0.0165910632533828,2.0,2.0,0.0165910632533828
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0016404817564149,0.0016404817564149,6.0,6.0,0.0016404817564149
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0052965052892562,0.0052965052892562,1.0,11.0,0.0052965052892562
Yb,173.05,242.0,0.0,6.254,0.0,139.0,0.0264285020185187,0.0264285020185187,1.0,3.0,0.0264285020185187
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0156018072372357,0.0156018072372357,2.0,4.0,0.0156018072372357
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0182179638663161,0.0182179638663161,3.0,1.0,0.0182179638663161
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0177347761184307,0.0177347761184307,5.0,1.0,0.0177347761184307
N,14.007,155.0,3.04,14.534,0.0,7.4,0.010151536675364,0.010151536675364,2.0,1.0,0.010151536675364
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.0098873015616671,0.0098873015616671,8.0,2.0,0.0098873015616671
Cr,51.996,189.0,1.66,6.767,0.666,83.0,0.0014992341325515,0.0014992341325515,3.0,1.0,0.0014992341325515
Th,232.038,237.0,1.3,6.08,0.0,240.0,0.0159540780399607,0.0159540780399607,3.0,1.0,0.0159540780399607
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.0166990250169968,0.0166990250169968,1.0,1.0,0.0166990250169968
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0069364888662865,0.0069364888662865,3.0,14.0,0.0069364888662865
Bi,208.9804,207.0,2.02,7.289,0.946,53.0,0.0108530740036871,0.0108530740036871,6.0,2.0,0.0108530740036871
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0010620963944123,0.0010620963944123,1.0,1.0,0.0010620963944123
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.0242932115262903,0.0242932115262903,1.0,3.0,0.0242932115262903
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0008869820085797,0.0008869820085797,1.0,2.0,0.0008869820085797
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.0108320183468317,0.0108320183468317,2.0,4.0,0.0108320183468317
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.0135160052878406,0.0135160052878406,6.0,2.0,0.0135160052878406
N,14.007,155.0,3.04,14.534,0.0,7.4,0.0056301786443849,0.0056301786443849,4.0,4.0,0.0056301786443849
Be,9.012183,153.0,1.57,9.323,0.0,37.74,0.016477627548418,0.016477627548418,1.0,1.0,0.016477627548418
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0008161283721689,0.0008161283721689,1.0,8.0,0.0008161283721689
W,183.84,210.0,2.36,7.98,0.815,68.0,0.0010243872357269,0.0010243872357269,6.0,2.0,0.0010243872357269
Tb,158.92535,221.0,0.0,5.864,0.0,170.0,0.00387768691868,0.00387768691868,6.0,2.0,0.00387768691868
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.0135867223326156,0.0135867223326156,6.0,2.0,0.0135867223326156
Gd,157.25,237.0,1.2,6.15,0.0,158.0,0.019037768812911,0.019037768812911,6.0,2.0,0.019037768812911
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0024927406081248,0.0024927406081248,1.0,3.0,0.0024927406081248
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0018855886678763,0.0018855886678763,2.0,6.0,0.0018855886678763
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.015270827171065,0.015270827171065,2.0,6.0,0.015270827171065
Mn,54.93804,197.0,1.55,7.434,0.0,68.0,0.0031490046097577,0.0031490046097577,1.0,1.0,0.0031490046097577
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.0105910604178185,0.0105910604178185,4.0,8.0,0.0105910604178185
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.0015087894660265,0.0015087894660265,8.0,56.0,0.0015087894660265
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.0033715430803786,0.0033715430803786,48.0,112.0,0.0033715430803786
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.018141578663381,0.018141578663381,2.0,2.0,0.018141578663381
Zn,65.4,139.0,1.65,9.394,0.0,38.67,0.0151430650680726,0.0151430650680726,3.0,1.0,0.0151430650680726
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0164437941931987,0.0164437941931987,4.0,1.0,0.0164437941931987
Sb,121.76,206.0,2.05,8.64,1.07,43.0,0.0115964585737719,0.0115964585737719,6.0,2.0,0.0115964585737719
I,126.9045,198.0,2.66,10.451,3.059,32.9,0.0047357374226162,0.0047357374226162,1.0,1.0,0.0047357374226162
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.0097098730384282,0.0097098730384282,1.0,3.0,0.0097098730384282
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.0174899762175015,0.0174899762175015,3.0,1.0,0.0174899762175015
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0162322838354511,0.0162322838354511,4.0,2.0,0.0162322838354511
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.0013657398914888,0.0013657398914888,8.0,8.0,0.0013657398914888
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0006762462959074,0.0006762462959074,4.0,2.0,0.0006762462959074
Ni,58.693,163.0,1.91,7.64,1.156,49.0,0.0031269613039282,0.0031269613039282,1.0,3.0,0.0031269613039282
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0159320209260951,0.0159320209260951,2.0,4.0,0.0159320209260951
Ho,164.93033,216.0,1.23,6.022,0.0,156.0,0.0179371468106402,0.0179371468106402,1.0,3.0,0.0179371468106402
Yb,173.05,242.0,0.0,6.254,0.0,139.0,0.0225577670836638,0.0225577670836638,6.0,2.0,0.0225577670836638
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.015194491209842,0.015194491209842,2.0,4.0,0.015194491209842
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0011979460151208,0.0011979460151208,2.0,2.0,0.0011979460151208
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0123106885619125,0.0123106885619125,88.0,20.0,0.0123106885619125
Eu,151.964,233.0,0.0,5.67,0.0,184.0,0.0193445189603951,0.0193445189603951,6.0,2.0,0.0193445189603951
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0072747946323083,0.0072747946323083,4.0,2.0,0.0072747946323083
N,14.007,155.0,3.04,14.534,0.0,7.4,0.0119106855165112,0.0119106855165112,6.0,2.0,0.0119106855165112
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0008670995731989,0.0008670995731989,1.0,8.0,0.0008670995731989
Pm,144.91276,236.0,0.0,5.55,0.0,200.0,0.0171926528091191,0.0171926528091191,6.0,2.0,0.0171926528091191
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0065864054749602,0.0065864054749602,4.0,4.0,0.0065864054749602
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0132256325482184,0.0132256325482184,1.0,5.0,0.0132256325482184
Cu,63.55,140.0,1.9,7.726,1.228,46.5,0.0174490074260236,0.0174490074260236,3.0,1.0,0.0174490074260236
Er,167.26,235.0,1.24,6.108,0.0,150.0,0.0184661385317093,0.0184661385317093,6.0,2.0,0.0184661385317093
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0076709509839932,0.0076709509839932,1.0,1.0,0.0076709509839932
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.0092499142982784,0.0092499142982784,2.0,1.0,0.0092499142982784
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0019220224323156,0.0019220224323156,2.0,6.0,0.0019220224323156
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.0150260437299618,0.0150260437299618,2.0,2.0,0.0150260437299618
Zn,65.4,139.0,1.65,9.394,0.0,38.67,0.0121164068774745,0.0121164068774745,4.0,8.0,0.0121164068774745
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0161538646454453,0.0161538646454453,2.0,4.0,0.0161538646454453
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0151909213083102,0.0151909213083102,2.0,2.0,0.0151909213083102
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.0141564266145332,0.0141564266145332,4.0,4.0,0.0141564266145332
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.0182875311182473,0.0182875311182473,3.0,1.0,0.0182875311182473
Sb,121.76,206.0,2.05,8.64,1.07,43.0,0.0102019882671319,0.0102019882671319,12.0,6.0,0.0102019882671319
Cd,112.41,158.0,1.69,8.994,0.0,46.0,0.0084589256087802,0.0084589256087802,1.0,3.0,0.0084589256087802
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.0207984021167516,0.0207984021167516,1.0,3.0,0.0207984021167516
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0167479099335375,0.0167479099335375,4.0,2.0,0.0167479099335375
In,114.818,193.0,1.78,5.786,0.3,65.0,0.0137950381164241,0.0137950381164241,5.0,4.0,0.0137950381164241
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.009472878446506,0.009472878446506,1.0,1.0,0.009472878446506
N,14.007,155.0,3.04,14.534,0.0,7.4,0.0075857535344837,0.0075857535344837,3.0,1.0,0.0075857535344837
In,114.818,193.0,1.78,5.786,0.3,65.0,0.0098629805085917,0.0098629805085917,1.0,3.0,0.0098629805085917
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0157210970801618,0.0157210970801618,3.0,3.0,0.0157210970801618
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0009650896489951,0.0009650896489951,1.0,8.0,0.0009650896489951
Np,237.048172,221.0,1.36,6.266,0.0,160.0,0.0118149268908448,0.0118149268908448,1.0,3.0,0.0118149268908448
B,10.81,192.0,2.04,8.298,0.277,20.5,0.001234364603176,0.001234364603176,2.0,1.0,0.001234364603176
Cd,112.41,158.0,1.69,8.994,0.0,46.0,0.01292847161396,0.01292847161396,2.0,2.0,0.01292847161396
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.0032020529363013,0.0032020529363013,2.0,6.0,0.0032020529363013
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.0139982989572468,0.0139982989572468,3.0,1.0,0.0139982989572468
Tl,204.383,196.0,1.62,6.108,0.2,66.0,0.0161931413407314,0.0161931413407314,1.0,1.0,0.0161931413407314
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0108514950312202,0.0108514950312202,14.0,6.0,0.0108514950312202
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.0114046933540028,0.0114046933540028,7.0,2.0,0.0114046933540028
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0158912383524396,0.0158912383524396,1.0,1.0,0.0158912383524396
O,15.999,152.0,3.44,13.618,1.461,5.3,0.000960030290061,0.000960030290061,2.0,4.0,0.000960030290061
H,1.008,120.0,2.2,13.598,0.754,4.50711,0.0105417603689542,0.0105417603689542,1.0,1.0,0.0105417603689542
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0173162979282055,0.0173162979282055,3.0,1.0,0.0173162979282055
W,183.84,210.0,2.36,7.98,0.815,68.0,0.0034711467606648,0.0034711467606648,1.0,3.0,0.0034711467606648
B,10.81,192.0,2.04,8.298,0.277,20.5,0.002580387498038,0.002580387498038,2.0,18.0,0.002580387498038
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.0015668886290036,0.0015668886290036,4.0,20.0,0.0015668886290036
Re,186.207,217.0,1.9,7.88,0.15,62.0,0.0041880876469882,0.0041880876469882,1.0,3.0,0.0041880876469882
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0160399552211104,0.0160399552211104,2.0,4.0,0.0160399552211104
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0177386615519782,0.0177386615519782,5.0,1.0,0.0177386615519782
N,14.007,155.0,3.04,14.534,0.0,7.4,0.0073663880178028,0.0073663880178028,3.0,2.0,0.0073663880178028
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0075858053140545,0.0075858053140545,4.0,12.0,0.0075858053140545
Pu,244.0642,243.0,1.28,6.06,0.0,145.0,0.0174188413178455,0.0174188413178455,3.0,1.0,0.0174188413178455
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.0121734865470054,0.0121734865470054,3.0,1.0,0.0121734865470054
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0008155392294303,0.0008155392294303,1.0,8.0,0.0008155392294303
