Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion
Tc,96.90636,209.0,1.9,7.28,0.55,79.0,0.001726092242171,0.001726092242171,3.0,1.0,0.001726092242171
Ca,40.08,231.0,1.0,6.113,0.0,160.8,0.0186229280018133,0.0186229280018133,3.0,1.0,0.0186229280018133
In,114.818,193.0,1.78,5.786,0.3,65.0,0.0101119897892167,0.0101119897892167,1.0,3.0,0.0101119897892167
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0108373597838501,0.0108373597838501,28.0,8.0,0.0108373597838501
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0018549936324729,0.0018549936324729,1.0,1.0,0.0018549936324729
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0021165851276738,0.0021165851276738,1.0,1.0,0.0021165851276738
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.0118638570962355,0.0118638570962355,40.0,12.0,0.0118638570962355
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0111563141534302,0.0111563141534302,3.0,1.0,0.0111563141534302
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0020536495131671,0.0020536495131671,1.0,1.0,0.0020536495131671
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0006792042620075,0.0006792042620075,2.0,24.0,0.0006792042620075
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0010165615830229,0.0010165615830229,5.0,2.0,0.0010165615830229
Lu,174.9667,221.0,1.27,5.426,0.0,137.0,0.0131723787164511,0.0131723787164511,2.0,6.0,0.0131723787164511
Ca,40.08,231.0,1.0,6.113,0.0,160.8,0.0190335662998205,0.0190335662998205,4.0,2.0,0.0190335662998205
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0165882337755559,0.0165882337755559,3.0,3.0,0.0165882337755559
Fe,55.84,194.0,1.83,7.902,0.163,62.0,0.0031697810645356,0.0031697810645356,2.0,2.0,0.0031697810645356
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.0008689004894242,0.0008689004894242,3.0,1.0,0.0008689004894242
Tl,204.383,196.0,1.62,6.108,0.2,66.0,0.0105548788784674,0.0105548788784674,1.0,3.0,0.0105548788784674
Yb,173.05,242.0,0.0,6.254,0.0,139.0,0.0224840057547065,0.0224840057547065,1.0,3.0,0.0224840057547065
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.0063736894668326,0.0063736894668326,2.0,6.0,0.0063736894668326
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.016745278719015,0.016745278719015,8.0,8.0,0.016745278719015
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0014141310225483,0.0014141310225483,2.0,2.0,0.0014141310225483
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,0.0177359802321836,0.0177359802321836,3.0,1.0,0.0177359802321836
Hg,200.59,209.0,2.0,10.438,0.0,33.0,0.0068400464326423,0.0068400464326423,1.0,1.0,0.0068400464326423
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.0010342825138736,0.0010342825138736,96.0,56.0,0.0010342825138736
Hf,178.49,212.0,1.3,6.825,0.0,103.0,0.0141638918983288,0.0141638918983288,1.0,1.0,0.0141638918983288
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0008369527861343,0.0008369527861343,96.0,56.0,0.0008369527861343
