Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.013490811425543613,0.016556904931348978,88.0,20.0,0.0728503816979355,0.0008680234680251966,8.680234680251965
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.014003003460456203,0.017185504246923524,88.0,20.0,0.0756162186864635,0.0007521978541213252,7.521978541213253
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.013518212707945601,0.01659053377793324,88.0,20.0,0.07299834862290625,0.0009009962576779852,9.009962576779852
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.012310688561912544,0.015108572325983578,88.0,20.0,0.06647771823432774,0.000692932619399482,6.92932619399482
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.01173796530667608,0.016085359864704257,27.0,10.0,0.0434304716347015,0.000764553743484511,7.64553743484511
Sb,121.76,206.0,2.05,8.64,1.07,43.0,0.012270265854081716,0.01681480876300087,27.0,10.0,0.04539998366010235,0.0006583941268930843,6.583941268930843
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.016756457317548084,0.025134685976322124,4.0,2.0,0.05026937195264425,0.0010240088201384754,10.240088201384754
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.0153812604129275,0.02307189061939125,8.0,4.0,0.0461437812387825,0.0008244365305839865,8.244365305839866
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0012343646031760004,0.0018515469047640006,2.0,1.0,0.0037030938095280012,0.00013919105478536208,1.391910547853621
Ca,40.08,231.0,1.0,6.113,,160.8,0.019033566299820535,0.028550349449730804,4.0,2.0,0.05710069889946161,0.0006725782893452156,6.725782893452156
Ca,40.08,231.0,1.0,6.113,,160.8,0.01929741539136075,0.028946123087041125,8.0,4.0,0.05789224617408225,0.0006845474004096806,6.845474004096807
Cd,112.41,158.0,1.69,8.994,,46.0,0.012951799447437582,0.019427699171156373,8.0,4.0,0.03885539834231275,0.0006049898257684887,6.049898257684887
