-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.0647    5807.1165 1590407.3488
     2   12 Mg         0.0125     676.6191   60578.9116
     3   12 Mg         0.0125     676.6219   60579.1649
     4   12 Mg         0.0125     676.6219   60579.1642
     5   12 Mg         0.0159     676.4443   60563.2663
     6   12 Mg         0.0159     676.4443   60563.2664
     7   12 Mg         0.0125     676.6191   60578.9117
     8   12 Mg         0.0125     676.6191   60578.9118
     9   12 Mg         0.0128     676.6054   60577.6905
    10   12 Mg         0.0128     676.6054   60577.6903
    11   12 Mg         0.0127     676.6101   60578.1102
    12   12 Mg         0.0128     676.6054   60577.6902
    13   12 Mg         0.0128     676.6054   60577.6903
    14   12 Mg         0.0125     676.6219   60579.1644
    15   12 Mg         0.0127     676.6122   60578.2982
    16   12 Mg         0.0127     676.6122   60578.2979
    17   12 Mg         0.0159     676.4443   60563.2670
    18   12 Mg         0.0159     676.4443   60563.2665
    19   12 Mg         0.0127     676.6101   60578.1097
    20   12 Mg         0.0127     676.6101   60578.1101
    21   12 Mg         0.0127     676.6122   60578.2978
    22   12 Mg         0.0159     676.4443   60563.2661
    23   12 Mg         0.0159     676.4443   60563.2666
    24   12 Mg         0.0128     676.6054   60577.6905
    25   12 Mg         0.0128     676.6054   60577.6902
    26   12 Mg         0.0121     676.6397   60580.7591
    27   12 Mg         0.0121     676.6397   60580.7592
    28   12 Mg         0.0121     676.6397   60580.7590
    29   12 Mg         0.0122     676.6342   60580.2649
    30   12 Mg         0.0122     676.6374   60580.5574
    31   12 Mg         0.0122     676.6374   60580.5575
    32   12 Mg         0.0122     676.6374   60580.5574
    33   12 Mg         0.0122     676.6374   60580.5574
    34   12 Mg         0.0122     676.6374   60580.5576
    35   12 Mg         0.0122     676.6374   60580.5573
    36   12 Mg         0.0126     676.6170   60578.7290
    37   12 Mg         0.0126     676.6170   60578.7291
    38   12 Mg         0.0126     676.6170   60578.7286
    39   12 Mg         0.0125     676.6193   60578.9310
    40   12 Mg         0.0125     676.6193   60578.9309
    41   12 Mg         0.0125     676.6193   60578.9309
    42   12 Mg         0.0126     676.6152   60578.5683
    43   12 Mg         0.0126     676.6152   60578.5683
