-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
   109   12 Mg         0.0017     677.1452   60626.0156
   110   12 Mg         0.0017     677.1452   60626.0156
   111   12 Mg         0.0017     677.1452   60626.0156
   112   12 Mg         0.0017     677.1452   60626.0156
   113   12 Mg         0.0017     677.1452   60626.0156
   114   12 Mg         0.0017     677.1452   60626.0209
   115   12 Mg         0.0017     677.1452   60626.0209
   116   12 Mg         0.0017     677.1452   60626.0209
   117   12 Mg         0.0017     677.1453   60626.0284
   118   12 Mg         0.0017     677.1453   60626.0284
   119   12 Mg         0.0017     677.1453   60626.0284
   120   12 Mg         0.0017     677.1460   60626.0911
   121   12 Mg         0.0017     677.1460   60626.0911
   122   12 Mg         0.0017     677.1460   60626.0911
   123   12 Mg         0.0017     677.1460   60626.0886
   124   12 Mg         0.0017     677.1460   60626.0886
   125   12 Mg         0.0017     677.1460   60626.0887
   126   12 Mg         0.0020     677.1328   60624.9053
   127   12 Mg         0.0020     677.1328   60624.9053
   128   12 Mg         0.0020     677.1328   60624.9052
   129   12 Mg         0.0017     677.1443   60625.9362
   130   12 Mg         0.0017     677.1443   60625.9362
   131   12 Mg         0.0017     677.1443   60625.9361
   132   12 Mg         0.0017     677.1443   60625.9362
   133   12 Mg         0.0017     677.1443   60625.9362
   134   12 Mg         0.0017     677.1443   60625.9362
   135   12 Mg         0.0017     677.1448   60625.9855
   136   12 Mg         0.0017     677.1448   60625.9855
   137   12 Mg         0.0017     677.1448   60625.9855
   138   12 Mg         0.0017     677.1446   60625.9620
   139   12 Mg         0.0017     677.1446   60625.9620
   140   12 Mg         0.0017     677.1446   60625.9620
   141   12 Mg         0.0017     677.1465   60626.1340
   142   12 Mg         0.0017     677.1465   60626.1340
   143   12 Mg         0.0017     677.1465   60626.1340
   144   12 Mg         0.0017     677.1465   60626.1340
   145   12 Mg         0.0017     677.1465   60626.1340
   146   12 Mg         0.0017     677.1465   60626.1340
   147   12 Mg         0.0017     677.1462   60626.1061
   148   12 Mg         0.0017     677.1463   60626.1131
   149   12 Mg         0.0017     677.1463   60626.1131
   150   12 Mg         0.0017     677.1463   60626.1131
--------------------------------------------------------

Atom-resolved dispersion energies:
--------------------------------------------------
     #    Z           [Hartree]      [kcal/mol]
--------------------------------------------------
     1   37 Rb  -0.14794925E-02     -0.92839554
     2   12 Mg  -0.66748257E-03     -0.41885164
     3   12 Mg  -0.66532948E-03     -0.41750055
     4   12 Mg  -0.66533447E-03     -0.41750368
     5   12 Mg  -0.69203690E-03     -0.43425971
     6   12 Mg  -0.69203905E-03     -0.43426106
     7   12 Mg  -0.66748203E-03     -0.41885130
     8   12 Mg  -0.66748162E-03     -0.41885104
     9   12 Mg  -0.67642585E-03     -0.42446363
    10   12 Mg  -0.67642786E-03     -0.42446489
    11   12 Mg  -0.67393138E-03     -0.42289833
    12   12 Mg  -0.67642864E-03     -0.42446538
    13   12 Mg  -0.67642795E-03     -0.42446495
    14   12 Mg  -0.66533355E-03     -0.41750310
    15   12 Mg  -0.67302250E-03     -0.42232800
    16   12 Mg  -0.67302505E-03     -0.42232960
    17   12 Mg  -0.69203736E-03     -0.43426000
    18   12 Mg  -0.69203856E-03     -0.43426076
    19   12 Mg  -0.67393535E-03     -0.42290081
    20   12 Mg  -0.67393218E-03     -0.42289883
    21   12 Mg  -0.67302563E-03     -0.42232996
    22   12 Mg  -0.69203851E-03     -0.43426072
    23   12 Mg  -0.69203704E-03     -0.43425980
    24   12 Mg  -0.67642603E-03     -0.42446375
    25   12 Mg  -0.67642804E-03     -0.42446500
    26   12 Mg  -0.65069844E-03     -0.40831943
    27   12 Mg  -0.65069699E-03     -0.40831853
