-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.1613    5471.8768 1498594.5208
     2   12 Mg         0.0269     675.8510   60510.1421
     3   12 Mg         0.0268     675.8582   60510.7874
     4   12 Mg         0.0268     675.8581   60510.7857
     5   12 Mg         0.0362     675.3124   60461.9253
     6   12 Mg         0.0362     675.3124   60461.9256
     7   12 Mg         0.0269     675.8510   60510.1423
     8   12 Mg         0.0269     675.8510   60510.1424
     9   12 Mg         0.0276     675.8116   60506.6229
    10   12 Mg         0.0276     675.8116   60506.6222
    11   12 Mg         0.0274     675.8266   60507.9644
    12   12 Mg         0.0276     675.8116   60506.6219
    13   12 Mg         0.0276     675.8116   60506.6221
    14   12 Mg         0.0268     675.8581   60510.7860
    15   12 Mg         0.0273     675.8331   60508.5436
    16   12 Mg         0.0273     675.8331   60508.5428
    17   12 Mg         0.0362     675.3124   60461.9274
    18   12 Mg         0.0362     675.3124   60461.9258
    19   12 Mg         0.0274     675.8266   60507.9630
    20   12 Mg         0.0274     675.8266   60507.9642
    21   12 Mg         0.0273     675.8331   60508.5426
    22   12 Mg         0.0362     675.3124   60461.9245
    23   12 Mg         0.0362     675.3124   60461.9263
    24   12 Mg         0.0276     675.8116   60506.6229
    25   12 Mg         0.0276     675.8116   60506.6221
    26   12 Mg         0.0259     675.9092   60515.3552
    27   12 Mg         0.0259     675.9092   60515.3556
    28   12 Mg         0.0259     675.9092   60515.3550
    29   12 Mg         0.0262     675.8911   60513.7322
    30   12 Mg         0.0261     675.9003   60514.5609
    31   12 Mg         0.0261     675.9003   60514.5611
    32   12 Mg         0.0261     675.9003   60514.5609
    33   12 Mg         0.0261     675.9003   60514.5608
    34   12 Mg         0.0261     675.9003   60514.5613
    35   12 Mg         0.0261     675.9003   60514.5605
    36   12 Mg         0.0270     675.8450   60509.6100
    37   12 Mg         0.0270     675.8450   60509.6102
    38   12 Mg         0.0270     675.8450   60509.6090
    39   12 Mg         0.0269     675.8518   60510.2216
    40   12 Mg         0.0269     675.8518   60510.2216
    41   12 Mg         0.0269     675.8518   60510.2214
    42   12 Mg         0.0271     675.8408   60509.2366
    43   12 Mg         0.0271     675.8408   60509.2366
    44   12 Mg         0.0271     675.8408   60509.2359
    45   12 Mg         0.0271     675.8408   60509.2367
    46   12 Mg         0.0271     675.8408   60509.2369
    47   12 Mg         0.0271     675.8408   60509.2366
    48   12 Mg         0.0367     675.2843   60459.4108
    49   12 Mg         0.0367     675.2843   60459.4112
    50   12 Mg         0.0367     675.2843   60459.4101
    51   12 Mg         0.0263     675.8848   60513.1766
    52   12 Mg         0.0263     675.8848   60513.1768
    53   12 Mg         0.0263     675.8849   60513.1776
    54   12 Mg         0.0263     675.8860   60513.2807
    55   12 Mg         0.0263     675.8860   60513.2812
    56   12 Mg         0.0263     675.8860   60513.2814
    57   12 Mg         0.0266     675.8675   60511.6245
    58   12 Mg         0.0266     675.8675   60511.6247
    59   12 Mg         0.0266     675.8675   60511.6245
    60   12 Mg         0.0267     675.8651   60511.4081
    61   12 Mg         0.0267     675.8651   60511.4079
    62   12 Mg         0.0267     675.8651   60511.4083
    63   12 Mg         0.0268     675.8613   60511.0708
    64   12 Mg         0.0268     675.8613   60511.0706
    65   12 Mg         0.0268     675.8613   60511.0706
    66   12 Mg         0.0268     675.8613   60511.0704
    67   12 Mg         0.0268     675.8613   60511.0706
    68   12 Mg         0.0268     675.8613   60511.0701
    69   12 Mg         0.0265     675.8735   60512.1651
    70   12 Mg         0.0271     675.8442   60509.5354
    71   12 Mg         0.0271     675.8442   60509.5352
    72   12 Mg         0.0271     675.8442   60509.5347
    73   12 Mg         0.0271     675.8442   60509.5355
    74   12 Mg         0.0271     675.8442   60509.5354
    75   12 Mg         0.0271     675.8442   60509.5347
    76   12 Mg         0.0264     675.8797   60512.7149
    77   12 Mg         0.0269     675.8555   60510.5470
    78   12 Mg         0.0269     675.8555   60510.5468
    79   12 Mg         0.0264     675.8822   60512.9434
    80   12 Mg         0.0264     675.8822   60512.9434
    81   12 Mg         0.0264     675.8822   60512.9434
    82   12 Mg         0.0264     675.8822   60512.9432
    83   12 Mg         0.0266     675.8724   60512.0627
    84   12 Mg         0.0268     675.8580   60510.7713
    85   12 Mg         0.0268     675.8580   60510.7719
    86   12 Mg         0.0264     675.8823   60512.9442
    87   12 Mg         0.0264     675.8822   60512.9439
    88   12 Mg         0.0267     675.8643   60511.3333
