-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.0234    5894.9111 1614451.8322
     2   12 Mg         0.0053     676.9734   60610.6374
     3   12 Mg         0.0053     676.9739   60610.6847
     4   12 Mg         0.0053     676.9739   60610.6844
     5   12 Mg         0.0065     676.9193   60605.7953
     6   12 Mg         0.0065     676.9193   60605.7953
     7   12 Mg         0.0053     676.9734   60610.6374
     8   12 Mg         0.0053     676.9734   60610.6374
     9   12 Mg         0.0054     676.9682   60610.1725
    10   12 Mg         0.0054     676.9682   60610.1724
    11   12 Mg         0.0054     676.9698   60610.3099
    12   12 Mg         0.0054     676.9682   60610.1724
    13   12 Mg         0.0054     676.9682   60610.1724
    14   12 Mg         0.0053     676.9739   60610.6845
    15   12 Mg         0.0054     676.9709   60610.4114
    16   12 Mg         0.0054     676.9709   60610.4113
    17   12 Mg         0.0065     676.9193   60605.7954
    18   12 Mg         0.0065     676.9193   60605.7953
    19   12 Mg         0.0054     676.9697   60610.3098
    20   12 Mg         0.0054     676.9697   60610.3099
    21   12 Mg         0.0054     676.9709   60610.4113
    22   12 Mg         0.0065     676.9193   60605.7952
    23   12 Mg         0.0065     676.9193   60605.7953
    24   12 Mg         0.0054     676.9682   60610.1725
    25   12 Mg         0.0054     676.9682   60610.1724
    26   12 Mg         0.0052     676.9801   60611.2389
    27   12 Mg         0.0052     676.9801   60611.2389
    28   12 Mg         0.0052     676.9801   60611.2388
    29   12 Mg         0.0052     676.9786   60611.1002
    30   12 Mg         0.0052     676.9796   60611.1925
    31   12 Mg         0.0052     676.9796   60611.1925
    32   12 Mg         0.0052     676.9796   60611.1925
