-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.0102    5918.0687 1620794.0532
     2   12 Mg         0.0026     677.1013   60622.0896
     3   12 Mg         0.0026     677.1015   60622.1019
     4   12 Mg         0.0026     677.1015   60622.1018
     5   12 Mg         0.0031     677.0801   60620.1921
     6   12 Mg         0.0031     677.0801   60620.1921
     7   12 Mg         0.0026     677.1013   60622.0896
     8   12 Mg         0.0026     677.1013   60622.0896
     9   12 Mg         0.0027     677.0991   60621.8869
    10   12 Mg         0.0027     677.0991   60621.8869
    11   12 Mg         0.0027     677.0996   60621.9375
    12   12 Mg         0.0027     677.0991   60621.8868
    13   12 Mg         0.0027     677.0991   60621.8869
    14   12 Mg         0.0026     677.1015   60622.1019
    15   12 Mg         0.0027     677.1002   60621.9895
    16   12 Mg         0.0027     677.1002   60621.9894
    17   12 Mg         0.0031     677.0801   60620.1922
    18   12 Mg         0.0031     677.0801   60620.1921
    19   12 Mg         0.0027     677.0996   60621.9374
    20   12 Mg         0.0027     677.0996   60621.9375
    21   12 Mg         0.0027     677.1002   60621.9894
    22   12 Mg         0.0031     677.0801   60620.1921
    23   12 Mg         0.0031     677.0801   60620.1921
    24   12 Mg         0.0027     677.0991   60621.8869
    25   12 Mg         0.0027     677.0991   60621.8869
    26   12 Mg         0.0026     677.1039   60622.3204
    27   12 Mg         0.0026     677.1039   60622.3204
    28   12 Mg         0.0026     677.1039   60622.3204
    29   12 Mg         0.0026     677.1036   60622.2930
    30   12 Mg         0.0026     677.1040   60622.3280
    31   12 Mg         0.0026     677.1040   60622.3280
    32   12 Mg         0.0026     677.1040   60622.3280
