-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.0862    5749.9575 1574753.0756
     2   12 Mg         0.0159     676.4447   60563.3023
     3   12 Mg         0.0159     676.4482   60563.6143
     4   12 Mg         0.0159     676.4482   60563.6135
     5   12 Mg         0.0206     676.1964   60541.0721
     6   12 Mg         0.0206     676.1964   60541.0722
     7   12 Mg         0.0159     676.4447   60563.3024
     8   12 Mg         0.0159     676.4447   60563.3025
     9   12 Mg         0.0163     676.4252   60561.5570
    10   12 Mg         0.0163     676.4252   60561.5566
    11   12 Mg         0.0162     676.4323   60562.1871
    12   12 Mg         0.0163     676.4252   60561.5565
    13   12 Mg         0.0163     676.4252   60561.5566
    14   12 Mg         0.0159     676.4482   60563.6136
    15   12 Mg         0.0161     676.4355   60562.4797
    16   12 Mg         0.0161     676.4355   60562.4793
    17   12 Mg         0.0206     676.1964   60541.0730
    18   12 Mg         0.0206     676.1964   60541.0722
    19   12 Mg         0.0162     676.4322   60562.1865
    20   12 Mg         0.0162     676.4323   60562.1870
    21   12 Mg         0.0161     676.4355   60562.4792
    22   12 Mg         0.0206     676.1964   60541.0717
    23   12 Mg         0.0206     676.1964   60541.0725
    24   12 Mg         0.0163     676.4252   60561.5570
    25   12 Mg         0.0163     676.4252   60561.5566
    26   12 Mg         0.0154     676.4731   60565.8477
    27   12 Mg         0.0154     676.4731   60565.8480
    28   12 Mg         0.0154     676.4731   60565.8476
    29   12 Mg         0.0155     676.4651   60565.1286
    30   12 Mg         0.0154     676.4696   60565.5328
    31   12 Mg         0.0154     676.4696   60565.5329
    32   12 Mg         0.0154     676.4696   60565.5328
    33   12 Mg         0.0154     676.4696   60565.5327
    34   12 Mg         0.0154     676.4696   60565.5330
    35   12 Mg         0.0154     676.4696   60565.5326
    36   12 Mg         0.0160     676.4416   60563.0217
    37   12 Mg         0.0160     676.4416   60563.0218
    38   12 Mg         0.0160     676.4416   60563.0211
    39   12 Mg         0.0159     676.4451   60563.3335
    40   12 Mg         0.0159     676.4451   60563.3335
    41   12 Mg         0.0159     676.4451   60563.3334
    42   12 Mg         0.0160     676.4394   60562.8274
    43   12 Mg         0.0160     676.4394   60562.8274
    44   12 Mg         0.0160     676.4394   60562.8270
    45   12 Mg         0.0160     676.4394   60562.8274
    46   12 Mg         0.0160     676.4394   60562.8276
    47   12 Mg         0.0160     676.4394   60562.8274
    48   12 Mg         0.0209     676.1828   60539.8491
    49   12 Mg         0.0209     676.1828   60539.8494
    50   12 Mg         0.0209     676.1828   60539.8488
    51   12 Mg         0.0156     676.4617   60564.8256
    52   12 Mg         0.0156     676.4617   60564.8257
    53   12 Mg         0.0156     676.4617   60564.8261
    54   12 Mg         0.0156     676.4626   60564.9005
    55   12 Mg         0.0156     676.4626   60564.9007
    56   12 Mg         0.0156     676.4626   60564.9008
    57   12 Mg         0.0158     676.4530   60564.0463
    58   12 Mg         0.0158     676.4530   60564.0464
    59   12 Mg         0.0158     676.4530   60564.0463
    60   12 Mg         0.0158     676.4517   60563.9260
    61   12 Mg         0.0158     676.4517   60563.9258
    62   12 Mg         0.0158     676.4517   60563.9261
    63   12 Mg         0.0158     676.4499   60563.7654
    64   12 Mg         0.0158     676.4499   60563.7653
    65   12 Mg         0.0158     676.4499   60563.7653
    66   12 Mg         0.0158     676.4499   60563.7651
    67   12 Mg         0.0158     676.4499   60563.7653
    68   12 Mg         0.0158     676.4499   60563.7650
    69   12 Mg         0.0157     676.4557   60564.2897
    70   12 Mg         0.0160     676.4415   60563.0108
    71   12 Mg         0.0160     676.4415   60563.0107
    72   12 Mg         0.0160     676.4415   60563.0105
    73   12 Mg         0.0160     676.4415   60563.0108
    74   12 Mg         0.0160     676.4415   60563.0108
    75   12 Mg         0.0160     676.4415   60563.0104
    76   12 Mg         0.0157     676.4591   60564.5912
    77   12 Mg         0.0159     676.4470   60563.5065
    78   12 Mg         0.0159     676.4470   60563.5064
    79   12 Mg         0.0156     676.4606   60564.7234
    80   12 Mg         0.0156     676.4606   60564.7233
    81   12 Mg         0.0156     676.4606   60564.7233
    82   12 Mg         0.0156     676.4606   60564.7232
    83   12 Mg         0.0157     676.4557   60564.2857
    84   12 Mg         0.0159     676.4486   60563.6487
    85   12 Mg         0.0159     676.4486   60563.6490
    86   12 Mg         0.0156     676.4606   60564.7237
    87   12 Mg         0.0156     676.4606   60564.7236
    88   12 Mg         0.0158     676.4515   60563.9095
    89   12 Mg         0.0158     676.4515   60563.9093
    90   12 Mg         0.0158     676.4492   60563.7065
    91   12 Mg         0.0159     676.4470   60563.5066
    92   12 Mg         0.0159     676.4486   60563.6487
    93   12 Mg         0.0159     676.4486   60563.6486
    94   12 Mg         0.0158     676.4492   60563.7063
    95   12 Mg         0.0158     676.4492   60563.7063
    96   12 Mg         0.0159     676.4486   60563.6488
    97   12 Mg         0.0159     676.4486   60563.6490
    98   12 Mg         0.0157     676.4591   60564.5908
    99   12 Mg         0.0157     676.4591   60564.5913
   100   12 Mg         0.0158     676.4515   60563.9094
   101   12 Mg         0.0160     676.4415   60563.0108
   102   12 Mg         0.0160     676.4415   60563.0107
   103   12 Mg         0.0160     676.4415   60563.0105
   104   12 Mg         0.0160     676.4415   60563.0108
   105   12 Mg         0.0160     676.4415   60563.0108
   106   12 Mg         0.0160     676.4415   60563.0105
   107   12 Mg         0.0157     676.4557   60564.2896
   108   12 Mg         0.0158     676.4499   60563.7656
   109   12 Mg         0.0158     676.4499   60563.7655
   110   12 Mg         0.0158     676.4499   60563.7655
   111   12 Mg         0.0158     676.4499   60563.7653
   112   12 Mg         0.0158     676.4499   60563.7655
   113   12 Mg         0.0158     676.4499   60563.7652
   114   12 Mg         0.0158     676.4517   60563.9262
   115   12 Mg         0.0158     676.4517   60563.9260
   116   12 Mg         0.0158     676.4517   60563.9263
   117   12 Mg         0.0158     676.4530   60564.0467
   118   12 Mg         0.0158     676.4530   60564.0468
   119   12 Mg         0.0158     676.4530   60564.0467
   120   12 Mg         0.0156     676.4626   60564.9009
   121   12 Mg         0.0156     676.4626   60564.9011
   122   12 Mg         0.0156     676.4626   60564.9012
   123   12 Mg         0.0156     676.4617   60564.8260
   124   12 Mg         0.0156     676.4617   60564.8261
   125   12 Mg         0.0156     676.4617   60564.8265
   126   12 Mg         0.0209     676.1828   60539.8489
   127   12 Mg         0.0209     676.1828   60539.8491
   128   12 Mg         0.0209     676.1828   60539.8486
   129   12 Mg         0.0160     676.4394   60562.8274
   130   12 Mg         0.0160     676.4394   60562.8274
   131   12 Mg         0.0160     676.4394   60562.8270
   132   12 Mg         0.0160     676.4394   60562.8274
   133   12 Mg         0.0160     676.4394   60562.8276
   134   12 Mg         0.0160     676.4394   60562.8274
   135   12 Mg         0.0159     676.4451   60563.3337
   136   12 Mg         0.0159     676.4451   60563.3337
   137   12 Mg         0.0159     676.4451   60563.3336
   138   12 Mg         0.0160     676.4416   60563.0221
   139   12 Mg         0.0160     676.4416   60563.0222
   140   12 Mg         0.0160     676.4416   60563.0215
   141   12 Mg         0.0154     676.4696   60565.5325
   142   12 Mg         0.0154     676.4696   60565.5327
   143   12 Mg         0.0154     676.4696   60565.5326
   144   12 Mg         0.0154     676.4696   60565.5325
   145   12 Mg         0.0154     676.4696   60565.5328
   146   12 Mg         0.0154     676.4696   60565.5324
   147   12 Mg         0.0155     676.4651   60565.1285
   148   12 Mg         0.0154     676.4731   60565.8475
   149   12 Mg         0.0154     676.4731   60565.8478
   150   12 Mg         0.0154     676.4731   60565.8475
--------------------------------------------------------

Atom-resolved dispersion energies:
--------------------------------------------------
     #    Z           [Hartree]      [kcal/mol]
--------------------------------------------------
     1   37 Rb  -0.95971044E-02     -6.02227392
     2   12 Mg  -0.41941915E-02     -2.63189488
     3   12 Mg  -0.41812540E-02     -2.62377649
     4   12 Mg  -0.41812831E-02     -2.62379479
     5   12 Mg  -0.43651778E-02     -2.73919042
     6   12 Mg  -0.43651902E-02     -2.73919822
     7   12 Mg  -0.41941881E-02     -2.63189277
     8   12 Mg  -0.41941859E-02     -2.63189137
     9   12 Mg  -0.42425014E-02     -2.66220983
    10   12 Mg  -0.42425125E-02     -2.66221680
    11   12 Mg  -0.42310012E-02     -2.65499333
    12   12 Mg  -0.42425172E-02     -2.66221973
    13   12 Mg  -0.42425128E-02     -2.66221700
    14   12 Mg  -0.41812778E-02     -2.62379145
    15   12 Mg  -0.42270603E-02     -2.65252036
    16   12 Mg  -0.42270755E-02     -2.65252992
    17   12 Mg  -0.43651781E-02     -2.73919061
    18   12 Mg  -0.43651871E-02     -2.73919625
    19   12 Mg  -0.42310242E-02     -2.65500774
