-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.0085    5920.8731 1621562.1013
     2   12 Mg         0.0023     677.1187   60623.6490
     3   12 Mg         0.0023     677.1188   60623.6575
     4   12 Mg         0.0023     677.1188   60623.6575
     5   12 Mg         0.0026     677.1019   60622.1388
     6   12 Mg         0.0026     677.1019   60622.1388
     7   12 Mg         0.0023     677.1187   60623.6490
     8   12 Mg         0.0023     677.1187   60623.6490
     9   12 Mg         0.0023     677.1169   60623.4803
    10   12 Mg         0.0023     677.1169   60623.4803
    11   12 Mg         0.0023     677.1173   60623.5206
    12   12 Mg         0.0023     677.1169   60623.4803
    13   12 Mg         0.0023     677.1169   60623.4803
    14   12 Mg         0.0023     677.1188   60623.6575
    15   12 Mg         0.0023     677.1178   60623.5650
    16   12 Mg         0.0023     677.1178   60623.5650
    17   12 Mg         0.0026     677.1019   60622.1389
    18   12 Mg         0.0026     677.1019   60622.1388
    19   12 Mg         0.0023     677.1173   60623.5205
    20   12 Mg         0.0023     677.1173   60623.5206
    21   12 Mg         0.0023     677.1178   60623.5650
    22   12 Mg         0.0026     677.1019   60622.1388
    23   12 Mg         0.0026     677.1019   60622.1389
    24   12 Mg         0.0023     677.1169   60623.4803
    25   12 Mg         0.0023     677.1169   60623.4803
    26   12 Mg         0.0022     677.1208   60623.8362
    27   12 Mg         0.0022     677.1208   60623.8362
    28   12 Mg         0.0022     677.1208   60623.8362
    29   12 Mg         0.0022     677.1206   60623.8179
    30   12 Mg         0.0022     677.1211   60623.8581
    31   12 Mg         0.0022     677.1211   60623.8581
    32   12 Mg         0.0022     677.1211   60623.8581
    33   12 Mg         0.0022     677.1211   60623.8581
    34   12 Mg         0.0022     677.1211   60623.8581
    35   12 Mg         0.0022     677.1211   60623.8581
    36   12 Mg         0.0023     677.1184   60623.6150
    37   12 Mg         0.0023     677.1184   60623.6151
    38   12 Mg         0.0023     677.1184   60623.6150
    39   12 Mg         0.0023     677.1187   60623.6479
    40   12 Mg         0.0023     677.1187   60623.6479
    41   12 Mg         0.0023     677.1187   60623.6479
    42   12 Mg         0.0023     677.1180   60623.5810
    43   12 Mg         0.0023     677.1180   60623.5810
    44   12 Mg         0.0023     677.1180   60623.5810
    45   12 Mg         0.0023     677.1180   60623.5810
    46   12 Mg         0.0023     677.1180   60623.5810
    47   12 Mg         0.0023     677.1180   60623.5810
    48   12 Mg         0.0026     677.1007   60622.0359
    49   12 Mg         0.0026     677.1007   60622.0360
    50   12 Mg         0.0026     677.1007   60622.0359
    51   12 Mg         0.0022     677.1203   60623.7930
    52   12 Mg         0.0022     677.1203   60623.7930
    53   12 Mg         0.0022     677.1203   60623.7930
    54   12 Mg         0.0022     677.1204   60623.7964
    55   12 Mg         0.0022     677.1204   60623.7965
    56   12 Mg         0.0022     677.1204   60623.7965
    57   12 Mg         0.0022     677.1194   60623.7092
    58   12 Mg         0.0022     677.1194   60623.7092
    59   12 Mg         0.0022     677.1194   60623.7092
    60   12 Mg         0.0023     677.1193   60623.6988
    61   12 Mg         0.0023     677.1193   60623.6988
    62   12 Mg         0.0023     677.1193   60623.6988
    63   12 Mg         0.0023     677.1192   60623.6898
    64   12 Mg         0.0023     677.1192   60623.6898
    65   12 Mg         0.0023     677.1192   60623.6898
    66   12 Mg         0.0023     677.1192   60623.6898
    67   12 Mg         0.0023     677.1192   60623.6898
    68   12 Mg         0.0023     677.1192   60623.6898
    69   12 Mg         0.0022     677.1194   60623.7116
    70   12 Mg         0.0023     677.1183   60623.6076
    71   12 Mg         0.0023     677.1183   60623.6076
    72   12 Mg         0.0023     677.1183   60623.6076
    73   12 Mg         0.0023     677.1183   60623.6076
    74   12 Mg         0.0023     677.1183   60623.6076
    75   12 Mg         0.0023     677.1183   60623.6076
    76   12 Mg         0.0022     677.1201   60623.7671
    77   12 Mg         0.0023     677.1189   60623.6679
    78   12 Mg         0.0023     677.1189   60623.6679
    79   12 Mg         0.0022     677.1202   60623.7764
    80   12 Mg         0.0022     677.1202   60623.7764
    81   12 Mg         0.0022     677.1202   60623.7764
    82   12 Mg         0.0022     677.1202   60623.7764
    83   12 Mg         0.0022     677.1197   60623.7394
    84   12 Mg         0.0023     677.1190   60623.6742
    85   12 Mg         0.0023     677.1190   60623.6742
    86   12 Mg         0.0022     677.1202   60623.7765
    87   12 Mg         0.0022     677.1202   60623.7765
    88   12 Mg         0.0023     677.1193   60623.6992
    89   12 Mg         0.0023     677.1193   60623.6992
    90   12 Mg         0.0023     677.1191   60623.6792
    91   12 Mg         0.0023     677.1189   60623.6679
    92   12 Mg         0.0023     677.1190   60623.6742
    93   12 Mg         0.0023     677.1190   60623.6742
    94   12 Mg         0.0023     677.1191   60623.6792
    95   12 Mg         0.0023     677.1191   60623.6792
    96   12 Mg         0.0023     677.1190   60623.6742
    97   12 Mg         0.0023     677.1190   60623.6742
    98   12 Mg         0.0022     677.1201   60623.7671
    99   12 Mg         0.0022     677.1201   60623.7671
   100   12 Mg         0.0023     677.1193   60623.6992
   101   12 Mg         0.0023     677.1183   60623.6076
   102   12 Mg         0.0023     677.1183   60623.6076
   103   12 Mg         0.0023     677.1183   60623.6076
   104   12 Mg         0.0023     677.1183   60623.6076
   105   12 Mg         0.0023     677.1183   60623.6076
   106   12 Mg         0.0023     677.1183   60623.6076
   107   12 Mg         0.0022     677.1194   60623.7116
