-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.0187    5903.4216 1616782.6254
     2   12 Mg         0.0044     677.0178   60614.6129
     3   12 Mg         0.0044     677.0182   60614.6471
     4   12 Mg         0.0044     677.0182   60614.6470
     5   12 Mg         0.0053     676.9751   60610.7881
     6   12 Mg         0.0053     676.9751   60610.7881
     7   12 Mg         0.0044     677.0178   60614.6130
     8   12 Mg         0.0044     677.0178   60614.6130
     9   12 Mg         0.0045     677.0137   60614.2415
    10   12 Mg         0.0045     677.0137   60614.2414
    11   12 Mg         0.0045     677.0148   60614.3476
    12   12 Mg         0.0045     677.0137   60614.2414
    13   12 Mg         0.0045     677.0137   60614.2414
    14   12 Mg         0.0044     677.0182   60614.6470
    15   12 Mg         0.0044     677.0158   60614.4302
    16   12 Mg         0.0044     677.0158   60614.4301
    17   12 Mg         0.0053     676.9751   60610.7882
    18   12 Mg         0.0053     676.9751   60610.7881
    19   12 Mg         0.0045     677.0148   60614.3474
    20   12 Mg         0.0045     677.0148   60614.3475
    21   12 Mg         0.0044     677.0158   60614.4301
    22   12 Mg         0.0053     676.9751   60610.7880
    23   12 Mg         0.0053     676.9751   60610.7882
    24   12 Mg         0.0045     677.0137   60614.2415
    25   12 Mg         0.0045     677.0137   60614.2414
    26   12 Mg         0.0043     677.0229   60615.0706
    27   12 Mg         0.0043     677.0229   60615.0706
    28   12 Mg         0.0043     677.0229   60615.0706
    29   12 Mg         0.0043     677.0219   60614.9816
    30   12 Mg         0.0043     677.0227   60615.0527
    31   12 Mg         0.0043     677.0227   60615.0527
    32   12 Mg         0.0043     677.0227   60615.0527
    33   12 Mg         0.0043     677.0227   60615.0527
    34   12 Mg         0.0043     677.0227   60615.0528
    35   12 Mg         0.0043     677.0227   60615.0527
    36   12 Mg         0.0044     677.0170   60614.5432
    37   12 Mg         0.0044     677.0170   60614.5432
    38   12 Mg         0.0044     677.0170   60614.5431
    39   12 Mg         0.0044     677.0178   60614.6130
    40   12 Mg         0.0044     677.0178   60614.6129
    41   12 Mg         0.0044     677.0178   60614.6129
    42   12 Mg         0.0044     677.0163   60614.4796
    43   12 Mg         0.0044     677.0163   60614.4796
    44   12 Mg         0.0044     677.0163   60614.4796
    45   12 Mg         0.0044     677.0163   60614.4796
    46   12 Mg         0.0044     677.0163   60614.4797
    47   12 Mg         0.0044     677.0163   60614.4796
    48   12 Mg         0.0053     676.9726   60610.5653
    49   12 Mg         0.0053     676.9726   60610.5654
    50   12 Mg         0.0053     676.9726   60610.5653
    51   12 Mg         0.0043     677.0214   60614.9316
    52   12 Mg         0.0043     677.0214   60614.9316
    53   12 Mg         0.0043     677.0214   60614.9317
    54   12 Mg         0.0043     677.0211   60614.9112
    55   12 Mg         0.0043     677.0211   60614.9112
    56   12 Mg         0.0043     677.0211   60614.9113
    57   12 Mg         0.0044     677.0190   60614.7204
    58   12 Mg         0.0044     677.0190   60614.7204
    59   12 Mg         0.0044     677.0190   60614.7204
    60   12 Mg         0.0044     677.0191   60614.7302
    61   12 Mg         0.0044     677.0191   60614.7302
    62   12 Mg         0.0044     677.0191   60614.7303
    63   12 Mg         0.0044     677.0188   60614.7039
    64   12 Mg         0.0044     677.0188   60614.7039
    65   12 Mg         0.0044     677.0188   60614.7039
    66   12 Mg         0.0044     677.0188   60614.7039
    67   12 Mg         0.0044     677.0188   60614.7039
    68   12 Mg         0.0044     677.0188   60614.7038
    69   12 Mg         0.0044     677.0196   60614.7742
    70   12 Mg         0.0044     677.0169   60614.5289
    71   12 Mg         0.0044     677.0169   60614.5289
    72   12 Mg         0.0044     677.0169   60614.5289
    73   12 Mg         0.0044     677.0169   60614.5290
    74   12 Mg         0.0044     677.0169   60614.5289
    75   12 Mg         0.0044     677.0169   60614.5289
    76   12 Mg         0.0043     677.0208   60614.8790
    77   12 Mg         0.0044     677.0183   60614.6539
    78   12 Mg         0.0044     677.0183   60614.6538
    79   12 Mg         0.0043     677.0207   60614.8684
    80   12 Mg         0.0043     677.0207   60614.8684
    81   12 Mg         0.0043     677.0207   60614.8684
    82   12 Mg         0.0043     677.0207   60614.8683
    83   12 Mg         0.0044     677.0200   60614.8079
    84   12 Mg         0.0044     677.0185   60614.6712
    85   12 Mg         0.0044     677.0185   60614.6712
    86   12 Mg         0.0043     677.0207   60614.8685
    87   12 Mg         0.0043     677.0207   60614.8684
    88   12 Mg         0.0044     677.0191   60614.7264
    89   12 Mg         0.0044     677.0191   60614.7264
    90   12 Mg         0.0044     677.0183   60614.6543
    91   12 Mg         0.0044     677.0183   60614.6539
    92   12 Mg         0.0044     677.0185   60614.6712
    93   12 Mg         0.0044     677.0185   60614.6712
    94   12 Mg         0.0044     677.0183   60614.6543
    95   12 Mg         0.0044     677.0183   60614.6543
    96   12 Mg         0.0044     677.0185   60614.6712
    97   12 Mg         0.0044     677.0185   60614.6712
    98   12 Mg         0.0043     677.0208   60614.8789
    99   12 Mg         0.0043     677.0208   60614.8790
   100   12 Mg         0.0044     677.0191   60614.7264
   101   12 Mg         0.0044     677.0169   60614.5290
   102   12 Mg         0.0044     677.0169   60614.5289
   103   12 Mg         0.0044     677.0169   60614.5289
   104   12 Mg         0.0044     677.0169   60614.5290
   105   12 Mg         0.0044     677.0169   60614.5290
   106   12 Mg         0.0044     677.0169   60614.5289
   107   12 Mg         0.0044     677.0196   60614.7742
   108   12 Mg         0.0044     677.0188   60614.7040
   109   12 Mg         0.0044     677.0188   60614.7039
   110   12 Mg         0.0044     677.0188   60614.7039
   111   12 Mg         0.0044     677.0188   60614.7039
   112   12 Mg         0.0044     677.0188   60614.7039
   113   12 Mg         0.0044     677.0188   60614.7039
   114   12 Mg         0.0044     677.0191   60614.7303
   115   12 Mg         0.0044     677.0191   60614.7303
   116   12 Mg         0.0044     677.0191   60614.7303
   117   12 Mg         0.0044     677.0190   60614.7205
   118   12 Mg         0.0044     677.0190   60614.7205
   119   12 Mg         0.0044     677.0190   60614.7205
