-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.2269    5097.6167 1396095.1151
     2   12 Mg         0.0359     675.3305   60463.5461
     3   12 Mg         0.0357     675.3414   60464.5194
     4   12 Mg         0.0357     675.3414   60464.5169
     5   12 Mg         0.0493     674.4906   60388.3477
     6   12 Mg         0.0493     674.4906   60388.3484
     7   12 Mg         0.0359     675.3305   60463.5464
     8   12 Mg         0.0359     675.3305   60463.5466
     9   12 Mg         0.0369     675.2713   60458.2420
    10   12 Mg         0.0369     675.2713   60458.2408
    11   12 Mg         0.0365     675.2939   60460.2702
    12   12 Mg         0.0369     675.2713   60458.2405
    13   12 Mg         0.0369     675.2713   60458.2407
    14   12 Mg         0.0357     675.3414   60464.5174
    15   12 Mg         0.0364     675.3047   60461.2338
    16   12 Mg         0.0364     675.3047   60461.2326
    17   12 Mg         0.0493     674.4906   60388.3512
    18   12 Mg         0.0493     674.4906   60388.3486
    19   12 Mg         0.0365     675.2939   60460.2682
    20   12 Mg         0.0365     675.2939   60460.2699
    21   12 Mg         0.0364     675.3047   60461.2323
    22   12 Mg         0.0493     674.4906   60388.3466
    23   12 Mg         0.0493     674.4906   60388.3493
    24   12 Mg         0.0369     675.2713   60458.2419
    25   12 Mg         0.0369     675.2713   60458.2407
    26   12 Mg         0.0345     675.4177   60471.3513
    27   12 Mg         0.0345     675.4177   60471.3520
    28   12 Mg         0.0345     675.4177   60471.3511
    29   12 Mg         0.0349     675.3888   60468.7689
    30   12 Mg         0.0347     675.4033   60470.0642
    31   12 Mg         0.0347     675.4033   60470.0646
    32   12 Mg         0.0347     675.4033   60470.0642
    33   12 Mg         0.0347     675.4033   60470.0641
    34   12 Mg         0.0347     675.4033   60470.0649
    35   12 Mg         0.0347     675.4033   60470.0637
    36   12 Mg         0.0361     675.3213   60462.7232
    37   12 Mg         0.0361     675.3213   60462.7236
    38   12 Mg         0.0361     675.3213   60462.7217
    39   12 Mg         0.0359     675.3320   60463.6755
    40   12 Mg         0.0359     675.3320   60463.6754
    41   12 Mg         0.0359     675.3320   60463.6751
    42   12 Mg         0.0362     675.3158   60462.2286
    43   12 Mg         0.0362     675.3158   60462.2286
    44   12 Mg         0.0362     675.3158   60462.2275
    45   12 Mg         0.0362     675.3158   60462.2286
    46   12 Mg         0.0362     675.3158   60462.2290
    47   12 Mg         0.0362     675.3158   60462.2285
    48   12 Mg         0.0500     674.4458   60384.3363
    49   12 Mg         0.0500     674.4458   60384.3370
    50   12 Mg         0.0500     674.4458   60384.3352
    51   12 Mg         0.0351     675.3788   60467.8734
    52   12 Mg         0.0351     675.3788   60467.8738
    53   12 Mg         0.0351     675.3789   60467.8748
    54   12 Mg         0.0351     675.3818   60468.1368
    55   12 Mg         0.0351     675.3818   60468.1375
    56   12 Mg         0.0351     675.3818   60468.1379
    57   12 Mg         0.0355     675.3547   60465.7119
    58   12 Mg         0.0355     675.3547   60465.7123
    59   12 Mg         0.0355     675.3547   60465.7119
    60   12 Mg         0.0356     675.3515   60465.4242
    61   12 Mg         0.0356     675.3515   60465.4239
    62   12 Mg         0.0356     675.3515   60465.4246
    63   12 Mg         0.0357     675.3452   60464.8592
    64   12 Mg         0.0357     675.3452   60464.8589
    65   12 Mg         0.0357     675.3452   60464.8588
    66   12 Mg         0.0357     675.3452   60464.8585
    67   12 Mg         0.0357     675.3452   60464.8589
    68   12 Mg         0.0357     675.3452   60464.8581
    69   12 Mg         0.0354     675.3633   60466.4820
    70   12 Mg         0.0361     675.3201   60462.6096
    71   12 Mg         0.0361     675.3201   60462.6093
    72   12 Mg         0.0361     675.3200   60462.6086
    73   12 Mg         0.0361     675.3201   60462.6097
    74   12 Mg         0.0361     675.3201   60462.6096
    75   12 Mg         0.0361     675.3200   60462.6086
    76   12 Mg         0.0352     675.3720   60467.2588
    77   12 Mg         0.0358     675.3368   60464.1078
    78   12 Mg         0.0358     675.3368   60464.1075
    79   12 Mg         0.0351     675.3765   60467.6649
    80   12 Mg         0.0351     675.3765   60467.6648
    81   12 Mg         0.0351     675.3765   60467.6648
    82   12 Mg         0.0351     675.3765   60467.6645
    83   12 Mg         0.0354     675.3609   60466.2669
    84   12 Mg         0.0358     675.3406   60464.4468
    85   12 Mg         0.0358     675.3406   60464.4476
    86   12 Mg         0.0351     675.3765   60467.6660
    87   12 Mg         0.0351     675.3765   60467.6657
    88   12 Mg         0.0356     675.3494   60465.2355
    89   12 Mg         0.0356     675.3494   60465.2350
    90   12 Mg         0.0357     675.3429   60464.6548
    91   12 Mg         0.0358     675.3368   60464.1079
    92   12 Mg         0.0358     675.3406   60464.4468
