-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.0124    5914.3124 1619765.3132
     2   12 Mg         0.0031     677.0780   60620.0054
     3   12 Mg         0.0031     677.0782   60620.0230
     4   12 Mg         0.0031     677.0782   60620.0229
     5   12 Mg         0.0037     677.0525   60617.7193
     6   12 Mg         0.0037     677.0525   60617.7193
     7   12 Mg         0.0031     677.0780   60620.0054
     8   12 Mg         0.0031     677.0780   60620.0054
     9   12 Mg         0.0032     677.0759   60619.8139
    10   12 Mg         0.0032     677.0759   60619.8139
    11   12 Mg         0.0032     677.0766   60619.8767
    12   12 Mg         0.0032     677.0759   60619.8139
    13   12 Mg         0.0032     677.0759   60619.8139
    14   12 Mg         0.0031     677.0782   60620.0229
    15   12 Mg         0.0032     677.0767   60619.8822
    16   12 Mg         0.0032     677.0767   60619.8821
    17   12 Mg         0.0037     677.0525   60617.7193
    18   12 Mg         0.0037     677.0525   60617.7193
    19   12 Mg         0.0032     677.0766   60619.8766
    20   12 Mg         0.0032     677.0766   60619.8767
    21   12 Mg         0.0032     677.0767   60619.8821
    22   12 Mg         0.0037     677.0525   60617.7192
    23   12 Mg         0.0037     677.0525   60617.7193
    24   12 Mg         0.0032     677.0759   60619.8139
    25   12 Mg         0.0032     677.0759   60619.8139
    26   12 Mg         0.0031     677.0816   60620.3201
    27   12 Mg         0.0031     677.0816   60620.3201
    28   12 Mg         0.0031     677.0816   60620.3201
    29   12 Mg         0.0031     677.0807   60620.2473
    30   12 Mg         0.0031     677.0812   60620.2906
    31   12 Mg         0.0031     677.0812   60620.2906
    32   12 Mg         0.0031     677.0812   60620.2906
    33   12 Mg         0.0031     677.0812   60620.2906
    34   12 Mg         0.0031     677.0812   60620.2906
    35   12 Mg         0.0031     677.0812   60620.2906
    36   12 Mg         0.0031     677.0775   60619.9571
    37   12 Mg         0.0031     677.0775   60619.9571
    38   12 Mg         0.0031     677.0775   60619.9570
    39   12 Mg         0.0031     677.0780   60620.0037
    40   12 Mg         0.0031     677.0780   60620.0037
    41   12 Mg         0.0031     677.0780   60620.0036
    42   12 Mg         0.0031     677.0773   60619.9384
    43   12 Mg         0.0031     677.0773   60619.9384
    44   12 Mg         0.0031     677.0773   60619.9383
    45   12 Mg         0.0031     677.0773   60619.9384
    46   12 Mg         0.0031     677.0773   60619.9384
    47   12 Mg         0.0031     677.0773   60619.9384
    48   12 Mg         0.0037     677.0508   60617.5675
    49   12 Mg         0.0037     677.0508   60617.5675
    50   12 Mg         0.0037     677.0508   60617.5674
    51   12 Mg         0.0031     677.0804   60620.2153
    52   12 Mg         0.0031     677.0804   60620.2153
    53   12 Mg         0.0031     677.0804   60620.2153
    54   12 Mg         0.0031     677.0804   60620.2202
    55   12 Mg         0.0031     677.0804   60620.2203
    56   12 Mg         0.0031     677.0804   60620.2203
    57   12 Mg         0.0031     677.0790   60620.0920
    58   12 Mg         0.0031     677.0790   60620.0920
    59   12 Mg         0.0031     677.0790   60620.0920
    60   12 Mg         0.0031     677.0789   60620.0798
    61   12 Mg         0.0031     677.0789   60620.0798
    62   12 Mg         0.0031     677.0789   60620.0798
    63   12 Mg         0.0031     677.0787   60620.0647
    64   12 Mg         0.0031     677.0787   60620.0646
    65   12 Mg         0.0031     677.0787   60620.0646
    66   12 Mg         0.0031     677.0787   60620.0646
    67   12 Mg         0.0031     677.0787   60620.0647
    68   12 Mg         0.0031     677.0787   60620.0646
    69   12 Mg         0.0031     677.0791   60620.1036
    70   12 Mg         0.0031     677.0774   60619.9471
    71   12 Mg         0.0031     677.0774   60619.9471
    72   12 Mg         0.0031     677.0774   60619.9471
    73   12 Mg         0.0031     677.0774   60619.9471
    74   12 Mg         0.0031     677.0774   60619.9471
    75   12 Mg         0.0031     677.0774   60619.9471
    76   12 Mg         0.0031     677.0800   60620.1790
    77   12 Mg         0.0031     677.0783   60620.0320
    78   12 Mg         0.0031     677.0783   60620.0320
    79   12 Mg         0.0031     677.0801   60620.1912
    80   12 Mg         0.0031     677.0801   60620.1912
    81   12 Mg         0.0031     677.0801   60620.1912
    82   12 Mg         0.0031     677.0801   60620.1912
    83   12 Mg         0.0031     677.0795   60620.1336
    84   12 Mg         0.0031     677.0785   60620.0425
    85   12 Mg         0.0031     677.0785   60620.0425
    86   12 Mg         0.0031     677.0801   60620.1912
    87   12 Mg         0.0031     677.0801   60620.1912
    88   12 Mg         0.0031     677.0789   60620.0788
    89   12 Mg         0.0031     677.0789   60620.0788
    90   12 Mg         0.0031     677.0785   60620.0502
    91   12 Mg         0.0031     677.0783   60620.0320
    92   12 Mg         0.0031     677.0785   60620.0425
    93   12 Mg         0.0031     677.0785   60620.0424
    94   12 Mg         0.0031     677.0785   60620.0502
    95   12 Mg         0.0031     677.0785   60620.0502
    96   12 Mg         0.0031     677.0785   60620.0425
    97   12 Mg         0.0031     677.0785   60620.0425
    98   12 Mg         0.0031     677.0800   60620.1789
    99   12 Mg         0.0031     677.0800   60620.1790
   100   12 Mg         0.0031     677.0789   60620.0788
   101   12 Mg         0.0031     677.0774   60619.9471
   102   12 Mg         0.0031     677.0774   60619.9471
   103   12 Mg         0.0031     677.0774   60619.9471
   104   12 Mg         0.0031     677.0774   60619.9471
   105   12 Mg         0.0031     677.0774   60619.9471
   106   12 Mg         0.0031     677.0774   60619.9471
   107   12 Mg         0.0031     677.0791   60620.1036
   108   12 Mg         0.0031     677.0787   60620.0647
   109   12 Mg         0.0031     677.0787   60620.0647
   110   12 Mg         0.0031     677.0787   60620.0647
   111   12 Mg         0.0031     677.0787   60620.0647
   112   12 Mg         0.0031     677.0787   60620.0647
   113   12 Mg         0.0031     677.0787   60620.0646
   114   12 Mg         0.0031     677.0789   60620.0798
   115   12 Mg         0.0031     677.0789   60620.0798
   116   12 Mg         0.0031     677.0789   60620.0798
   117   12 Mg         0.0031     677.0790   60620.0921
   118   12 Mg         0.0031     677.0790   60620.0921
   119   12 Mg         0.0031     677.0790   60620.0921
   120   12 Mg         0.0031     677.0804   60620.2203
   121   12 Mg         0.0031     677.0804   60620.2203
   122   12 Mg         0.0031     677.0804   60620.2204
   123   12 Mg         0.0031     677.0804   60620.2153
   124   12 Mg         0.0031     677.0804   60620.2154
   125   12 Mg         0.0031     677.0804   60620.2154
   126   12 Mg         0.0037     677.0508   60617.5674
   127   12 Mg         0.0037     677.0508   60617.5675
   128   12 Mg         0.0037     677.0508   60617.5674
   129   12 Mg         0.0031     677.0773   60619.9384
   130   12 Mg         0.0031     677.0773   60619.9384
