-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.0379    5867.0653 1606825.6345
     2   12 Mg         0.0080     676.8457   60599.2058
     3   12 Mg         0.0079     676.8468   60599.2980
     4   12 Mg         0.0079     676.8468   60599.2976
     5   12 Mg         0.0099     676.7507   60590.7010
     6   12 Mg         0.0099     676.7507   60590.7010
     7   12 Mg         0.0080     676.8457   60599.2058
     8   12 Mg         0.0080     676.8457   60599.2059
     9   12 Mg         0.0081     676.8372   60598.4462
    10   12 Mg         0.0081     676.8372   60598.4460
    11   12 Mg         0.0081     676.8399   60598.6877
    12   12 Mg         0.0081     676.8372   60598.4460
    13   12 Mg         0.0081     676.8372   60598.4460
    14   12 Mg         0.0079     676.8468   60599.2977
    15   12 Mg         0.0080     676.8417   60598.8450
    16   12 Mg         0.0080     676.8417   60598.8448
    17   12 Mg         0.0099     676.7507   60590.7013
    18   12 Mg         0.0099     676.7507   60590.7010
    19   12 Mg         0.0081     676.8399   60598.6874
    20   12 Mg         0.0081     676.8399   60598.6876
    21   12 Mg         0.0080     676.8417   60598.8448
    22   12 Mg         0.0099     676.7507   60590.7009
    23   12 Mg         0.0099     676.7507   60590.7011
    24   12 Mg         0.0081     676.8372   60598.4462
    25   12 Mg         0.0081     676.8372   60598.4460
    26   12 Mg         0.0077     676.8569   60600.2050
    27   12 Mg         0.0077     676.8569   60600.2051
    28   12 Mg         0.0077     676.8569   60600.2050
    29   12 Mg         0.0078     676.8542   60599.9614
    30   12 Mg         0.0078     676.8559   60600.1208
    31   12 Mg         0.0078     676.8559   60600.1209
    32   12 Mg         0.0078     676.8559   60600.1208
    33   12 Mg         0.0078     676.8559   60600.1208
    34   12 Mg         0.0078     676.8559   60600.1209
    35   12 Mg         0.0078     676.8559   60600.1208
    36   12 Mg         0.0080     676.8440   60599.0476
    37   12 Mg         0.0080     676.8440   60599.0477
    38   12 Mg         0.0080     676.8440   60599.0474
    39   12 Mg         0.0080     676.8458   60599.2123
    40   12 Mg         0.0080     676.8458   60599.2123
    41   12 Mg         0.0080     676.8458   60599.2122
    42   12 Mg         0.0080     676.8430   60598.9596
    43   12 Mg         0.0080     676.8430   60598.9596
    44   12 Mg         0.0080     676.8430   60598.9594
    45   12 Mg         0.0080     676.8430   60598.9596
    46   12 Mg         0.0080     676.8430   60598.9596
    47   12 Mg         0.0080     676.8430   60598.9596
    48   12 Mg         0.0100     676.7456   60590.2378
    49   12 Mg         0.0100     676.7456   60590.2379
    50   12 Mg         0.0100     676.7456   60590.2376
    51   12 Mg         0.0078     676.8527   60599.8267
    52   12 Mg         0.0078     676.8527   60599.8268
    53   12 Mg         0.0078     676.8527   60599.8269
    54   12 Mg         0.0078     676.8531   60599.8666
    55   12 Mg         0.0078     676.8531   60599.8667
    56   12 Mg         0.0078     676.8531   60599.8668
    57   12 Mg         0.0079     676.8489   60599.4908
    58   12 Mg         0.0079     676.8489   60599.4909
    59   12 Mg         0.0079     676.8489   60599.4908
    60   12 Mg         0.0079     676.8482   60599.4295
    61   12 Mg         0.0079     676.8482   60599.4295
    62   12 Mg         0.0079     676.8482   60599.4296
    63   12 Mg         0.0079     676.8476   60599.3778
    64   12 Mg         0.0079     676.8476   60599.3778
    65   12 Mg         0.0079     676.8476   60599.3778
    66   12 Mg         0.0079     676.8476   60599.3777
    67   12 Mg         0.0079     676.8476   60599.3778
    68   12 Mg         0.0079     676.8476   60599.3777
    69   12 Mg         0.0079     676.8503   60599.6134
    70   12 Mg         0.0080     676.8441   60599.0606
    71   12 Mg         0.0080     676.8441   60599.0606
    72   12 Mg         0.0080     676.8441   60599.0605
    73   12 Mg         0.0080     676.8441   60599.0606
    74   12 Mg         0.0080     676.8441   60599.0606
    75   12 Mg         0.0080     676.8441   60599.0605
    76   12 Mg         0.0078     676.8514   60599.7147
    77   12 Mg         0.0079     676.8467   60599.2897
    78   12 Mg         0.0079     676.8467   60599.2897
    79   12 Mg         0.0078     676.8522   60599.7861
    80   12 Mg         0.0078     676.8522   60599.7861
    81   12 Mg         0.0078     676.8522   60599.7861
    82   12 Mg         0.0078     676.8522   60599.7860
    83   12 Mg         0.0079     676.8502   60599.6051
    84   12 Mg         0.0079     676.8471   60599.3275
    85   12 Mg         0.0079     676.8471   60599.3277
    86   12 Mg         0.0078     676.8522   60599.7862
    87   12 Mg         0.0078     676.8522   60599.7862
    88   12 Mg         0.0079     676.8477   60599.3836
    89   12 Mg         0.0079     676.8477   60599.3835
    90   12 Mg         0.0079     676.8473   60599.3492
    91   12 Mg         0.0079     676.8467   60599.2897
    92   12 Mg         0.0079     676.8471   60599.3275
    93   12 Mg         0.0079     676.8471   60599.3275
    94   12 Mg         0.0079     676.8473   60599.3491
    95   12 Mg         0.0079     676.8473   60599.3491
    96   12 Mg         0.0079     676.8471   60599.3276
    97   12 Mg         0.0079     676.8471   60599.3277
    98   12 Mg         0.0078     676.8514   60599.7146
    99   12 Mg         0.0078     676.8514   60599.7148
   100   12 Mg         0.0079     676.8477   60599.3836
   101   12 Mg         0.0080     676.8441   60599.0606
   102   12 Mg         0.0080     676.8441   60599.0606
   103   12 Mg         0.0080     676.8441   60599.0605
   104   12 Mg         0.0080     676.8441   60599.0606
   105   12 Mg         0.0080     676.8441   60599.0606
   106   12 Mg         0.0080     676.8441   60599.0605
   107   12 Mg         0.0079     676.8503   60599.6134
   108   12 Mg         0.0079     676.8476   60599.3779
   109   12 Mg         0.0079     676.8476   60599.3779
   110   12 Mg         0.0079     676.8476   60599.3779
   111   12 Mg         0.0079     676.8476   60599.3778
   112   12 Mg         0.0079     676.8476   60599.3779
   113   12 Mg         0.0079     676.8476   60599.3778
   114   12 Mg         0.0079     676.8482   60599.4296
   115   12 Mg         0.0079     676.8482   60599.4295
   116   12 Mg         0.0079     676.8482   60599.4297
   117   12 Mg         0.0079     676.8489   60599.4910
   118   12 Mg         0.0079     676.8489   60599.4910
   119   12 Mg         0.0079     676.8489   60599.4910
   120   12 Mg         0.0078     676.8531   60599.8668
   121   12 Mg         0.0078     676.8531   60599.8669
