Symbol_x,Structure,Total Sites_x,Li Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Li Sites,Diff per Counter Ion Sites,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Reduced Formula,Anion Site,Structure_SG
Si,Li88 Si20,108,88.0,20.0,1.459966972458125,0.0135182127079456,0.0165905337779332,0.0729983486229062,Li88 Si20,Si,28.085,210.0,1.9,8.152,1.385,37.3,13.5182127079456,16.59053377793324,0.8148148148148148,0.1851851851851851,0.0729983486229062,0.0009009962576779,0.9009962576779852,F-43m,216,108,Li22Si5,0.23,Li-Si0.23
Si,Li84 Si20,104,84.0,20.0,1.366596611946485,0.0131403520379469,0.0162690072850772,0.0683298305973242,Li84 Si20,Si,28.085,210.0,1.9,8.152,1.385,37.3,13.140352037946972,16.269007285077205,0.8076923076923077,0.1923076923076923,0.0683298305973242,0.0008588129533928,0.8588129533928696,F-43m,216,104,Li21Si5,0.24,Li-Si0.24
Si,Li30 Si8,38,30.0,8.0,0.5262122054070725,0.0138476896159755,0.0175404068469024,0.065776525675884,Li30 Si8,Si,28.085,210.0,1.9,8.152,1.385,37.3,13.847689615975591,17.540406846902414,0.7894736842105263,0.2105263157894736,0.065776525675884,0.0008947234872411,0.894723487241199,I-43d,220,38,Li15Si4,0.27,Li-Si0.27
Si,Li28 Si8,36,28.0,8.0,0.3901449522186065,0.0108373597838501,0.0139337482935216,0.0487681190273258,Li28 Si8,Si,28.085,210.0,1.9,8.152,1.385,37.3,10.83735978385018,13.933748293521662,0.7777777777777778,0.2222222222222222,0.0487681190273258,0.0007358526136679,0.7358526136679376,Pbam,55,36,Li7Si2,0.29,Li-Si0.29
Si,Li26 Si8,34,26.0,8.0,0.409188084382135,0.012034943658298,0.0157380032454667,0.0511485105477668,Li26 Si8,Si,28.085,210.0,1.9,8.152,1.385,37.3,12.034943658298088,15.738003245466734,0.7647058823529411,0.2352941176470588,0.0511485105477668,0.0007814776645293,0.7814776645293501,Pbam,55,34,Li13Si4,0.31,Li-Si0.31
Si,Li42 Si18,60,42.0,18.0,0.0355521189834149,0.0005925353163902,0.0008464790234146,0.0019751177213008,Li42 Si18,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.5925353163902497,0.8464790234146424,0.7,0.3,0.0019751177213008,4.060477859188621e-05,0.0406047785918862,C2,5,60,Li7Si3,0.43,Li-Si0.43
Si,Li4 Si2,6,4.0,2.0,0.0040574777754449,0.0006762462959074,0.0010143694438612,0.0020287388877224,Li4 Si2,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.6762462959074835,1.0143694438612254,0.6666666666666666,0.3333333333333333,0.0020287388877224,4.052523373100308e-05,0.040525233731003,R-3m,166,6,Li2Si,0.5,Li-Si0.5
Si,Li96 Si56,152,96.0,56.0,0.12721682349242,0.0008369527861343,0.0013251752447127,0.002271728990936,Li96 Si56,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.8369527861343423,1.3251752447127088,0.631578947368421,0.3684210526315789,0.002271728990936,5.3094990095240654e-05,0.0530949900952406,Pnma,62,152,Li12Si7,0.58,Li-Si0.58
Si,Li8 Si8,16,8.0,8.0,0.1201503538364429,0.0075093971147776,0.0150187942295553,0.0150187942295553,Li8 Si8,Si,28.085,210.0,1.9,8.152,1.385,37.3,7.509397114777687,15.018794229555374,0.5,0.5,0.0150187942295553,0.0004846401533523,0.484640153352385,P-1,2,16,LiSi,1.0,Li-Si1.0
Si,Li2 Si2,4,2.0,2.0,0.0047917840604833,0.0011979460151208,0.0023958920302416,0.0023958920302416,Li2 Si2,Si,28.085,210.0,1.9,8.152,1.385,37.3,1.197946015120837,2.395892030241674,0.5,0.5,0.0023958920302416,7.960358833162019e-05,0.0796035883316201,Fd-3m,227,4,LiSi,1.0,Li-Si1.0
Si,Li8 Si8,16,8.0,8.0,0.009121574877744,0.000570098429859,0.001140196859718,0.001140196859718,Li8 Si8,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.5700984298589999,1.140196859718,0.5,0.5,0.001140196859718,2.333792196264019e-05,0.0233379219626401,I4_1/a,88,16,LiSi,1.0,Li-Si1.0
Si,Li2 Si6,8,2.0,6.0,0.0150847093430104,0.0018855886678763,0.0075423546715052,0.002514118223835,Li2 Si6,Si,28.085,210.0,1.9,8.152,1.385,37.3,1.8855886678763063,7.542354671505226,0.25,0.75,0.002514118223835,0.0001289358942247,0.1289358942247716,P6_3/mmc,194,8,LiSi3,3.0,Li-Si3.0
Si,Li1 Si3,4,1.0,3.0,0.0075015480202908,0.0018753870050727,0.0075015480202908,0.0025005160067636,Li1 Si3,Si,28.085,210.0,1.9,8.152,1.385,37.3,1.8753870050727008,7.501548020290803,0.25,0.75,0.0025005160067636,0.0001325837737789,0.1325837737789879,I4/mmm,139,4,LiSi3,3.0,Li-Si3.0
