Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.009472878446506024,0.009472878446506024,1.0
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.008695421511430275,0.008695421511430275,1.0
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.009462573692848801,0.009462573692848801,1.0
N,14.007,155.0,3.04,14.534,0.0,7.4,0.005630178644384969,0.005630178644384969,4.0
Fe,55.84,194.0,1.83,7.902,0.163,62.0,0.003169781064535625,0.003169781064535625,2.0
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.017182997131463897,0.017182997131463897,3.0
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.015264550439035308,0.015264550439035308,3.0
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.015721097080161808,0.015721097080161808,3.0
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.007389241839593813,0.007389241839593813,8.0
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0076709509839932005,0.0076709509839932005,1.0
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.01589123835243965,0.01589123835243965,1.0
Cl,35.45,175.0,3.16,12.968,3.617,14.6,0.004700399878097863,0.004700399878097863,2.0
In,114.818,193.0,1.78,5.786,0.3,65.0,0.014111201085974603,0.014111201085974603,2.0
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.007509397114777687,0.007509397114777687,8.0
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.015960377156763725,0.015960377156763725,1.0
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.015857748167378147,0.015857748167378147,3.0
I,126.9045,198.0,2.66,10.451,3.059,32.9,0.004840869089761949,0.004840869089761949,2.0
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0016404817564149288,0.0016404817564149288,6.0
N,14.007,155.0,3.04,14.534,0.0,7.4,0.0057249036794436246,0.0057249036794436246,1.0
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.004337517207421674,0.004337517207421674,2.0
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.006728260554153546,0.006728260554153546,1.0
B,10.81,192.0,2.04,8.298,0.277,20.5,0.010850142539158574,0.010850142539158574,2.0
