Structure,Total Sites,Li Sites,Diff Energy,Diff per Total Sites,Diff per Li Sites,Composition
Li6 Ge6,12,6.0,0.016009939077337006,0.0013341615897780837,0.0026683231795561675,Li6 Ge6
Li3 Mg3,6,3.0,0.0999440390946256,0.016657339849104266,0.03331467969820853,Li3 Mg3
Li2 B2,4,2.0,0.0043517181353369995,0.0010879295338342499,0.0021758590676684997,Li2 B2
Li2 Si2,4,2.0,0.004791784060483348,0.001197946015120837,0.002395892030241674,Li2 Si2
Li1 Cl1,2,1.0,0.0139269143521373,0.00696345717606865,0.0139269143521373,Li1 Cl1
Li1 Mn1,2,1.0,0.0062980092195154495,0.0031490046097577247,0.0062980092195154495,Li1 Mn1
Li1 Pd1,2,1.0,0.02576991108884815,0.012884955544424075,0.02576991108884815,Li1 Pd1
Li4 B4,8,4.0,0.08703198760836865,0.010878998451046082,0.021757996902092163,Li4 B4
Li1 Hg1,2,1.0,0.013680092865284798,0.006840046432642399,0.013680092865284798,Li1 Hg1
Li2 Mg2,4,2.0,0.06636425301353155,0.016591063253382887,0.033182126506765774,Li2 Mg2
Li8 P8,16,8.0,0.1282662799641775,0.008016642497761094,0.016033284995522187,Li8 P8
Li12 Al12,24,12.0,0.32411148926245403,0.013504645385935585,0.02700929077187117,Li12 Al12
Li2 Mg2,4,2.0,0.0140448123179793,0.003511203079494825,0.00702240615898965,Li2 Mg2
Li3 Sn3,6,3.0,0.009352016835654252,0.001558669472609042,0.003117338945218084,Li3 Sn3
Li1 F1,2,1.0,0.0162575353843133,0.00812876769215665,0.0162575353843133,Li1 F1
Li1 Pb1,2,1.0,0.015397469825423948,0.007698734912711974,0.015397469825423948,Li1 Pb1
Li2 B2,4,2.0,0.0056565240901932014,0.0014141310225483004,0.0028282620450966007,Li2 B2
Li2 Br2,4,2.0,0.01794241083147685,0.004485602707869213,0.008971205415738426,Li2 Br2
Li12 Tl12,24,12.0,0.3180004948687095,0.013250020619529563,0.026500041239059125,Li12 Tl12
Li1 Pd1,2,1.0,0.0279231725025413,0.01396158625127065,0.0279231725025413,Li1 Pd1
Li1 Tl1,2,1.0,0.0323862826814628,0.0161931413407314,0.0323862826814628,Li1 Tl1
Li1 U1,2,1.0,0.03134938936111535,0.015674694680557676,0.03134938936111535,Li1 U1
Li1 I1,2,1.0,0.009471474845232449,0.004735737422616224,0.009471474845232449,Li1 I1
