Symbol_x,Structure,Total Sites_x,Li Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Li Sites,Diff per Counter Ion Sites,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Reduced Formula,Anion Site,Structure_SG
Mg,Li5 Mg1,6,5.0,1.0,0.1104360004446929,0.0184060000741154,0.0220872000889385,0.1104360004446929,Li5 Mg1,Mg,24.305,173.0,1.31,7.646,,71.2,0.5008530304167863,22.08720008893859,0.8333333333333334,0.1666666666666666,0.1104360004446929,0.0009156062230882,0.9156062230882483,C2,5,6,Li5Mg,0.2,Li-Mg0.2
Mg,Li4 Mg2,6,4.0,2.0,0.0981508783015159,0.0163584797169193,0.0245377195753789,0.0490754391507579,Li4 Mg2,Mg,24.305,173.0,1.31,7.646,,71.2,0.44513713496897866,24.537719575378997,0.6666666666666666,0.3333333333333333,0.0490754391507579,0.0007980115737352,0.7980115737352179,P-62m,189,6,Li2Mg,0.5,Li-Mg0.5
Mg,Li4 Mg2,6,4.0,2.0,0.0972247258693927,0.0162041209782321,0.0243061814673481,0.0486123629346963,Li4 Mg2,Mg,24.305,173.0,1.31,7.646,,71.2,0.4409368175870655,24.30618146734818,0.6666666666666666,0.3333333333333333,0.0486123629346963,0.0007898224658663,0.7898224658663136,Cm,8,6,Li2Mg,0.5,Li-Mg0.5
Mg,Li3 Mg3,6,3.0,3.0,0.1030979827887833,0.0171829971314638,0.0343659942629277,0.0343659942629277,Li3 Mg3,Mg,24.305,173.0,1.31,7.646,,71.2,0.4675734081431167,34.36599426292779,0.5,0.5,0.0343659942629277,0.0008089495593527,0.8089495593527128,P3m1,156,6,LiMg,1.0,Li-Mg1.0
Mg,Li3 Mg3,6,3.0,3.0,0.0915873026342118,0.0152645504390353,0.0305291008780706,0.0305291008780706,Li3 Mg3,Mg,24.305,173.0,1.31,7.646,,71.2,0.41536978781676537,30.529100878070615,0.5,0.5,0.0305291008780706,0.000748227249933,0.748227249933052,Amm2,38,6,LiMg,1.0,Li-Mg1.0
Mg,Li2 Mg2,4,2.0,2.0,0.0607636852332408,0.0151909213083102,0.0303818426166204,0.0303818426166204,Li2 Mg2,Mg,24.305,173.0,1.31,7.646,,71.2,0.4133662360889522,30.3818426166204,0.5,0.5,0.0303818426166204,0.0007553845268088,0.7553845268088661,C2/m,12,4,LiMg,1.0,Li-Mg1.0
Mg,Li3 Mg3,6,3.0,3.0,0.0904485297610526,0.0150747549601754,0.0301495099203508,0.0301495099203508,Li3 Mg3,Mg,24.305,173.0,1.31,7.646,,71.2,0.410205187123318,30.14950992035088,0.5,0.5,0.0301495099203508,0.0007451371512682,0.7451371512682842,Cm,8,6,LiMg,1.0,Li-Mg1.0
Mg,Li2 Mg4,6,2.0,4.0,0.0999551089416754,0.0166591848236125,0.0499775544708377,0.0249887772354188,Li2 Mg4,Mg,24.305,173.0,1.31,7.646,,71.2,0.4533197419092511,49.97755447083771,0.3333333333333333,0.6666666666666666,0.0249887772354188,0.0007860455163062,0.7860455163062816,Cmcm,63,6,LiMg2,2.0,Li-Mg2.0
Mg,Li1 Mg2,3,1.0,2.0,0.0384758460917817,0.0128252820305939,0.0384758460917817,0.0192379230458908,Li1 Mg2,Mg,24.305,173.0,1.31,7.646,,71.2,0.3489938794473029,38.475846091781705,0.3333333333333333,0.6666666666666666,0.0192379230458908,0.000624248977177,0.6242489771770173,Immm,71,3,LiMg2,2.0,Li-Mg2.0
Mg,Li2 Mg4,6,2.0,4.0,0.0759302154568142,0.012655035909469,0.0379651077284071,0.0189825538642035,Li2 Mg4,Mg,24.305,173.0,1.31,7.646,,71.2,0.3443612441469259,37.965107728407126,0.3333333333333333,0.6666666666666666,0.0189825538642035,0.0006137590555596,0.6137590555596427,C2/m,12,6,LiMg2,2.0,Li-Mg2.0
Mg,Li1 Mg5,6,1.0,5.0,0.0793537952893106,0.0132256325482184,0.0793537952893106,0.0158707590578621,Li1 Mg5,Mg,24.305,173.0,1.31,7.646,,71.2,0.35988797752259155,79.3537952893107,0.1666666666666666,0.8333333333333334,0.0158707590578621,0.0006036521553923,0.6036521553923999,Cm,8,6,LiMg5,5.0,Li-Mg5.0
