-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0999    4342.2386 1048704.9211
     2   12 Mg         0.0365     675.2934   60460.2260
     3   12 Mg         0.0365     675.2963   60460.4843
     4   12 Mg         0.0365     675.2963   60460.4845
     5   12 Mg         0.0406     675.0467   60438.1343
     6   12 Mg         0.0406     675.0467   60438.1348
     7   12 Mg         0.0365     675.2934   60460.2249
     8   12 Mg         0.0365     675.2934   60460.2256
     9   12 Mg         0.0370     675.2687   60458.0107
    10   12 Mg         0.0370     675.2687   60458.0102
    11   12 Mg         0.0374     675.2398   60455.4224
    12   12 Mg         0.0365     675.2963   60460.4845
    13   12 Mg         0.0370     675.2687   60458.0077
    14   12 Mg         0.0370     675.2687   60458.0091
    15   12 Mg         0.0371     675.2604   60457.2692
    16   12 Mg         0.0371     675.2604   60457.2669
    17   12 Mg         0.0406     675.0467   60438.1358
    18   12 Mg         0.0406     675.0467   60438.1361
    19   12 Mg         0.0374     675.2398   60455.4215
    20   12 Mg         0.0374     675.2397   60455.4197
    21   12 Mg         0.0371     675.2604   60457.2661
    22   12 Mg         0.0406     675.0467   60438.1364
    23   12 Mg         0.0406     675.0467   60438.1344
    24   12 Mg         0.0370     675.2686   60458.0070
    25   12 Mg         0.0369     675.2687   60458.0113
    26   12 Mg         0.0356     675.3494   60465.2365
    27   12 Mg         0.0356     675.3494   60465.2382
    28   12 Mg         0.0356     675.3494   60465.2376
    29   12 Mg         0.0358     675.3367   60464.1027
    30   12 Mg         0.0359     675.3310   60463.5907
    31   12 Mg         0.0359     675.3310   60463.5919
    32   12 Mg         0.0359     675.3310   60463.5908
    33   12 Mg         0.0359     675.3310   60463.5911
    34   12 Mg         0.0359     675.3310   60463.5904
    35   12 Mg         0.0359     675.3310   60463.5903
    36   12 Mg         0.0368     675.2777   60458.8153
    37   12 Mg         0.0368     675.2776   60458.8129
    38   12 Mg         0.0368     675.2777   60458.8141
    39   12 Mg         0.0373     675.2468   60456.0507
    40   12 Mg         0.0373     675.2468   60456.0487
    41   12 Mg         0.0373     675.2468   60456.0503
    42   12 Mg         0.0369     675.2713   60458.2476
    43   12 Mg         0.0369     675.2713   60458.2468
    44   12 Mg         0.0369     675.2713   60458.2464
    45   12 Mg         0.0369     675.2713   60458.2463
    46   12 Mg         0.0369     675.2713   60458.2483
    47   12 Mg         0.0369     675.2713   60458.2452
    48   12 Mg         0.0410     675.0197   60435.7187
    49   12 Mg         0.0410     675.0197   60435.7195
    50   12 Mg         0.0410     675.0197   60435.7197
    51   12 Mg         0.0361     675.3207   60462.6708
    52   12 Mg         0.0361     675.3207   60462.6712
    53   12 Mg         0.0361     675.3207   60462.6716
    54   12 Mg         0.0361     675.3212   60462.7126
    55   12 Mg         0.0361     675.3212   60462.7118
    56   12 Mg         0.0361     675.3212   60462.7122
    57   12 Mg         0.0367     675.2817   60459.1779
    58   12 Mg         0.0367     675.2817   60459.1767
