-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0029    4342.2386 1048704.9211
     2   12 Mg         0.0015     677.1539   60626.7975
     3   12 Mg         0.0015     677.1539   60626.7955
     4   12 Mg         0.0015     677.1539   60626.7955
     5   12 Mg         0.0016     677.1508   60626.5169
     6   12 Mg         0.0016     677.1508   60626.5169
     7   12 Mg         0.0015     677.1539   60626.7975
     8   12 Mg         0.0015     677.1539   60626.7975
     9   12 Mg         0.0015     677.1534   60626.7493
    10   12 Mg         0.0015     677.1534   60626.7493
    11   12 Mg         0.0015     677.1531   60626.7212
    12   12 Mg         0.0015     677.1539   60626.7955
    13   12 Mg         0.0015     677.1534   60626.7492
    14   12 Mg         0.0015     677.1534   60626.7492
    15   12 Mg         0.0015     677.1532   60626.7313
    16   12 Mg         0.0015     677.1532   60626.7312
    17   12 Mg         0.0016     677.1508   60626.5170
    18   12 Mg         0.0016     677.1508   60626.5170
    19   12 Mg         0.0015     677.1531   60626.7212
    20   12 Mg         0.0015     677.1531   60626.7211
    21   12 Mg         0.0015     677.1532   60626.7312
    22   12 Mg         0.0016     677.1508   60626.5170
    23   12 Mg         0.0016     677.1508   60626.5169
    24   12 Mg         0.0015     677.1534   60626.7492
    25   12 Mg         0.0015     677.1534   60626.7493
    26   12 Mg         0.0015     677.1547   60626.8712
    27   12 Mg         0.0015     677.1547   60626.8712
    28   12 Mg         0.0015     677.1547   60626.8712
    29   12 Mg         0.0015     677.1547   60626.8712
