-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0081    4342.2386 1048704.9211
     2   12 Mg         0.0037     677.0490   60617.4066
     3   12 Mg         0.0037     677.0490   60617.4084
     4   12 Mg         0.0037     677.0490   60617.4084
     5   12 Mg         0.0040     677.0376   60616.3860
     6   12 Mg         0.0040     677.0376   60616.3860
     7   12 Mg         0.0037     677.0490   60617.4065
     8   12 Mg         0.0037     677.0490   60617.4066
     9   12 Mg         0.0038     677.0475   60617.2702
    10   12 Mg         0.0038     677.0475   60617.2702
    11   12 Mg         0.0038     677.0457   60617.1115
    12   12 Mg         0.0037     677.0490   60617.4084
    13   12 Mg         0.0038     677.0475   60617.2700
    14   12 Mg         0.0038     677.0475   60617.2701
    15   12 Mg         0.0038     677.0469   60617.2157
    16   12 Mg         0.0038     677.0469   60617.2156
    17   12 Mg         0.0040     677.0376   60616.3861
    18   12 Mg         0.0040     677.0376   60616.3861
    19   12 Mg         0.0038     677.0457   60617.1114
    20   12 Mg         0.0038     677.0457   60617.1113
    21   12 Mg         0.0038     677.0469   60617.2155
    22   12 Mg         0.0040     677.0376   60616.3861
    23   12 Mg         0.0040     677.0376   60616.3860
    24   12 Mg         0.0038     677.0475   60617.2700
    25   12 Mg         0.0038     677.0475   60617.2702
    26   12 Mg         0.0037     677.0518   60617.6525
    27   12 Mg         0.0037     677.0518   60617.6526
    28   12 Mg         0.0037     677.0518   60617.6525
    29   12 Mg         0.0037     677.0515   60617.6265
    30   12 Mg         0.0037     677.0510   60617.5874
    31   12 Mg         0.0037     677.0510   60617.5875
    32   12 Mg         0.0037     677.0510   60617.5874
    33   12 Mg         0.0037     677.0510   60617.5874
    34   12 Mg         0.0037     677.0510   60617.5874
    35   12 Mg         0.0037     677.0510   60617.5874
    36   12 Mg         0.0038     677.0480   60617.3139
    37   12 Mg         0.0038     677.0480   60617.3138
    38   12 Mg         0.0038     677.0480   60617.3139
    39   12 Mg         0.0038     677.0462   60617.1536
    40   12 Mg         0.0038     677.0462   60617.1535
    41   12 Mg         0.0038     677.0462   60617.1536
    42   12 Mg         0.0038     677.0475   60617.2705
    43   12 Mg         0.0038     677.0475   60617.2705
    44   12 Mg         0.0038     677.0475   60617.2704
    45   12 Mg         0.0038     677.0475   60617.2704
    46   12 Mg         0.0038     677.0475   60617.2705
    47   12 Mg         0.0038     677.0475   60617.2704
    48   12 Mg         0.0040     677.0362   60616.2570
    49   12 Mg         0.0040     677.0362   60616.2571
    50   12 Mg         0.0040     677.0362   60616.2571
    51   12 Mg         0.0037     677.0506   60617.5468
    52   12 Mg         0.0037     677.0506   60617.5468
    53   12 Mg         0.0037     677.0506   60617.5468
    54   12 Mg         0.0037     677.0506   60617.5448
    55   12 Mg         0.0037     677.0506   60617.5448
    56   12 Mg         0.0037     677.0506   60617.5448
    57   12 Mg         0.0038     677.0483   60617.3423
    58   12 Mg         0.0038     677.0483   60617.3423
    59   12 Mg         0.0038     677.0483   60617.3423
    60   12 Mg         0.0038     677.0483   60617.3423
    61   12 Mg         0.0038     677.0483   60617.3423
    62   12 Mg         0.0038     677.0483   60617.3423
    63   12 Mg         0.0037     677.0486   60617.3737
    64   12 Mg         0.0037     677.0486   60617.3736
    65   12 Mg         0.0037     677.0486   60617.3737
    66   12 Mg         0.0037     677.0486   60617.3737
    67   12 Mg         0.0037     677.0486   60617.3736
    68   12 Mg         0.0037     677.0486   60617.3737
    69   12 Mg         0.0038     677.0482   60617.3362
    70   12 Mg         0.0038     677.0482   60617.3362
    71   12 Mg         0.0038     677.0482   60617.3362
    72   12 Mg         0.0038     677.0480   60617.3120
    73   12 Mg         0.0038     677.0480   60617.3120
    74   12 Mg         0.0038     677.0480   60617.3120
    75   12 Mg         0.0037     677.0494   60617.4383
    76   12 Mg         0.0037     677.0495   60617.4481
    77   12 Mg         0.0037     677.0495   60617.4482
    78   12 Mg         0.0037     677.0496   60617.4632
    79   12 Mg         0.0037     677.0496   60617.4621
    80   12 Mg         0.0037     677.0496   60617.4621
    81   12 Mg         0.0037     677.0496   60617.4621
    82   12 Mg         0.0037     677.0496   60617.4621
    83   12 Mg         0.0037     677.0492   60617.4197
    84   12 Mg         0.0037     677.0487   60617.3808
    85   12 Mg         0.0037     677.0487   60617.3809
    86   12 Mg         0.0037     677.0496   60617.4621
    87   12 Mg         0.0037     677.0496   60617.4621
    88   12 Mg         0.0037     677.0489   60617.3923
    89   12 Mg         0.0037     677.0489   60617.3922
    90   12 Mg         0.0038     677.0482   60617.3377
    91   12 Mg         0.0037     677.0495   60617.4482
    92   12 Mg         0.0037     677.0487   60617.3808
    93   12 Mg         0.0037     677.0487   60617.3808
    94   12 Mg         0.0038     677.0482   60617.3377
    95   12 Mg         0.0038     677.0482   60617.3377
    96   12 Mg         0.0037     677.0496   60617.4632
    97   12 Mg         0.0037     677.0496   60617.4632
    98   12 Mg         0.0037     677.0487   60617.3807
    99   12 Mg         0.0037     677.0487   60617.3808
   100   12 Mg         0.0037     677.0489   60617.3923
   101   12 Mg         0.0037     677.0494   60617.4383
   102   12 Mg         0.0038     677.0480   60617.3121
   103   12 Mg         0.0038     677.0480   60617.3120
   104   12 Mg         0.0038     677.0480   60617.3120
   105   12 Mg         0.0038     677.0482   60617.3363
   106   12 Mg         0.0038     677.0482   60617.3362
   107   12 Mg         0.0038     677.0482   60617.3362
   108   12 Mg         0.0037     677.0486   60617.3737
   109   12 Mg         0.0037     677.0486   60617.3736
   110   12 Mg         0.0037     677.0486   60617.3737
   111   12 Mg         0.0037     677.0486   60617.3737
   112   12 Mg         0.0037     677.0486   60617.3736
   113   12 Mg         0.0037     677.0486   60617.3737
   114   12 Mg         0.0038     677.0483   60617.3424
   115   12 Mg         0.0038     677.0483   60617.3423
   116   12 Mg         0.0038     677.0483   60617.3424
   117   12 Mg         0.0038     677.0483   60617.3424
   118   12 Mg         0.0038     677.0483   60617.3423
   119   12 Mg         0.0038     677.0483   60617.3424
   120   12 Mg         0.0037     677.0506   60617.5448
   121   12 Mg         0.0037     677.0506   60617.5448
   122   12 Mg         0.0037     677.0506   60617.5448
   123   12 Mg         0.0037     677.0506   60617.5468
   124   12 Mg         0.0037     677.0506   60617.5468
   125   12 Mg         0.0037     677.0506   60617.5468
   126   12 Mg         0.0040     677.0362   60616.2571
   127   12 Mg         0.0040     677.0362   60616.2571
   128   12 Mg         0.0040     677.0362   60616.2571
   129   12 Mg         0.0038     677.0475   60617.2705
   130   12 Mg         0.0038     677.0475   60617.2704
   131   12 Mg         0.0038     677.0475   60617.2704
   132   12 Mg         0.0038     677.0475   60617.2704
   133   12 Mg         0.0038     677.0475   60617.2705
   134   12 Mg         0.0038     677.0475   60617.2703
   135   12 Mg         0.0038     677.0462   60617.1536
