-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.6781    4342.2386 1048704.9104
     2   12 Mg         0.2121     654.9416   58638.0888
     3   12 Mg         0.2118     655.0004   58643.3504
     4   12 Mg         0.2118     655.0004   58643.3542
     5   12 Mg         0.2438     648.2530   58039.2438
     6   12 Mg         0.2438     648.2532   58039.2627
     7   12 Mg         0.2121     654.9413   58638.0637
     8   12 Mg         0.2121     654.9415   58638.0798
     9   12 Mg         0.2150     654.3738   58587.2551
    10   12 Mg         0.2150     654.3737   58587.2448
    11   12 Mg         0.2183     653.7217   58528.8673
    12   12 Mg         0.2118     655.0004   58643.3533
    13   12 Mg         0.2150     654.3731   58587.1872
    14   12 Mg         0.2150     654.3734   58587.2183
    15   12 Mg         0.2160     654.1873   58570.5532
    16   12 Mg         0.2160     654.1867   58570.4987
    17   12 Mg         0.2438     648.2534   58039.2882
    18   12 Mg         0.2438     648.2536   58039.2977
    19   12 Mg         0.2183     653.7214   58528.8471
    20   12 Mg         0.2183     653.7210   58528.8063
    21   12 Mg         0.2160     654.1865   58570.4822
    22   12 Mg         0.2438     648.2536   58039.3011
    23   12 Mg         0.2438     648.2531   58039.2540
    24   12 Mg         0.2150     654.3729   58587.1714
    25   12 Mg         0.2150     654.3740   58587.2698
    26   12 Mg         0.2052     656.2322   58753.6402
    27   12 Mg         0.2052     656.2326   58753.6764
    28   12 Mg         0.2052     656.2325   58753.6649
    29   12 Mg         0.2070     655.9035   58724.2071
    30   12 Mg         0.2077     655.7744   58712.6519
    31   12 Mg         0.2077     655.7747   58712.6767
    32   12 Mg         0.2077     655.7744   58712.6538
    33   12 Mg         0.2077     655.7745   58712.6591
    34   12 Mg         0.2077     655.7743   58712.6447
    35   12 Mg         0.2077     655.7743   58712.6421
    36   12 Mg         0.2139     654.5909   58606.6958
    37   12 Mg         0.2139     654.5903   58606.6420
    38   12 Mg         0.2139     654.5906   58606.6691
    39   12 Mg         0.2175     653.8873   58543.6981
    40   12 Mg         0.2175     653.8868   58543.6527
    41   12 Mg         0.2175     653.8872   58543.6905
    42   12 Mg         0.2146     654.4525   58594.3041
    43   12 Mg         0.2146     654.4524   58594.2871
    44   12 Mg         0.2146     654.4523   58594.2787
    45   12 Mg         0.2146     654.4522   58594.2749
    46   12 Mg         0.2146     654.4527   58594.3202
    47   12 Mg         0.2146     654.4519   58594.2508
    48   12 Mg         0.2469     647.5335   57974.8292
    49   12 Mg         0.2469     647.5337   57974.8497
    50   12 Mg         0.2469     647.5338   57974.8555
    51   12 Mg         0.2089     655.5463   58692.2333
    52   12 Mg         0.2089     655.5464   58692.2434
    53   12 Mg         0.2089     655.5465   58692.2509
    54   12 Mg         0.2088     655.5591   58693.3743
    55   12 Mg         0.2088     655.5589   58693.3571
    56   12 Mg         0.2088     655.5590   58693.3658
    57   12 Mg         0.2134     654.6803   58614.6920
    58   12 Mg         0.2134     654.6800   58614.6648
    59   12 Mg         0.2134     654.6802   58614.6833
    60   12 Mg         0.2134     654.6802   58614.6897
    61   12 Mg         0.2134     654.6799   58614.6632
    62   12 Mg         0.2134     654.6802   58614.6826
    63   12 Mg         0.2126     654.8516   58630.0281
    64   12 Mg         0.2126     654.8512   58629.9979
    65   12 Mg         0.2126     654.8516   58630.0308
    66   12 Mg         0.2126     654.8516   58630.0290
    67   12 Mg         0.2126     654.8514   58630.0120
    68   12 Mg         0.2126     654.8517   58630.0387
    69   12 Mg         0.2132     654.7314   58619.2684
    70   12 Mg         0.2132     654.7311   58619.2414
    71   12 Mg         0.2132     654.7311   58619.2418
    72   12 Mg         0.2139     654.6001   58607.5180
    73   12 Mg         0.2139     654.5999   58607.5000
    74   12 Mg         0.2139     654.5999   58607.5014
    75   12 Mg         0.2106     655.2242   58663.3937
    76   12 Mg         0.2110     655.1525   58656.9754
    77   12 Mg         0.2110     655.1529   58657.0093
    78   12 Mg         0.2106     655.2202   58663.0336
    79   12 Mg         0.2107     655.2157   58662.6270
    80   12 Mg         0.2107     655.2158   58662.6434
    81   12 Mg         0.2107     655.2157   58662.6270
    82   12 Mg         0.2107     655.2157   58662.6353
    83   12 Mg         0.2117     655.0081   58644.0407
    84   12 Mg         0.2124     654.8718   58631.8443
    85   12 Mg         0.2124     654.8722   58631.8802
    86   12 Mg         0.2107     655.2158   58662.6421
    87   12 Mg         0.2107     655.2156   58662.6183
    88   12 Mg         0.2121     654.9323   58637.2563
    89   12 Mg         0.2121     654.9320   58637.2288
    90   12 Mg         0.2134     654.6954   58616.0481
    91   12 Mg         0.2110     655.1528   58657.0014
    92   12 Mg         0.2124     654.8720   58631.8629
    93   12 Mg         0.2124     654.8719   58631.8518
    94   12 Mg         0.2134     654.6951   58616.0221
    95   12 Mg         0.2134     654.6952   58616.0313
    96   12 Mg         0.2106     655.2201   58663.0253
    97   12 Mg         0.2106     655.2202   58663.0338
    98   12 Mg         0.2125     654.8717   58631.8280
    99   12 Mg         0.2125     654.8717   58631.8357
   100   12 Mg         0.2121     654.9322   58637.2480
   101   12 Mg         0.2106     655.2242   58663.3930
   102   12 Mg         0.2139     654.6005   58607.5479
   103   12 Mg         0.2139     654.6003   58607.5299
   104   12 Mg         0.2139     654.6003   58607.5314
   105   12 Mg         0.2132     654.7315   58619.2829
