-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         1.0625    4341.8592 1048613.2926
     2   12 Mg         0.3251     625.2882   55983.1707
     3   12 Mg         0.3246     625.4510   55997.7475
     4   12 Mg         0.3246     625.4511   55997.7576
     5   12 Mg         0.3756     606.7087   54319.7112
     6   12 Mg         0.3756     606.7092   54319.7613
     7   12 Mg         0.3251     625.2874   55983.1013
     8   12 Mg         0.3251     625.2879   55983.1458
     9   12 Mg         0.3297     623.7145   55842.2768
    10   12 Mg         0.3297     623.7142   55842.2486
    11   12 Mg         0.3349     621.9102   55680.7334
    12   12 Mg         0.3246     625.4511   55997.7552
    13   12 Mg         0.3297     623.7125   55842.0889
    14   12 Mg         0.3297     623.7134   55842.1748
    15   12 Mg         0.3312     623.2078   55796.9104
    16   12 Mg         0.3312     623.2062   55796.7594
    17   12 Mg         0.3756     606.7100   54319.8306
    18   12 Mg         0.3756     606.7103   54319.8570
    19   12 Mg         0.3349     621.9096   55680.6773
    20   12 Mg         0.3349     621.9083   55680.5643
    21   12 Mg         0.3312     623.2056   55796.7135
    22   12 Mg         0.3756     606.7104   54319.8673
    23   12 Mg         0.3756     606.7090   54319.7371
    24   12 Mg         0.3297     623.7120   55842.0449
    25   12 Mg         0.3297     623.7150   55842.3177
    26   12 Mg         0.3141     628.8855   56305.2398
    27   12 Mg         0.3141     628.8866   56305.3395
    28   12 Mg         0.3141     628.8862   56305.3078
    29   12 Mg         0.3170     627.9499   56221.4749
    30   12 Mg         0.3181     627.5932   56189.5436
    31   12 Mg         0.3181     627.5940   56189.6119
    32   12 Mg         0.3181     627.5933   56189.5485
    33   12 Mg         0.3181     627.5935   56189.5633
    34   12 Mg         0.3181     627.5930   56189.5235
    35   12 Mg         0.3181     627.5929   56189.5163
    36   12 Mg         0.3279     624.3203   55896.5109
    37   12 Mg         0.3279     624.3186   55896.3620
    38   12 Mg         0.3279     624.3195   55896.4371
    39   12 Mg         0.3336     622.3710   55721.9889
    40   12 Mg         0.3336     622.3696   55721.8630
    41   12 Mg         0.3336     622.3708   55721.9681
    42   12 Mg         0.3290     623.9382   55862.3009
    43   12 Mg         0.3290     623.9377   55862.2540
    44   12 Mg         0.3290     623.9374   55862.2308
    45   12 Mg         0.3290     623.9373   55862.2202
    46   12 Mg         0.3290     623.9387   55862.3457
    47   12 Mg         0.3290     623.9366   55862.1536
    48   12 Mg         0.3805     604.7392   54143.3804
    49   12 Mg         0.3805     604.7398   54143.4359
    50   12 Mg         0.3805     604.7400   54143.4520
    51   12 Mg         0.3200     626.9604   56132.8803
    52   12 Mg         0.3200     626.9607   56132.9080
    53   12 Mg         0.3200     626.9609   56132.9289
    54   12 Mg         0.3199     626.9984   56136.2891
    55   12 Mg         0.3199     626.9979   56136.2417
    56   12 Mg         0.3199     626.9982   56136.2657
    57   12 Mg         0.3272     624.5656   55918.4686
    58   12 Mg         0.3272     624.5647   55918.3932
    59   12 Mg         0.3272     624.5653   55918.4445
    60   12 Mg         0.3272     624.5655   55918.4622
    61   12 Mg         0.3272     624.5647   55918.3888
    62   12 Mg         0.3272     624.5653   55918.4425
