-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0189    4342.2386 1048704.9211
     2   12 Mg         0.0081     676.8401   60598.7023
     3   12 Mg         0.0081     676.8403   60598.7182
     4   12 Mg         0.0081     676.8403   60598.7182
     5   12 Mg         0.0087     676.8090   60595.9159
     6   12 Mg         0.0087     676.8090   60595.9159
     7   12 Mg         0.0081     676.8401   60598.7021
     8   12 Mg         0.0081     676.8401   60598.7022
     9   12 Mg         0.0082     676.8363   60598.3663
    10   12 Mg         0.0082     676.8363   60598.3662
    11   12 Mg         0.0082     676.8320   60597.9748
    12   12 Mg         0.0081     676.8403   60598.7182
    13   12 Mg         0.0082     676.8363   60598.3659
    14   12 Mg         0.0082     676.8363   60598.3661
    15   12 Mg         0.0082     676.8349   60598.2370
    16   12 Mg         0.0082     676.8349   60598.2367
    17   12 Mg         0.0087     676.8090   60595.9161
    18   12 Mg         0.0087     676.8090   60595.9161
    19   12 Mg         0.0082     676.8320   60597.9747
    20   12 Mg         0.0082     676.8320   60597.9744
    21   12 Mg         0.0082     676.8349   60598.2365
    22   12 Mg         0.0087     676.8090   60595.9162
    23   12 Mg         0.0087     676.8090   60595.9159
    24   12 Mg         0.0082     676.8363   60598.3658
    25   12 Mg         0.0082     676.8364   60598.3664
    26   12 Mg         0.0079     676.8472   60599.3362
    27   12 Mg         0.0079     676.8472   60599.3365
    28   12 Mg         0.0079     676.8472   60599.3364
    29   12 Mg         0.0080     676.8463   60599.2615
    30   12 Mg         0.0080     676.8453   60599.1715
    31   12 Mg         0.0080     676.8453   60599.1717
    32   12 Mg         0.0080     676.8453   60599.1716
    33   12 Mg         0.0080     676.8453   60599.1716
    34   12 Mg         0.0080     676.8453   60599.1715
    35   12 Mg         0.0080     676.8453   60599.1715
    36   12 Mg         0.0081     676.8376   60598.4787
    37   12 Mg         0.0081     676.8376   60598.4784
    38   12 Mg         0.0081     676.8376   60598.4786
    39   12 Mg         0.0082     676.8330   60598.0645
    40   12 Mg         0.0082     676.8330   60598.0642
    41   12 Mg         0.0082     676.8330   60598.0644
    42   12 Mg         0.0082     676.8365   60598.3794
    43   12 Mg         0.0082     676.8365   60598.3793
    44   12 Mg         0.0082     676.8365   60598.3792
    45   12 Mg         0.0082     676.8365   60598.3792
    46   12 Mg         0.0082     676.8365   60598.3795
    47   12 Mg         0.0082     676.8365   60598.3790
    48   12 Mg         0.0088     676.8052   60595.5818
    49   12 Mg         0.0088     676.8052   60595.5819
    50   12 Mg         0.0088     676.8052   60595.5819
    51   12 Mg         0.0080     676.8439   60599.0459
    52   12 Mg         0.0080     676.8439   60599.0460
    53   12 Mg         0.0080     676.8439   60599.0460
    54   12 Mg         0.0080     676.8440   60599.0533
    55   12 Mg         0.0080     676.8440   60599.0531
    56   12 Mg         0.0080     676.8440   60599.0532
    57   12 Mg         0.0081     676.8383   60598.5429
    58   12 Mg         0.0081     676.8383   60598.5427
    59   12 Mg         0.0081     676.8383   60598.5428
    60   12 Mg         0.0081     676.8383   60598.5429
