-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0098    4342.2386 1048704.9211
     2   12 Mg         0.0045     677.0150   60614.3612
     3   12 Mg         0.0045     677.0150   60614.3649
     4   12 Mg         0.0045     677.0150   60614.3649
     5   12 Mg         0.0048     677.0000   60613.0179
     6   12 Mg         0.0048     677.0000   60613.0179
     7   12 Mg         0.0045     677.0150   60614.3612
     8   12 Mg         0.0045     677.0150   60614.3612
     9   12 Mg         0.0045     677.0131   60614.1936
    10   12 Mg         0.0045     677.0131   60614.1936
    11   12 Mg         0.0045     677.0109   60613.9982
    12   12 Mg         0.0045     677.0150   60614.3649
    13   12 Mg         0.0045     677.0131   60614.1934
    14   12 Mg         0.0045     677.0131   60614.1935
    15   12 Mg         0.0045     677.0124   60614.1271
    16   12 Mg         0.0045     677.0124   60614.1269
    17   12 Mg         0.0048     677.0000   60613.0179
    18   12 Mg         0.0048     677.0000   60613.0180
    19   12 Mg         0.0045     677.0109   60613.9981
    20   12 Mg         0.0045     677.0109   60613.9980
    21   12 Mg         0.0045     677.0124   60614.1269
    22   12 Mg         0.0048     677.0000   60613.0180
    23   12 Mg         0.0048     677.0000   60613.0178
    24   12 Mg         0.0045     677.0131   60614.1934
    25   12 Mg         0.0045     677.0131   60614.1937
    26   12 Mg         0.0044     677.0185   60614.6707
    27   12 Mg         0.0044     677.0185   60614.6708
    28   12 Mg         0.0044     677.0185   60614.6708
    29   12 Mg         0.0044     677.0180   60614.6341
    30   12 Mg         0.0044     677.0175   60614.5868
    31   12 Mg         0.0044     677.0175   60614.5869
    32   12 Mg         0.0044     677.0175   60614.5868
    33   12 Mg         0.0044     677.0175   60614.5868
    34   12 Mg         0.0044     677.0175   60614.5867
    35   12 Mg         0.0044     677.0175   60614.5867
    36   12 Mg         0.0045     677.0137   60614.2479
    37   12 Mg         0.0045     677.0137   60614.2477
    38   12 Mg         0.0045     677.0137   60614.2478
    39   12 Mg         0.0045     677.0115   60614.0496
    40   12 Mg         0.0045     677.0115   60614.0494
    41   12 Mg         0.0045     677.0115   60614.0496
    42   12 Mg         0.0045     677.0130   60614.1815
    43   12 Mg         0.0045     677.0130   60614.1815
    44   12 Mg         0.0045     677.0130   60614.1814
    45   12 Mg         0.0045     677.0130   60614.1814
    46   12 Mg         0.0045     677.0130   60614.1816
    47   12 Mg         0.0045     677.0130   60614.1813
    48   12 Mg         0.0048     676.9984   60612.8709
    49   12 Mg         0.0048     676.9984   60612.8709
    50   12 Mg         0.0048     676.9984   60612.8709
    51   12 Mg         0.0044     677.0169   60614.5350
    52   12 Mg         0.0044     677.0169   60614.5351
    53   12 Mg         0.0044     677.0169   60614.5351
    54   12 Mg         0.0044     677.0166   60614.5052
    55   12 Mg         0.0044     677.0166   60614.5051
    56   12 Mg         0.0044     677.0166   60614.5052
    57   12 Mg         0.0045     677.0141   60614.2822
    58   12 Mg         0.0045     677.0141   60614.2821
    59   12 Mg         0.0045     677.0141   60614.2822
    60   12 Mg         0.0045     677.0141   60614.2822
    61   12 Mg         0.0045     677.0141   60614.2821
    62   12 Mg         0.0045     677.0141   60614.2821
    63   12 Mg         0.0045     677.0146   60614.3221
    64   12 Mg         0.0045     677.0146   60614.3220
    65   12 Mg         0.0045     677.0146   60614.3222
    66   12 Mg         0.0045     677.0146   60614.3221
    67   12 Mg         0.0045     677.0146   60614.3221
    68   12 Mg         0.0045     677.0146   60614.3222
    69   12 Mg         0.0045     677.0137   60614.2483
    70   12 Mg         0.0045     677.0137   60614.2482
    71   12 Mg         0.0045     677.0137   60614.2482
    72   12 Mg         0.0045     677.0137   60614.2458
    73   12 Mg         0.0045     677.0137   60614.2457
    74   12 Mg         0.0045     677.0137   60614.2457
    75   12 Mg         0.0044     677.0155   60614.4038
    76   12 Mg         0.0044     677.0156   60614.4134
    77   12 Mg         0.0044     677.0156   60614.4135
    78   12 Mg         0.0044     677.0158   60614.4322
    79   12 Mg         0.0044     677.0155   60614.4027
    80   12 Mg         0.0044     677.0155   60614.4028
    81   12 Mg         0.0044     677.0155   60614.4027
    82   12 Mg         0.0044     677.0155   60614.4028
    83   12 Mg         0.0045     677.0152   60614.3777
    84   12 Mg         0.0045     677.0147   60614.3303
    85   12 Mg         0.0045     677.0147   60614.3304
    86   12 Mg         0.0044     677.0155   60614.4028
    87   12 Mg         0.0044     677.0155   60614.4027
    88   12 Mg         0.0045     677.0148   60614.3448
