-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0150    4342.2386 1048704.9211
     2   12 Mg         0.0066     676.9134   60605.2641
     3   12 Mg         0.0066     676.9135   60605.2747
     4   12 Mg         0.0066     676.9135   60605.2748
     5   12 Mg         0.0071     676.8897   60603.1395
     6   12 Mg         0.0071     676.8897   60603.1396
     7   12 Mg         0.0066     676.9134   60605.2640
     8   12 Mg         0.0066     676.9134   60605.2641
     9   12 Mg         0.0066     676.9105   60605.0010
    10   12 Mg         0.0066     676.9105   60605.0009
    11   12 Mg         0.0067     676.9070   60604.6945
    12   12 Mg         0.0066     676.9135   60605.2748
    13   12 Mg         0.0066     676.9104   60605.0006
    14   12 Mg         0.0066     676.9105   60605.0008
    15   12 Mg         0.0067     676.9093   60604.8987
    16   12 Mg         0.0067     676.9093   60604.8984
    17   12 Mg         0.0071     676.8897   60603.1397
    18   12 Mg         0.0071     676.8897   60603.1397
    19   12 Mg         0.0067     676.9070   60604.6944
    20   12 Mg         0.0067     676.9070   60604.6942
    21   12 Mg         0.0067     676.9093   60604.8983
    22   12 Mg         0.0071     676.8897   60603.1397
    23   12 Mg         0.0071     676.8897   60603.1395
    24   12 Mg         0.0066     676.9104   60605.0006
    25   12 Mg         0.0066     676.9105   60605.0010
    26   12 Mg         0.0065     676.9191   60605.7721
    27   12 Mg         0.0065     676.9191   60605.7723
    28   12 Mg         0.0065     676.9191   60605.7722
    29   12 Mg         0.0065     676.9182   60605.6988
    30   12 Mg         0.0065     676.9174   60605.6273
    31   12 Mg         0.0065     676.9175   60605.6274
    32   12 Mg         0.0065     676.9174   60605.6273
    33   12 Mg         0.0065     676.9174   60605.6273
    34   12 Mg         0.0065     676.9174   60605.6272
    35   12 Mg         0.0065     676.9174   60605.6272
    36   12 Mg         0.0066     676.9114   60605.0881
    37   12 Mg         0.0066     676.9114   60605.0878
    38   12 Mg         0.0066     676.9114   60605.0880
    39   12 Mg         0.0067     676.9078   60604.7642
    40   12 Mg         0.0067     676.9078   60604.7640
    41   12 Mg         0.0067     676.9078   60604.7642
    42   12 Mg         0.0066     676.9105   60605.0090
    43   12 Mg         0.0066     676.9105   60605.0089
    44   12 Mg         0.0066     676.9105   60605.0089
    45   12 Mg         0.0066     676.9105   60605.0088
    46   12 Mg         0.0066     676.9105   60605.0091
    47   12 Mg         0.0066     676.9105   60605.0087
    48   12 Mg         0.0071     676.8868   60602.8809
    49   12 Mg         0.0071     676.8868   60602.8810
    50   12 Mg         0.0071     676.8868   60602.8810
    51   12 Mg         0.0065     676.9164   60605.5302
    52   12 Mg         0.0065     676.9164   60605.5303
    53   12 Mg         0.0065     676.9164   60605.5303
    54   12 Mg         0.0065     676.9164   60605.5364
    55   12 Mg         0.0065     676.9164   60605.5363
    56   12 Mg         0.0065     676.9164   60605.5364
    57   12 Mg         0.0066     676.9120   60605.1393
    58   12 Mg         0.0066     676.9120   60605.1392
    59   12 Mg         0.0066     676.9120   60605.1393
    60   12 Mg         0.0066     676.9120   60605.1393
    61   12 Mg         0.0066     676.9120   60605.1392
    62   12 Mg         0.0066     676.9120   60605.1392
    63   12 Mg         0.0066     676.9128   60605.2077
    64   12 Mg         0.0066     676.9128   60605.2075
    65   12 Mg         0.0066     676.9128   60605.2077
    66   12 Mg         0.0066     676.9128   60605.2077
    67   12 Mg         0.0066     676.9128   60605.2076
    68   12 Mg         0.0066     676.9128   60605.2077
    69   12 Mg         0.0066     676.9119   60605.1341
    70   12 Mg         0.0066     676.9119   60605.1340
    71   12 Mg         0.0066     676.9119   60605.1340
    72   12 Mg         0.0066     676.9113   60605.0756
    73   12 Mg         0.0066     676.9113   60605.0755
    74   12 Mg         0.0066     676.9113   60605.0755
    75   12 Mg         0.0066     676.9143   60605.3430
