-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0310    4342.2386 1048704.9211
     2   12 Mg         0.0127     676.6097   60578.0766
     3   12 Mg         0.0127     676.6103   60578.1292
     4   12 Mg         0.0127     676.6103   60578.1292
     5   12 Mg         0.0138     676.5536   60573.0512
     6   12 Mg         0.0138     676.5536   60573.0513
     7   12 Mg         0.0127     676.6097   60578.0763
     8   12 Mg         0.0127     676.6097   60578.0765
     9   12 Mg         0.0128     676.6035   60577.5193
    10   12 Mg         0.0128     676.6035   60577.5192
    11   12 Mg         0.0130     676.5960   60576.8473
    12   12 Mg         0.0127     676.6103   60578.1292
    13   12 Mg         0.0128     676.6035   60577.5186
    14   12 Mg         0.0128     676.6035   60577.5189
    15   12 Mg         0.0129     676.6009   60577.2830
    16   12 Mg         0.0129     676.6009   60577.2824
    17   12 Mg         0.0138     676.5536   60573.0515
    18   12 Mg         0.0138     676.5536   60573.0516
    19   12 Mg         0.0130     676.5960   60576.8471
    20   12 Mg         0.0130     676.5960   60576.8467
    21   12 Mg         0.0129     676.6009   60577.2822
    22   12 Mg         0.0138     676.5536   60573.0517
    23   12 Mg         0.0138     676.5536   60573.0511
    24   12 Mg         0.0128     676.6035   60577.5184
    25   12 Mg         0.0128     676.6035   60577.5195
    26   12 Mg         0.0124     676.6231   60579.2748
    27   12 Mg         0.0124     676.6231   60579.2753
    28   12 Mg         0.0124     676.6231   60579.2751
    29   12 Mg         0.0125     676.6208   60579.0658
    30   12 Mg         0.0125     676.6191   60578.9162
    31   12 Mg         0.0125     676.6191   60578.9165
    32   12 Mg         0.0125     676.6191   60578.9162
    33   12 Mg         0.0125     676.6191   60578.9163
    34   12 Mg         0.0125     676.6191   60578.9161
    35   12 Mg         0.0125     676.6191   60578.9161
    36   12 Mg         0.0128     676.6055   60577.6980
    37   12 Mg         0.0128     676.6055   60577.6974
    38   12 Mg         0.0128     676.6055   60577.6977
    39   12 Mg         0.0129     676.5977   60577.0023
    40   12 Mg         0.0129     676.5977   60577.0018
    41   12 Mg         0.0129     676.5977   60577.0022
    42   12 Mg         0.0128     676.6039   60577.5511
    43   12 Mg         0.0128     676.6039   60577.5509
    44   12 Mg         0.0128     676.6039   60577.5508
    45   12 Mg         0.0128     676.6039   60577.5508
    46   12 Mg         0.0128     676.6039   60577.5513
    47   12 Mg         0.0128     676.6039   60577.5505
    48   12 Mg         0.0139     676.5466   60572.4208
    49   12 Mg         0.0139     676.5466   60572.4209
    50   12 Mg         0.0139     676.5466   60572.4210
    51   12 Mg         0.0126     676.6166   60578.6944
    52   12 Mg         0.0126     676.6166   60578.6945
    53   12 Mg         0.0126     676.6166   60578.6946
    54   12 Mg         0.0126     676.6167   60578.7044
    55   12 Mg         0.0126     676.6167   60578.7042
    56   12 Mg         0.0126     676.6167   60578.7043
    57   12 Mg         0.0128     676.6068   60577.8105
    58   12 Mg         0.0128     676.6068   60577.8102
