-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0034    4342.2386 1048704.9211
     2   12 Mg         0.0017     677.1439   60625.9033
     3   12 Mg         0.0017     677.1439   60625.9015
     4   12 Mg         0.0017     677.1439   60625.9015
     5   12 Mg         0.0018     677.1398   60625.5360
     6   12 Mg         0.0018     677.1398   60625.5360
     7   12 Mg         0.0017     677.1439   60625.9033
     8   12 Mg         0.0017     677.1439   60625.9033
     9   12 Mg         0.0017     677.1433   60625.8471
    10   12 Mg         0.0017     677.1433   60625.8471
    11   12 Mg         0.0018     677.1426   60625.7831
    12   12 Mg         0.0017     677.1439   60625.9015
    13   12 Mg         0.0017     677.1433   60625.8470
    14   12 Mg         0.0017     677.1433   60625.8470
    15   12 Mg         0.0017     677.1431   60625.8260
    16   12 Mg         0.0017     677.1431   60625.8259
    17   12 Mg         0.0018     677.1398   60625.5360
    18   12 Mg         0.0018     677.1398   60625.5360
    19   12 Mg         0.0018     677.1426   60625.7831
    20   12 Mg         0.0018     677.1426   60625.7830
    21   12 Mg         0.0017     677.1431   60625.8259
    22   12 Mg         0.0018     677.1398   60625.5360
    23   12 Mg         0.0018     677.1398   60625.5359
    24   12 Mg         0.0017     677.1433   60625.8470
    25   12 Mg         0.0017     677.1433   60625.8471
    26   12 Mg         0.0017     677.1449   60625.9918
    27   12 Mg         0.0017     677.1449   60625.9918
    28   12 Mg         0.0017     677.1449   60625.9918
    29   12 Mg         0.0017     677.1449   60625.9902
    30   12 Mg         0.0017     677.1447   60625.9779
    31   12 Mg         0.0017     677.1448   60625.9780
    32   12 Mg         0.0017     677.1447   60625.9779
    33   12 Mg         0.0017     677.1447   60625.9780
    34   12 Mg         0.0017     677.1447   60625.9779
    35   12 Mg         0.0017     677.1447   60625.9779
    36   12 Mg         0.0017     677.1435   60625.8656
    37   12 Mg         0.0017     677.1435   60625.8655
