-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0240    4342.2386 1048704.9211
     2   12 Mg         0.0101     676.7426   60589.9687
     3   12 Mg         0.0101     676.7428   60589.9926
     4   12 Mg         0.0101     676.7428   60589.9926
     5   12 Mg         0.0109     676.7004   60586.1965
     6   12 Mg         0.0109     676.7004   60586.1966
     7   12 Mg         0.0101     676.7426   60589.9685
     8   12 Mg         0.0101     676.7426   60589.9687
     9   12 Mg         0.0102     676.7377   60589.5329
    10   12 Mg         0.0102     676.7377   60589.5328
    11   12 Mg         0.0103     676.7317   60588.9959
    12   12 Mg         0.0101     676.7428   60589.9926
    13   12 Mg         0.0102     676.7377   60589.5324
    14   12 Mg         0.0102     676.7377   60589.5326
    15   12 Mg         0.0102     676.7355   60589.3379
    16   12 Mg         0.0102     676.7355   60589.3374
    17   12 Mg         0.0109     676.7004   60586.1968
    18   12 Mg         0.0109     676.7004   60586.1969
    19   12 Mg         0.0103     676.7317   60588.9957
    20   12 Mg         0.0103     676.7317   60588.9954
    21   12 Mg         0.0102     676.7355   60589.3373
    22   12 Mg         0.0109     676.7004   60586.1969
    23   12 Mg         0.0109     676.7004   60586.1965
    24   12 Mg         0.0102     676.7377   60589.5323
    25   12 Mg         0.0102     676.7377   60589.5331
    26   12 Mg         0.0099     676.7523   60590.8453
    27   12 Mg         0.0099     676.7523   60590.8456
    28   12 Mg         0.0099     676.7523   60590.8455
    29   12 Mg         0.0099     676.7507   60590.6997
    30   12 Mg         0.0099     676.7494   60590.5845
    31   12 Mg         0.0099     676.7494   60590.5848
    32   12 Mg         0.0099     676.7494   60590.5845
    33   12 Mg         0.0099     676.7494   60590.5846
    34   12 Mg         0.0099     676.7494   60590.5845
    35   12 Mg         0.0099     676.7494   60590.5844
    36   12 Mg         0.0101     676.7393   60589.6804
    37   12 Mg         0.0101     676.7393   60589.6799
    38   12 Mg         0.0101     676.7393   60589.6801
    39   12 Mg         0.0102     676.7333   60589.1416
    40   12 Mg         0.0102     676.7333   60589.1412
    41   12 Mg         0.0102     676.7333   60589.1415
    42   12 Mg         0.0102     676.7379   60589.5540
    43   12 Mg         0.0102     676.7379   60589.5538
