-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.2944    4342.2386 1048704.9211
     2   12 Mg         0.0979     670.6791   60047.0933
     3   12 Mg         0.0977     670.6897   60048.0490
     4   12 Mg         0.0977     670.6897   60048.0499
     5   12 Mg         0.1110     669.4108   59933.5409
     6   12 Mg         0.1110     669.4108   59933.5442
     7   12 Mg         0.0979     670.6790   60047.0882
     8   12 Mg         0.0979     670.6790   60047.0915
     9   12 Mg         0.0991     670.5629   60036.6962
    10   12 Mg         0.0991     670.5629   60036.6940
    11   12 Mg         0.1005     670.4292   60024.7200
    12   12 Mg         0.0977     670.6897   60048.0497
    13   12 Mg         0.0991     670.5628   60036.6823
    14   12 Mg         0.0991     670.5629   60036.6887
    15   12 Mg         0.0995     670.5243   60033.2407
    16   12 Mg         0.0995     670.5242   60033.2296
    17   12 Mg         0.1110     669.4109   59933.5491
    18   12 Mg         0.1110     669.4109   59933.5508
    19   12 Mg         0.1005     670.4291   60024.7159
    20   12 Mg         0.1005     670.4290   60024.7077
    21   12 Mg         0.0995     670.5242   60033.2262
    22   12 Mg         0.1110     669.4109   59933.5516
    23   12 Mg         0.1110     669.4108   59933.5424
    24   12 Mg         0.0991     670.5627   60036.6791
    25   12 Mg         0.0991     670.5630   60036.6992
    26   12 Mg         0.0950     670.9419   60070.6267
    27   12 Mg         0.0950     670.9420   60070.6344
    28   12 Mg         0.0950     670.9420   60070.6319
    29   12 Mg         0.0957     670.8797   60065.0566
    30   12 Mg         0.0960     670.8520   60062.5764
    31   12 Mg         0.0960     670.8521   60062.5816
    32   12 Mg         0.0960     670.8520   60062.5768
    33   12 Mg         0.0960     670.8520   60062.5779
    34   12 Mg         0.0960     670.8520   60062.5749
    35   12 Mg         0.0960     670.8520   60062.5743
    36   12 Mg         0.0986     670.6066   60040.6081
    37   12 Mg         0.0986     670.6065   60040.5970
