-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0047    4342.2386 1048704.9211
     2   12 Mg         0.0023     677.1174   60623.5326
     3   12 Mg         0.0023     677.1174   60623.5314
     4   12 Mg         0.0023     677.1174   60623.5314
     5   12 Mg         0.0024     677.1114   60622.9941
     6   12 Mg         0.0024     677.1114   60622.9941
     7   12 Mg         0.0023     677.1174   60623.5325
     8   12 Mg         0.0023     677.1174   60623.5325
     9   12 Mg         0.0023     677.1166   60623.4543
    10   12 Mg         0.0023     677.1166   60623.4543
    11   12 Mg         0.0023     677.1156   60623.3646
    12   12 Mg         0.0023     677.1174   60623.5314
    13   12 Mg         0.0023     677.1166   60623.4542
    14   12 Mg         0.0023     677.1166   60623.4543
    15   12 Mg         0.0023     677.1162   60623.4248
    16   12 Mg         0.0023     677.1162   60623.4247
    17   12 Mg         0.0024     677.1114   60622.9941
    18   12 Mg         0.0024     677.1114   60622.9941
    19   12 Mg         0.0023     677.1156   60623.3645
    20   12 Mg         0.0023     677.1156   60623.3645
    21   12 Mg         0.0023     677.1162   60623.4247
    22   12 Mg         0.0024     677.1114   60622.9941
    23   12 Mg         0.0024     677.1114   60622.9940
    24   12 Mg         0.0023     677.1166   60623.4542
    25   12 Mg         0.0023     677.1166   60623.4544
    26   12 Mg         0.0023     677.1189   60623.6624
    27   12 Mg         0.0023     677.1189   60623.6625
    28   12 Mg         0.0023     677.1189   60623.6625
    29   12 Mg         0.0023     677.1188   60623.6560
    30   12 Mg         0.0023     677.1186   60623.6388
    31   12 Mg         0.0023     677.1186   60623.6388
    32   12 Mg         0.0023     677.1186   60623.6388
    33   12 Mg         0.0023     677.1186   60623.6388
    34   12 Mg         0.0023     677.1186   60623.6388
    35   12 Mg         0.0023     677.1186   60623.6388
    36   12 Mg         0.0023     677.1169   60623.4802
    37   12 Mg         0.0023     677.1169   60623.4802
    38   12 Mg         0.0023     677.1169   60623.4802
    39   12 Mg         0.0023     677.1158   60623.3900
    40   12 Mg         0.0023     677.1158   60623.3900
    41   12 Mg         0.0023     677.1158   60623.3900
    42   12 Mg         0.0023     677.1166   60623.4533
    43   12 Mg         0.0023     677.1166   60623.4532
    44   12 Mg         0.0023     677.1166   60623.4532
    45   12 Mg         0.0023     677.1166   60623.4532
    46   12 Mg         0.0023     677.1166   60623.4533
    47   12 Mg         0.0023     677.1166   60623.4532
    48   12 Mg         0.0024     677.1106   60622.9221
    49   12 Mg         0.0024     677.1106   60622.9222
    50   12 Mg         0.0024     677.1106   60622.9222
    51   12 Mg         0.0023     677.1183   60623.6109
    52   12 Mg         0.0023     677.1183   60623.6109
    53   12 Mg         0.0023     677.1183   60623.6109
    54   12 Mg         0.0023     677.1183   60623.6097
    55   12 Mg         0.0023     677.1183   60623.6096
    56   12 Mg         0.0023     677.1183   60623.6096
    57   12 Mg         0.0023     677.1170   60623.4965
    58   12 Mg         0.0023     677.1170   60623.4965
    59   12 Mg         0.0023     677.1170   60623.4965
    60   12 Mg         0.0023     677.1170   60623.4965
    61   12 Mg         0.0023     677.1170   60623.4965
    62   12 Mg         0.0023     677.1170   60623.4965
    63   12 Mg         0.0023     677.1172   60623.5123
    64   12 Mg         0.0023     677.1172   60623.5123
    65   12 Mg         0.0023     677.1172   60623.5123
    66   12 Mg         0.0023     677.1172   60623.5123
    67   12 Mg         0.0023     677.1172   60623.5123
    68   12 Mg         0.0023     677.1172   60623.5123
    69   12 Mg         0.0023     677.1170   60623.4921
    70   12 Mg         0.0023     677.1170   60623.4920
    71   12 Mg         0.0023     677.1170   60623.4920
    72   12 Mg         0.0023     677.1168   60623.4784
    73   12 Mg         0.0023     677.1168   60623.4784
    74   12 Mg         0.0023     677.1168   60623.4784
    75   12 Mg         0.0023     677.1176   60623.5467
    76   12 Mg         0.0023     677.1177   60623.5554
    77   12 Mg         0.0023     677.1177   60623.5555
    78   12 Mg         0.0023     677.1178   60623.5635
    79   12 Mg         0.0023     677.1178   60623.5634
    80   12 Mg         0.0023     677.1178   60623.5634
    81   12 Mg         0.0023     677.1178   60623.5634
    82   12 Mg         0.0023     677.1178   60623.5634
    83   12 Mg         0.0023     677.1175   60623.5411
    84   12 Mg         0.0023     677.1173   60623.5174
    85   12 Mg         0.0023     677.1173   60623.5175
    86   12 Mg         0.0023     677.1178   60623.5634
    87   12 Mg         0.0023     677.1178   60623.5634
    88   12 Mg         0.0023     677.1173   60623.5234
    89   12 Mg         0.0023     677.1173   60623.5234
    90   12 Mg         0.0023     677.1170   60623.4929
    91   12 Mg         0.0023     677.1177   60623.5554
    92   12 Mg         0.0023     677.1173   60623.5174
    93   12 Mg         0.0023     677.1173   60623.5174
    94   12 Mg         0.0023     677.1170   60623.4929
    95   12 Mg         0.0023     677.1170   60623.4929
    96   12 Mg         0.0023     677.1178   60623.5635
    97   12 Mg         0.0023     677.1178   60623.5635
    98   12 Mg         0.0023     677.1173   60623.5174
    99   12 Mg         0.0023     677.1173   60623.5174
   100   12 Mg         0.0023     677.1173   60623.5234
   101   12 Mg         0.0023     677.1176   60623.5467
   102   12 Mg         0.0023     677.1168   60623.4785
   103   12 Mg         0.0023     677.1168   60623.4784
   104   12 Mg         0.0023     677.1168   60623.4784
   105   12 Mg         0.0023     677.1170   60623.4921
   106   12 Mg         0.0023     677.1170   60623.4921
   107   12 Mg         0.0023     677.1170   60623.4921
   108   12 Mg         0.0023     677.1172   60623.5123
   109   12 Mg         0.0023     677.1172   60623.5123
   110   12 Mg         0.0023     677.1172   60623.5123
   111   12 Mg         0.0023     677.1172   60623.5123
   112   12 Mg         0.0023     677.1172   60623.5123
   113   12 Mg         0.0023     677.1172   60623.5123
   114   12 Mg         0.0023     677.1170   60623.4966
   115   12 Mg         0.0023     677.1170   60623.4965
   116   12 Mg         0.0023     677.1170   60623.4966
   117   12 Mg         0.0023     677.1170   60623.4966
   118   12 Mg         0.0023     677.1170   60623.4965
   119   12 Mg         0.0023     677.1170   60623.4966
   120   12 Mg         0.0023     677.1183   60623.6097
   121   12 Mg         0.0023     677.1183   60623.6096
   122   12 Mg         0.0023     677.1183   60623.6097
   123   12 Mg         0.0023     677.1183   60623.6109
   124   12 Mg         0.0023     677.1183   60623.6109
   125   12 Mg         0.0023     677.1183   60623.6109
   126   12 Mg         0.0024     677.1106   60622.9222
   127   12 Mg         0.0024     677.1106   60622.9222
   128   12 Mg         0.0024     677.1106   60622.9222
   129   12 Mg         0.0023     677.1166   60623.4533
   130   12 Mg         0.0023     677.1166   60623.4532
   131   12 Mg         0.0023     677.1166   60623.4532
   132   12 Mg         0.0023     677.1166   60623.4532
   133   12 Mg         0.0023     677.1166   60623.4533
   134   12 Mg         0.0023     677.1166   60623.4532
   135   12 Mg         0.0023     677.1158   60623.3900
   136   12 Mg         0.0023     677.1158   60623.3900
   137   12 Mg         0.0023     677.1158   60623.3900
   138   12 Mg         0.0023     677.1169   60623.4802
   139   12 Mg         0.0023     677.1169   60623.4801
   140   12 Mg         0.0023     677.1169   60623.4802
   141   12 Mg         0.0023     677.1186   60623.6388
   142   12 Mg         0.0023     677.1186   60623.6388
   143   12 Mg         0.0023     677.1186   60623.6388
   144   12 Mg         0.0023     677.1186   60623.6388
   145   12 Mg         0.0023     677.1186   60623.6388
   146   12 Mg         0.0023     677.1186   60623.6388
   147   12 Mg         0.0023     677.1188   60623.6560
   148   12 Mg         0.0023     677.1189   60623.6625
   149   12 Mg         0.0023     677.1189   60623.6625
   150   12 Mg         0.0023     677.1189   60623.6625
--------------------------------------------------------

Atom-resolved dispersion energies:
--------------------------------------------------
     #    Z           [Hartree]      [kcal/mol]
--------------------------------------------------
     1   59 Pr  -0.21519902E-02     -1.35039421
     2   12 Mg  -0.88861346E-03     -0.55761337
     3   12 Mg  -0.88924766E-03     -0.55801133
     4   12 Mg  -0.88924638E-03     -0.55801053
     5   12 Mg  -0.95777537E-03     -0.60101312
     6   12 Mg  -0.95777437E-03     -0.60101249
     7   12 Mg  -0.88861649E-03     -0.55761526
     8   12 Mg  -0.88861464E-03     -0.55761410
     9   12 Mg  -0.89488359E-03     -0.56154793
    10   12 Mg  -0.89488538E-03     -0.56154906
    11   12 Mg  -0.90324908E-03     -0.56679736
    12   12 Mg  -0.88924690E-03     -0.55801086
    13   12 Mg  -0.89489178E-03     -0.56155307
    14   12 Mg  -0.89488781E-03     -0.56155058
    15   12 Mg  -0.89789139E-03     -0.56343536
    16   12 Mg  -0.89789768E-03     -0.56343930
    17   12 Mg  -0.95777144E-03     -0.60101065
    18   12 Mg  -0.95777095E-03     -0.60101035
    19   12 Mg  -0.90325153E-03     -0.56679889
    20   12 Mg  -0.90325597E-03     -0.56680168
    21   12 Mg  -0.89789964E-03     -0.56344053
    22   12 Mg  -0.95777011E-03     -0.60100982
    23   12 Mg  -0.95777597E-03     -0.60101350
    24   12 Mg  -0.89489340E-03     -0.56155409
    25   12 Mg  -0.89488216E-03     -0.56154703
    26   12 Mg  -0.88272332E-03     -0.55391724
    27   12 Mg  -0.88271845E-03     -0.55391419
    28   12 Mg  -0.88272015E-03     -0.55391526
    29   12 Mg  -0.87832254E-03     -0.55115571
    30   12 Mg  -0.88015359E-03     -0.55230471
    31   12 Mg  -0.88015013E-03     -0.55230255
    32   12 Mg  -0.88015303E-03     -0.55230437
    33   12 Mg  -0.88015247E-03     -0.55230401
    34   12 Mg  -0.88015425E-03     -0.55230513
    35   12 Mg  -0.88015458E-03     -0.55230534
    36   12 Mg  -0.89316079E-03     -0.56046686
    37   12 Mg  -0.89316729E-03     -0.56047094
    38   12 Mg  -0.89316413E-03     -0.56046895
    39   12 Mg  -0.90065925E-03     -0.56517221
    40   12 Mg  -0.90066454E-03     -0.56517553
    41   12 Mg  -0.90066048E-03     -0.56517299
    42   12 Mg  -0.89597986E-03     -0.56223585
    43   12 Mg  -0.89598168E-03     -0.56223699
    44   12 Mg  -0.89598281E-03     -0.56223770
    45   12 Mg  -0.89598321E-03     -0.56223795
    46   12 Mg  -0.89597791E-03     -0.56223463
    47   12 Mg  -0.89598631E-03     -0.56223990
    48   12 Mg  -0.96358173E-03     -0.60465667
    49   12 Mg  -0.96357963E-03     -0.60465534
    50   12 Mg  -0.96357928E-03     -0.60465513
    51   12 Mg  -0.88212899E-03     -0.55354430
    52   12 Mg  -0.88212760E-03     -0.55354343
    53   12 Mg  -0.88212689E-03     -0.55354298
    54   12 Mg  -0.88210461E-03     -0.55352900
    55   12 Mg  -0.88210681E-03     -0.55353038
    56   12 Mg  -0.88210568E-03     -0.55352967
    57   12 Mg  -0.89152630E-03     -0.55944120
    58   12 Mg  -0.89152958E-03     -0.55944326
    59   12 Mg  -0.89152724E-03     -0.55944179
    60   12 Mg  -0.89152651E-03     -0.55944133
    61   12 Mg  -0.89152962E-03     -0.55944328
    62   12 Mg  -0.89152733E-03     -0.55944184
    63   12 Mg  -0.89037578E-03     -0.55871924
    64   12 Mg  -0.89037971E-03     -0.55872170
    65   12 Mg  -0.89037571E-03     -0.55871919
    66   12 Mg  -0.89037573E-03     -0.55871921
    67   12 Mg  -0.89037775E-03     -0.55872048
    68   12 Mg  -0.89037477E-03     -0.55871860
    69   12 Mg  -0.89224177E-03     -0.55989016
    70   12 Mg  -0.89224495E-03     -0.55989216
    71   12 Mg  -0.89224495E-03     -0.55989216
    72   12 Mg  -0.89348666E-03     -0.56067134
    73   12 Mg  -0.89348899E-03     -0.56067281
    74   12 Mg  -0.89348891E-03     -0.56067275
    75   12 Mg  -0.88908654E-03     -0.55791023
    76   12 Mg  -0.88673285E-03     -0.55643327
    77   12 Mg  -0.88672888E-03     -0.55643078
    78   12 Mg  -0.88627087E-03     -0.55614337
    79   12 Mg  -0.88600204E-03     -0.55597467
    80   12 Mg  -0.88600029E-03     -0.55597357
    81   12 Mg  -0.88600203E-03     -0.55597467
    82   12 Mg  -0.88600125E-03     -0.55597418
    83   12 Mg  -0.88768068E-03     -0.55702804
    84   12 Mg  -0.88985244E-03     -0.55839084
    85   12 Mg  -0.88984836E-03     -0.55838828
    86   12 Mg  -0.88600014E-03     -0.55597348
    87   12 Mg  -0.88600324E-03     -0.55597543
    88   12 Mg  -0.88927693E-03     -0.55802970
    89   12 Mg  -0.88928009E-03     -0.55803168
    90   12 Mg  -0.89187036E-03     -0.55965710
    91   12 Mg  -0.88672973E-03     -0.55643131
    92   12 Mg  -0.88985062E-03     -0.55838969
    93   12 Mg  -0.88985164E-03     -0.55839033
    94   12 Mg  -0.89187348E-03     -0.55965906
    95   12 Mg  -0.89187254E-03     -0.55965847
    96   12 Mg  -0.88627188E-03     -0.55614400
    97   12 Mg  -0.88627122E-03     -0.55614359
    98   12 Mg  -0.88985449E-03     -0.55839212
    99   12 Mg  -0.88985381E-03     -0.55839170
   100   12 Mg  -0.88927805E-03     -0.55803040
   101   12 Mg  -0.88908639E-03     -0.55791013
