-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
   109   12 Mg         0.0498     674.4590   60385.5205
   110   12 Mg         0.0498     674.4591   60385.5228
   111   12 Mg         0.0498     674.4591   60385.5227
   112   12 Mg         0.0498     674.4590   60385.5215
   113   12 Mg         0.0498     674.4591   60385.5233
   114   12 Mg         0.0499     674.4476   60384.4930
   115   12 Mg         0.0499     674.4475   60384.4911
   116   12 Mg         0.0499     674.4475   60384.4924
   117   12 Mg         0.0499     674.4475   60384.4928
   118   12 Mg         0.0499     674.4475   60384.4910
   119   12 Mg         0.0499     674.4475   60384.4923
   120   12 Mg         0.0490     674.5087   60389.9708
   121   12 Mg         0.0490     674.5087   60389.9696
   122   12 Mg         0.0490     674.5087   60389.9702
   123   12 Mg         0.0490     674.5084   60389.9407
   124   12 Mg         0.0490     674.5084   60389.9414
   125   12 Mg         0.0490     674.5084   60389.9419
   126   12 Mg         0.0562     674.0268   60346.8221
   127   12 Mg         0.0562     674.0268   60346.8234
   128   12 Mg         0.0562     674.0268   60346.8237
   129   12 Mg         0.0502     674.4310   60383.0130
   130   12 Mg         0.0502     674.4310   60383.0118
   131   12 Mg         0.0502     674.4310   60383.0113
   132   12 Mg         0.0502     674.4310   60383.0110
   133   12 Mg         0.0502     674.4310   60383.0141
   134   12 Mg         0.0502     674.4310   60383.0093
   135   12 Mg         0.0508     674.3924   60379.5567
   136   12 Mg         0.0508     674.3924   60379.5536
   137   12 Mg         0.0508     674.3924   60379.5562
   138   12 Mg         0.0500     674.4412   60383.9263
   139   12 Mg         0.0500     674.4412   60383.9226
   140   12 Mg         0.0500     674.4412   60383.9244
   141   12 Mg         0.0488     674.5248   60391.4062
   142   12 Mg         0.0488     674.5248   60391.4080
   143   12 Mg         0.0488     674.5248   60391.4063
   144   12 Mg         0.0488     674.5248   60391.4067
   145   12 Mg         0.0488     674.5248   60391.4057
   146   12 Mg         0.0488     674.5248   60391.4055
   147   12 Mg         0.0486     674.5350   60392.3195
   148   12 Mg         0.0483     674.5532   60393.9505
   149   12 Mg         0.0483     674.5532   60393.9531
   150   12 Mg         0.0483     674.5532   60393.9523
--------------------------------------------------------

Atom-resolved dispersion energies:
--------------------------------------------------
     #    Z           [Hartree]      [kcal/mol]
--------------------------------------------------
     1   59 Pr  -0.17331859E-01    -10.87590544
     2   12 Mg  -0.81653271E-02     -5.12382014
     3   12 Mg  -0.81750180E-02     -5.12990126
     4   12 Mg  -0.81750058E-02     -5.12989359
     5   12 Mg  -0.85852309E-02     -5.38731375
     6   12 Mg  -0.85852272E-02     -5.38731140
     7   12 Mg  -0.81653471E-02     -5.12383268
     8   12 Mg  -0.81653354E-02     -5.12382535
     9   12 Mg  -0.82069492E-02     -5.14993839
    10   12 Mg  -0.82069635E-02     -5.14994738
    11   12 Mg  -0.82687421E-02     -5.18871402
    12   12 Mg  -0.81750110E-02     -5.12989686
    13   12 Mg  -0.82070039E-02     -5.14997272
    14   12 Mg  -0.82069765E-02     -5.14995550
    15   12 Mg  -0.82316439E-02     -5.16543455
    16   12 Mg  -0.82316848E-02     -5.16546023
    17   12 Mg  -0.85852054E-02     -5.38729775
    18   12 Mg  -0.85852045E-02     -5.38729717
    19   12 Mg  -0.82687587E-02     -5.18872439
    20   12 Mg  -0.82687865E-02     -5.18874186
    21   12 Mg  -0.82316978E-02     -5.16546836
    22   12 Mg  -0.85851980E-02     -5.38729311
    23   12 Mg  -0.85852401E-02     -5.38731951
    24   12 Mg  -0.82070136E-02     -5.14997876
    25   12 Mg  -0.82069411E-02     -5.14993330
    26   12 Mg  -0.81729375E-02     -5.12859569
    27   12 Mg  -0.81729038E-02     -5.12857457
    28   12 Mg  -0.81729163E-02     -5.12858240
    29   12 Mg  -0.80989218E-02     -5.08215015
    30   12 Mg  -0.81122775E-02     -5.09053102
    31   12 Mg  -0.81122529E-02     -5.09051557
    32   12 Mg  -0.81122725E-02     -5.09052784
    33   12 Mg  -0.81122690E-02     -5.09052564
    34   12 Mg  -0.81122809E-02     -5.09053312
    35   12 Mg  -0.81122830E-02     -5.09053444
    36   12 Mg  -0.81983879E-02     -5.14456607
    37   12 Mg  -0.81984312E-02     -5.14459325
    38   12 Mg  -0.81984105E-02     -5.14458028
    39   12 Mg  -0.82481502E-02     -5.17579237
    40   12 Mg  -0.82481851E-02     -5.17581429
    41   12 Mg  -0.82481600E-02     -5.17579854
    42   12 Mg  -0.82235179E-02     -5.16033539
    43   12 Mg  -0.82235291E-02     -5.16034245
    44   12 Mg  -0.82235371E-02     -5.16034746
    45   12 Mg  -0.82235394E-02     -5.16034889
    46   12 Mg  -0.82235048E-02     -5.16032719
    47   12 Mg  -0.82235610E-02     -5.16036245
    48   12 Mg  -0.86218182E-02     -5.41027263
    49   12 Mg  -0.86218039E-02     -5.41026365
    50   12 Mg  -0.86218025E-02     -5.41026277
    51   12 Mg  -0.81223807E-02     -5.09687084
    52   12 Mg  -0.81223708E-02     -5.09686465
    53   12 Mg  -0.81223671E-02     -5.09686228
    54   12 Mg  -0.81237111E-02     -5.09770565
    55   12 Mg  -0.81237261E-02     -5.09771508
    56   12 Mg  -0.81237183E-02     -5.09771017
    57   12 Mg  -0.81848596E-02     -5.13607694
    58   12 Mg  -0.81848813E-02     -5.13609058
    59   12 Mg  -0.81848654E-02     -5.13608056
    60   12 Mg  -0.81848605E-02     -5.13607750
    61   12 Mg  -0.81848808E-02     -5.13609023
    62   12 Mg  -0.81848659E-02     -5.13608090
    63   12 Mg  -0.81798092E-02     -5.13290778
    64   12 Mg  -0.81798364E-02     -5.13292481
    65   12 Mg  -0.81798099E-02     -5.13290821
    66   12 Mg  -0.81798091E-02     -5.13290773
    67   12 Mg  -0.81798223E-02     -5.13291602
    68   12 Mg  -0.81798037E-02     -5.13290432
    69   12 Mg  -0.81954539E-02     -5.14272494
    70   12 Mg  -0.81954746E-02     -5.14273794
    71   12 Mg  -0.81954748E-02     -5.14273808
    72   12 Mg  -0.82027274E-02     -5.14728914
    73   12 Mg  -0.82027436E-02     -5.14729934
    74   12 Mg  -0.82027435E-02     -5.14729924
    75   12 Mg  -0.81849394E-02     -5.13612700
    76   12 Mg  -0.81548150E-02     -5.11722370
    77   12 Mg  -0.81547896E-02     -5.11720771
    78   12 Mg  -0.81526560E-02     -5.11586885
    79   12 Mg  -0.81499762E-02     -5.11418731
    80   12 Mg  -0.81499657E-02     -5.11418070
    81   12 Mg  -0.81499762E-02     -5.11418728
    82   12 Mg  -0.81499720E-02     -5.11418467
    83   12 Mg  -0.81577543E-02     -5.11906809
    84   12 Mg  -0.81756151E-02     -5.13027592
    85   12 Mg  -0.81755891E-02     -5.13025964
    86   12 Mg  -0.81499633E-02     -5.11417919
    87   12 Mg  -0.81499848E-02     -5.11419269
    88   12 Mg  -0.81724902E-02     -5.12831503
    89   12 Mg  -0.81725103E-02     -5.12832762
    90   12 Mg  -0.81894248E-02     -5.13894167
    91   12 Mg  -0.81547946E-02     -5.11721088
    92   12 Mg  -0.81756048E-02     -5.13026948
    93   12 Mg  -0.81756101E-02     -5.13027277
    94   12 Mg  -0.81894455E-02     -5.13895462
    95   12 Mg  -0.81894401E-02     -5.13895122
    96   12 Mg  -0.81526625E-02     -5.11587299
    97   12 Mg  -0.81526600E-02     -5.11587140
    98   12 Mg  -0.81756290E-02     -5.13028464
    99   12 Mg  -0.81756255E-02     -5.13028247
   100   12 Mg  -0.81724980E-02     -5.12831992
   101   12 Mg  -0.81849373E-02     -5.13612571
   102   12 Mg  -0.82027038E-02     -5.14727434
   103   12 Mg  -0.82027200E-02     -5.14728454
   104   12 Mg  -0.82027199E-02     -5.14728444
   105   12 Mg  -0.81954407E-02     -5.14271670
   106   12 Mg  -0.81954614E-02     -5.14272970
   107   12 Mg  -0.81954617E-02     -5.14272984
   108   12 Mg  -0.81797973E-02     -5.13290028
   109   12 Mg  -0.81798244E-02     -5.13291730
   110   12 Mg  -0.81797979E-02     -5.13290071
   111   12 Mg  -0.81797972E-02     -5.13290023
   112   12 Mg  -0.81798104E-02     -5.13290851
   113   12 Mg  -0.81797917E-02     -5.13289682
   114   12 Mg  -0.81848382E-02     -5.13606349
   115   12 Mg  -0.81848599E-02     -5.13607712
   116   12 Mg  -0.81848439E-02     -5.13606711
   117   12 Mg  -0.81848391E-02     -5.13606405
   118   12 Mg  -0.81848593E-02     -5.13607678
