-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0538    4342.2386 1048704.9211
     2   12 Mg         0.0209     676.1849   60540.0369
     3   12 Mg         0.0208     676.1860   60540.1394
     4   12 Mg         0.0208     676.1860   60540.1396
     5   12 Mg         0.0229     676.0741   60530.1217
     6   12 Mg         0.0229     676.0741   60530.1219
     7   12 Mg         0.0209     676.1848   60540.0364
     8   12 Mg         0.0209     676.1849   60540.0367
     9   12 Mg         0.0211     676.1732   60538.9891
    10   12 Mg         0.0211     676.1731   60538.9888
    11   12 Mg         0.0213     676.1592   60537.7411
    12   12 Mg         0.0208     676.1860   60540.1395
    13   12 Mg         0.0211     676.1731   60538.9876
    14   12 Mg         0.0211     676.1731   60538.9883
    15   12 Mg         0.0212     676.1685   60538.5694
    16   12 Mg         0.0212     676.1685   60538.5683
    17   12 Mg         0.0229     676.0741   60530.1224
    18   12 Mg         0.0229     676.0741   60530.1225
    19   12 Mg         0.0213     676.1592   60537.7406
    20   12 Mg         0.0213     676.1592   60537.7398
    21   12 Mg         0.0212     676.1684   60538.5679
    22   12 Mg         0.0229     676.0741   60530.1226
    23   12 Mg         0.0229     676.0741   60530.1217
    24   12 Mg         0.0211     676.1731   60538.9873
    25   12 Mg         0.0211     676.1732   60538.9894
    26   12 Mg         0.0204     676.2106   60542.3402
    27   12 Mg         0.0204     676.2106   60542.3410
    28   12 Mg         0.0204     676.2106   60542.3408
    29   12 Mg         0.0205     676.2056   60541.8898
    30   12 Mg         0.0205     676.2025   60541.6178
    31   12 Mg         0.0205     676.2025   60541.6183
    32   12 Mg         0.0205     676.2025   60541.6178
    33   12 Mg         0.0205     676.2025   60541.6179
    34   12 Mg         0.0205     676.2025   60541.6176
    35   12 Mg         0.0205     676.2025   60541.6176
    36   12 Mg         0.0210     676.1771   60539.3406
    37   12 Mg         0.0210     676.1771   60539.3394
    38   12 Mg         0.0210     676.1771   60539.3400
    39   12 Mg         0.0213     676.1625   60538.0342
    40   12 Mg         0.0213     676.1625   60538.0333
    41   12 Mg         0.0213     676.1625   60538.0340
    42   12 Mg         0.0211     676.1740   60539.0685
    43   12 Mg         0.0211     676.1740   60539.0681
    44   12 Mg         0.0211     676.1740   60539.0680
    45   12 Mg         0.0211     676.1740   60539.0679
