-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0040    4342.2386 1048704.9211
     2   12 Mg         0.0020     677.1319   60624.8302
     3   12 Mg         0.0020     677.1319   60624.8286
     4   12 Mg         0.0020     677.1319   60624.8286
     5   12 Mg         0.0021     677.1270   60624.3871
     6   12 Mg         0.0021     677.1270   60624.3871
     7   12 Mg         0.0020     677.1319   60624.8302
     8   12 Mg         0.0020     677.1319   60624.8302
     9   12 Mg         0.0020     677.1312   60624.7641
    10   12 Mg         0.0020     677.1312   60624.7641
    11   12 Mg         0.0020     677.1303   60624.6886
    12   12 Mg         0.0020     677.1319   60624.8286
    13   12 Mg         0.0020     677.1312   60624.7640
    14   12 Mg         0.0020     677.1312   60624.7641
    15   12 Mg         0.0020     677.1309   60624.7392
    16   12 Mg         0.0020     677.1309   60624.7392
    17   12 Mg         0.0021     677.1270   60624.3872
    18   12 Mg         0.0021     677.1270   60624.3872
    19   12 Mg         0.0020     677.1303   60624.6886
    20   12 Mg         0.0020     677.1303   60624.6885
    21   12 Mg         0.0020     677.1309   60624.7392
    22   12 Mg         0.0021     677.1270   60624.3872
    23   12 Mg         0.0021     677.1270   60624.3871
    24   12 Mg         0.0020     677.1312   60624.7640
    25   12 Mg         0.0020     677.1312   60624.7641
    26   12 Mg         0.0020     677.1331   60624.9370
    27   12 Mg         0.0020     677.1331   60624.9370
    28   12 Mg         0.0020     677.1331   60624.9370
    29   12 Mg         0.0020     677.1331   60624.9334
    30   12 Mg         0.0020     677.1329   60624.9189
    31   12 Mg         0.0020     677.1329   60624.9189
    32   12 Mg         0.0020     677.1329   60624.9189
    33   12 Mg         0.0020     677.1329   60624.9189
    34   12 Mg         0.0020     677.1329   60624.9189
    35   12 Mg         0.0020     677.1329   60624.9189
    36   12 Mg         0.0020     677.1314   60624.7859
    37   12 Mg         0.0020     677.1314   60624.7859
    38   12 Mg         0.0020     677.1314   60624.7859
    39   12 Mg         0.0020     677.1306   60624.7103
    40   12 Mg         0.0020     677.1306   60624.7103
    41   12 Mg         0.0020     677.1306   60624.7103
    42   12 Mg         0.0020     677.1312   60624.7628
    43   12 Mg         0.0020     677.1312   60624.7628
    44   12 Mg         0.0020     677.1312   60624.7628
    45   12 Mg         0.0020     677.1312   60624.7628
    46   12 Mg         0.0020     677.1312   60624.7628
    47   12 Mg         0.0020     677.1312   60624.7627
    48   12 Mg         0.0021     677.1263   60624.3272
    49   12 Mg         0.0021     677.1263   60624.3272
    50   12 Mg         0.0021     677.1263   60624.3272
    51   12 Mg         0.0020     677.1327   60624.8957
    52   12 Mg         0.0020     677.1327   60624.8957
    53   12 Mg         0.0020     677.1327   60624.8957
    54   12 Mg         0.0020     677.1326   60624.8946
    55   12 Mg         0.0020     677.1326   60624.8946
    56   12 Mg         0.0020     677.1326   60624.8946
    57   12 Mg         0.0020     677.1316   60624.7999
