-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0405    4342.2386 1048704.9211
     2   12 Mg         0.0162     676.4322   60562.1794
     3   12 Mg         0.0162     676.4330   60562.2522
     4   12 Mg         0.0162     676.4330   60562.2522
     5   12 Mg         0.0177     676.3543   60555.2082
     6   12 Mg         0.0177     676.3543   60555.2083
     7   12 Mg         0.0162     676.4322   60562.1790
     8   12 Mg         0.0162     676.4322   60562.1793
     9   12 Mg         0.0163     676.4237   60561.4246
    10   12 Mg         0.0163     676.4237   60561.4244
    11   12 Mg         0.0165     676.4136   60560.5197
    12   12 Mg         0.0162     676.4330   60562.2522
    13   12 Mg         0.0163     676.4237   60561.4235
    14   12 Mg         0.0163     676.4237   60561.4240
    15   12 Mg         0.0164     676.4203   60561.1133
    16   12 Mg         0.0164     676.4203   60561.1125
    17   12 Mg         0.0177     676.3543   60555.2087
    18   12 Mg         0.0177     676.3543   60555.2088
    19   12 Mg         0.0165     676.4136   60560.5194
    20   12 Mg         0.0165     676.4136   60560.5188
    21   12 Mg         0.0164     676.4203   60561.1123
    22   12 Mg         0.0177     676.3543   60555.2089
    23   12 Mg         0.0177     676.3543   60555.2081
    24   12 Mg         0.0163     676.4237   60561.4233
    25   12 Mg         0.0163     676.4237   60561.4248
    26   12 Mg         0.0158     676.4505   60563.8215
    27   12 Mg         0.0158     676.4505   60563.8221
    28   12 Mg         0.0158     676.4505   60563.8219
    29   12 Mg         0.0159     676.4471   60563.5175
    30   12 Mg         0.0159     676.4449   60563.3181
    31   12 Mg         0.0159     676.4449   60563.3185
    32   12 Mg         0.0159     676.4449   60563.3181
    33   12 Mg         0.0159     676.4449   60563.3182
    34   12 Mg         0.0159     676.4449   60563.3180
    35   12 Mg         0.0159     676.4449   60563.3180
    36   12 Mg         0.0163     676.4265   60561.6723
