-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0067    4342.2386 1048704.9211
     2   12 Mg         0.0032     677.0762   60619.8361
     3   12 Mg         0.0032     677.0762   60619.8366
     4   12 Mg         0.0032     677.0762   60619.8367
     5   12 Mg         0.0034     677.0673   60619.0454
     6   12 Mg         0.0034     677.0673   60619.0454
     7   12 Mg         0.0032     677.0761   60619.8360
     8   12 Mg         0.0032     677.0761   60619.8361
     9   12 Mg         0.0032     677.0749   60619.7240
    10   12 Mg         0.0032     677.0749   60619.7239
    11   12 Mg         0.0032     677.0740   60619.6477
    12   12 Mg         0.0032     677.0762   60619.8366
    13   12 Mg         0.0032     677.0749   60619.7238
    14   12 Mg         0.0032     677.0749   60619.7239
    15   12 Mg         0.0032     677.0744   60619.6789
    16   12 Mg         0.0032     677.0744   60619.6788
    17   12 Mg         0.0034     677.0673   60619.0454
    18   12 Mg         0.0034     677.0673   60619.0455
    19   12 Mg         0.0032     677.0740   60619.6476
    20   12 Mg         0.0032     677.0740   60619.6476
    21   12 Mg         0.0032     677.0744   60619.6787
    22   12 Mg         0.0034     677.0673   60619.0455
    23   12 Mg         0.0034     677.0673   60619.0454
    24   12 Mg         0.0032     677.0749   60619.7238
    25   12 Mg         0.0032     677.0749   60619.7240
    26   12 Mg         0.0031     677.0784   60620.0334
    27   12 Mg         0.0031     677.0784   60620.0334
    28   12 Mg         0.0031     677.0784   60620.0334
    29   12 Mg         0.0031     677.0781   60620.0151
    30   12 Mg         0.0031     677.0778   60619.9824
    31   12 Mg         0.0031     677.0778   60619.9825
    32   12 Mg         0.0031     677.0778   60619.9824
    33   12 Mg         0.0031     677.0778   60619.9825
    34   12 Mg         0.0031     677.0778   60619.9824
    35   12 Mg         0.0031     677.0778   60619.9824
    36   12 Mg         0.0032     677.0753   60619.7596
    37   12 Mg         0.0032     677.0753   60619.7594
    38   12 Mg         0.0032     677.0753   60619.7595
    39   12 Mg         0.0032     677.0738   60619.6287
    40   12 Mg         0.0032     677.0738   60619.6286
    41   12 Mg         0.0032     677.0738   60619.6287
    42   12 Mg         0.0032     677.0750   60619.7367
    43   12 Mg         0.0032     677.0750   60619.7367
    44   12 Mg         0.0032     677.0750   60619.7367
    45   12 Mg         0.0032     677.0750   60619.7367
    46   12 Mg         0.0032     677.0750   60619.7368
    47   12 Mg         0.0032     677.0750   60619.7366
