-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0121    4342.2386 1048704.9211
     2   12 Mg         0.0054     676.9699   60610.3229
     3   12 Mg         0.0054     676.9700   60610.3295
     4   12 Mg         0.0054     676.9700   60610.3295
     5   12 Mg         0.0058     676.9512   60608.6515
     6   12 Mg         0.0058     676.9512   60608.6516
     7   12 Mg         0.0054     676.9699   60610.3228
     8   12 Mg         0.0054     676.9699   60610.3229
     9   12 Mg         0.0054     676.9676   60610.1146
    10   12 Mg         0.0054     676.9676   60610.1145
    11   12 Mg         0.0055     676.9649   60609.8712
    12   12 Mg         0.0054     676.9700   60610.3295
    13   12 Mg         0.0054     676.9676   60610.1143
    14   12 Mg         0.0054     676.9676   60610.1145
    15   12 Mg         0.0055     676.9667   60610.0324
    16   12 Mg         0.0055     676.9666   60610.0322
    17   12 Mg         0.0058     676.9512   60608.6516
    18   12 Mg         0.0058     676.9512   60608.6517
    19   12 Mg         0.0055     676.9648   60609.8711
    20   12 Mg         0.0055     676.9648   60609.8710
    21   12 Mg         0.0055     676.9666   60610.0322
    22   12 Mg         0.0058     676.9512   60608.6517
    23   12 Mg         0.0058     676.9512   60608.6515
    24   12 Mg         0.0054     676.9676   60610.1143
    25   12 Mg         0.0054     676.9676   60610.1146
    26   12 Mg         0.0053     676.9743   60610.7177
    27   12 Mg         0.0053     676.9743   60610.7179
    28   12 Mg         0.0053     676.9743   60610.7178
    29   12 Mg         0.0053     676.9737   60610.6654
    30   12 Mg         0.0053     676.9731   60610.6078
    31   12 Mg         0.0053     676.9731   60610.6079
    32   12 Mg         0.0053     676.9731   60610.6078
    33   12 Mg         0.0053     676.9731   60610.6078
    34   12 Mg         0.0053     676.9731   60610.6077
    35   12 Mg         0.0053     676.9731   60610.6077
    36   12 Mg         0.0054     676.9683   60610.1824
    37   12 Mg         0.0054     676.9683   60610.1822
    38   12 Mg         0.0054     676.9683   60610.1823
    39   12 Mg         0.0055     676.9652   60609.9064
    40   12 Mg         0.0055     676.9652   60609.9063
    41   12 Mg         0.0055     676.9652   60609.9064
    42   12 Mg         0.0054     676.9676   60610.1186
    43   12 Mg         0.0054     676.9676   60610.1185
    44   12 Mg         0.0054     676.9676   60610.1185
    45   12 Mg         0.0054     676.9676   60610.1185
    46   12 Mg         0.0054     676.9676   60610.1187
    47   12 Mg         0.0054     676.9676   60610.1184
    48   12 Mg         0.0058     676.9493   60608.4770
    49   12 Mg         0.0058     676.9493   60608.4771
    50   12 Mg         0.0058     676.9493   60608.4771
    51   12 Mg         0.0054     676.9722   60610.5322
    52   12 Mg         0.0054     676.9722   60610.5322
    53   12 Mg         0.0054     676.9722   60610.5322
    54   12 Mg         0.0054     676.9723   60610.5376
    55   12 Mg         0.0054     676.9723   60610.5376
    56   12 Mg         0.0054     676.9723   60610.5376
    57   12 Mg         0.0054     676.9688   60610.2242
    58   12 Mg         0.0054     676.9688   60610.2241
    59   12 Mg         0.0054     676.9688   60610.2242
    60   12 Mg         0.0054     676.9688   60610.2242
    61   12 Mg         0.0054     676.9688   60610.2241
    62   12 Mg         0.0054     676.9688   60610.2242
    63   12 Mg         0.0054     676.9694   60610.2768
    64   12 Mg         0.0054     676.9694   60610.2767
    65   12 Mg         0.0054     676.9694   60610.2768
    66   12 Mg         0.0054     676.9694   60610.2768
    67   12 Mg         0.0054     676.9694   60610.2767
    68   12 Mg         0.0054     676.9694   60610.2768
    69   12 Mg         0.0054     676.9687   60610.2177
    70   12 Mg         0.0054     676.9687   60610.2176
    71   12 Mg         0.0054     676.9687   60610.2176
    72   12 Mg         0.0054     676.9682   60610.1717
    73   12 Mg         0.0054     676.9682   60610.1716
    74   12 Mg         0.0054     676.9682   60610.1717
    75   12 Mg         0.0054     676.9705   60610.3814
    76   12 Mg         0.0054     676.9706   60610.3889
    77   12 Mg         0.0054     676.9706   60610.3890
    78   12 Mg         0.0054     676.9709   60610.4129
    79   12 Mg         0.0054     676.9709   60610.4098
    80   12 Mg         0.0054     676.9709   60610.4099
    81   12 Mg         0.0054     676.9709   60610.4098
    82   12 Mg         0.0054     676.9709   60610.4098
