-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.4418    4342.2386 1048704.9211
     2   12 Mg         0.1422     665.8886   59618.1953
     3   12 Mg         0.1421     665.9129   59620.3696
     4   12 Mg         0.1421     665.9129   59620.3713
     5   12 Mg         0.1624     663.2008   59377.5476
     6   12 Mg         0.1624     663.2008   59377.5550
     7   12 Mg         0.1422     665.8885   59618.1848
     8   12 Mg         0.1422     665.8886   59618.1915
     9   12 Mg         0.1441     665.6515   59596.9700
    10   12 Mg         0.1441     665.6515   59596.9656
    11   12 Mg         0.1463     665.3808   59572.7306
    12   12 Mg         0.1421     665.9129   59620.3709
    13   12 Mg         0.1441     665.6512   59596.9417
    14   12 Mg         0.1441     665.6514   59596.9547
    15   12 Mg         0.1448     665.5722   59589.8645
    16   12 Mg         0.1448     665.5719   59589.8419
    17   12 Mg         0.1624     663.2010   59377.5652
    18   12 Mg         0.1624     663.2010   59377.5690
    19   12 Mg         0.1463     665.3807   59572.7222
    20   12 Mg         0.1463     665.3805   59572.7053
    21   12 Mg         0.1448     665.5718   59589.8349
    22   12 Mg         0.1624     663.2010   59377.5704
    23   12 Mg         0.1624     663.2008   59377.5514
    24   12 Mg         0.1441     665.6511   59596.9351
    25   12 Mg         0.1441     665.6516   59596.9761
    26   12 Mg         0.1379     666.4286   59666.5445
    27   12 Mg         0.1379     666.4288   59666.5599
    28   12 Mg         0.1379     666.4287   59666.5549
    29   12 Mg         0.1390     666.2929   59654.3945
    30   12 Mg         0.1394     666.2387   59649.5395
    31   12 Mg         0.1394     666.2388   59649.5500
    32   12 Mg         0.1394     666.2387   59649.5403
    33   12 Mg         0.1394     666.2387   59649.5426
    34   12 Mg         0.1394     666.2387   59649.5365
    35   12 Mg         0.1394     666.2386   59649.5354
    36   12 Mg         0.1434     665.7417   59605.0406
    37   12 Mg         0.1434     665.7414   59605.0181
    38   12 Mg         0.1434     665.7416   59605.0294
    39   12 Mg         0.1457     665.4483   59578.7714
    40   12 Mg         0.1457     665.4481   59578.7525
    41   12 Mg         0.1457     665.4482   59578.7682
    42   12 Mg         0.1439     665.6834   59599.8262
    43   12 Mg         0.1439     665.6834   59599.8191
    44   12 Mg         0.1439     665.6833   59599.8156
    45   12 Mg         0.1439     665.6833   59599.8140
    46   12 Mg         0.1439     665.6835   59599.8329
    47   12 Mg         0.1439     665.6832   59599.8039
    48   12 Mg         0.1644     662.9164   59352.0898
    49   12 Mg         0.1644     662.9165   59352.0979
    50   12 Mg         0.1644     662.9165   59352.1002
    51   12 Mg         0.1402     666.1427   59640.9460
    52   12 Mg         0.1402     666.1428   59640.9502
    53   12 Mg         0.1402     666.1428   59640.9534
    54   12 Mg         0.1402     666.1475   59641.3783
    55   12 Mg         0.1402     666.1475   59641.3710
    56   12 Mg         0.1402     666.1475   59641.3747
    57   12 Mg         0.1431     665.7793   59608.4056
    58   12 Mg         0.1431     665.7791   59608.3942
    59   12 Mg         0.1431     665.7792   59608.4019
    60   12 Mg         0.1431     665.7793   59608.4046
    61   12 Mg         0.1431     665.7791   59608.3935
    62   12 Mg         0.1431     665.7792   59608.4016
    63   12 Mg         0.1426     665.8507   59614.7999
    64   12 Mg         0.1426     665.8505   59614.7872
    65   12 Mg         0.1426     665.8507   59614.8010
    66   12 Mg         0.1426     665.8507   59614.8003
    67   12 Mg         0.1426     665.8506   59614.7932
    68   12 Mg         0.1426     665.8507   59614.8043
    69   12 Mg         0.1430     665.7995   59610.2141
    70   12 Mg         0.1430     665.7993   59610.2028
    71   12 Mg         0.1430     665.7993   59610.2029
    72   12 Mg         0.1434     665.7450   59605.3375
    73   12 Mg         0.1434     665.7449   59605.3300
    74   12 Mg         0.1434     665.7449   59605.3306
    75   12 Mg         0.1413     666.0046   59628.5833
    76   12 Mg         0.1415     665.9796   59626.3433
    77   12 Mg         0.1415     665.9798   59626.3575
    78   12 Mg         0.1413     666.0063   59628.7317
    79   12 Mg         0.1413     666.0029   59628.4286
    80   12 Mg         0.1413     666.0030   59628.4354
    81   12 Mg         0.1413     666.0029   59628.4286
    82   12 Mg         0.1413     666.0029   59628.4321
    83   12 Mg         0.1420     665.9166   59620.6993
    84   12 Mg         0.1425     665.8586   59615.5072
    85   12 Mg         0.1425     665.8587   59615.5222
    86   12 Mg         0.1413     666.0030   59628.4349
    87   12 Mg         0.1413     666.0029   59628.4249
    88   12 Mg         0.1423     665.8845   59617.8281
    89   12 Mg         0.1423     665.8844   59617.8166
    90   12 Mg         0.1431     665.7846   59608.8791
    91   12 Mg         0.1415     665.9797   59626.3542
    92   12 Mg         0.1425     665.8587   59615.5150
    93   12 Mg         0.1425     665.8586   59615.5104
    94   12 Mg         0.1431     665.7844   59608.8682
    95   12 Mg         0.1431     665.7845   59608.8720
    96   12 Mg         0.1413     666.0063   59628.7282
