-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.0726    4342.2386 1048704.9211
     2   12 Mg         0.0274     675.8265   60507.9531
     3   12 Mg         0.0273     675.8282   60508.1019
     4   12 Mg         0.0273     675.8282   60508.1020
     5   12 Mg         0.0302     675.6641   60493.4100
     6   12 Mg         0.0302     675.6641   60493.4104
     7   12 Mg         0.0274     675.8265   60507.9523
     8   12 Mg         0.0274     675.8265   60507.9528
     9   12 Mg         0.0277     675.8098   60506.4547
    10   12 Mg         0.0277     675.8098   60506.4544
    11   12 Mg         0.0280     675.7900   60504.6818
    12   12 Mg         0.0273     675.8282   60508.1020
    13   12 Mg         0.0277     675.8097   60506.4527
    14   12 Mg         0.0277     675.8098   60506.4537
    15   12 Mg         0.0278     675.8033   60505.8722
    16   12 Mg         0.0278     675.8032   60505.8706
    17   12 Mg         0.0302     675.6641   60493.4110
    18   12 Mg         0.0302     675.6641   60493.4113
    19   12 Mg         0.0280     675.7900   60504.6812
    20   12 Mg         0.0280     675.7899   60504.6800
    21   12 Mg         0.0278     675.8032   60505.8701
    22   12 Mg         0.0302     675.6641   60493.4114
    23   12 Mg         0.0302     675.6641   60493.4100
    24   12 Mg         0.0277     675.8097   60506.4523
    25   12 Mg         0.0277     675.8098   60506.4552
    26   12 Mg         0.0267     675.8637   60511.2789
    27   12 Mg         0.0267     675.8637   60511.2801
    28   12 Mg         0.0267     675.8637   60511.2797
    29   12 Mg         0.0268     675.8560   60510.5952
    30   12 Mg         0.0269     675.8517   60510.2128
    31   12 Mg         0.0269     675.8518   60510.2136
    32   12 Mg         0.0269     675.8517   60510.2129
    33   12 Mg         0.0269     675.8517   60510.2130
