Symbol_x,Structure,Total Sites_x,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume_x,mid_x,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Volume_y,mid_y,Reduced Formula,req,Anion Site,Structure_SG
O,K2 O1,3,2.0,1.0,0.0255323077842037,0.0085107692614012,0.0127661538921018,0.0255323077842037,83.69443756433274,1223784,K2 O1,O,15.999,152.0,3.44,13.618,1.461,5.3,8.51076926140125,12.766153892101876,0.6666666666666666,0.3333333333333333,0.0255323077842037,0.0003050657669403,0.3050657669403421,P4/mmm,123,3,83.69443756433274,1223784,K2O,27.89814585477758,0.5,K-O0.5
O,K4 O2,6,4.0,2.0,0.0482181105391745,0.008036351756529,0.0120545276347936,0.0241090552695872,153.11946775886938,998915,K4 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,8.036351756529085,12.054527634793626,0.6666666666666666,0.3333333333333333,0.0241090552695872,0.0003149051602968,0.314905160296846,Pnnm,58,6,153.11946775886938,998915,K2O,25.519911293144897,0.5,K-O0.5
O,K6 O3,9,6.0,3.0,0.0707784919913269,0.0078642768879252,0.0117964153318878,0.0235928306637756,175.62937358728178,998929,K6 O3,O,15.999,152.0,3.44,13.618,1.461,5.3,7.864276887925221,11.796415331887832,0.6666666666666666,0.3333333333333333,0.0235928306637756,0.0004029991711844,0.4029991711844972,P1,1,9,175.62937358728178,998929,K2O,19.51437484303131,0.5,K-O0.5
O,K4 O2,6,4.0,2.0,0.046502742348169,0.0077504570580281,0.0116256855870422,0.0232513711740845,131.166308381891,1975124,K4 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,7.750457058028168,11.625685587042252,0.6666666666666666,0.3333333333333333,0.0232513711740845,0.0003545326762782,0.3545326762782418,P2_1,4,6,131.166308381891,1975124,K2O,21.861051396981836,0.5,K-O0.5
O,K16 O8,24,16.0,8.0,0.1787765332802585,0.0074490222200107,0.0111735333300161,0.0223470666600323,533.7854636907763,776016,K16 O8,O,15.999,152.0,3.44,13.618,1.461,5.3,7.449022220010771,11.173533330016156,0.6666666666666666,0.3333333333333333,0.0223470666600323,0.000334922071583,0.3349220715830964,Pbca,61,24,533.7854636907763,776016,K2O,22.241060987115677,0.5,K-O0.5
O,K16 O8,24,16.0,8.0,0.1767813300860665,0.0073658887535861,0.0110488331303791,0.0220976662607583,584.4615437466448,776104,K16 O8,O,15.999,152.0,3.44,13.618,1.461,5.3,7.365888753586105,11.048833130379156,0.6666666666666666,0.3333333333333333,0.0220976662607583,0.0003024687115474,0.3024687115474248,P4_2/nmc,137,24,584.4615437466448,776104,K2O,24.352564322776868,0.5,K-O0.5
O,K4 O2,6,4.0,2.0,0.0413912007188833,0.0068985334531472,0.0103478001797208,0.0206956003594416,182.40890159011263,684904,K4 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,6.898533453147226,10.34780017972084,0.6666666666666666,0.3333333333333333,0.0206956003594416,0.0002269143685317,0.2269143685317106,C2/c,15,6,182.40890159011263,684904,K2O,30.401483598352105,0.5,K-O0.5
O,K4 O2,6,4.0,2.0,0.0405012673391836,0.0067502112231972,0.0101253168347959,0.0202506336695918,175.82993604491847,936219,K4 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,6.750211223197268,10.1253168347959,0.6666666666666666,0.3333333333333333,0.0202506336695918,0.0002303434116522,0.2303434116522509,P-1,2,6,175.82993604491847,936219,K2O,29.304989340819745,0.5,K-O0.5
O,K16 O8,24,16.0,8.0,0.158350695354119,0.0065979456397549,0.0098969184596324,0.0197938369192648,551.8742675814266,1974672,K16 O8,O,15.999,152.0,3.44,13.618,1.461,5.3,6.5979456397549585,9.896918459632438,0.6666666666666666,0.3333333333333333,0.0197938369192648,0.0002869325581134,0.2869325581134385,P4_2/nmc,137,24,551.8742675814266,1974672,K2O,22.994761149226107,0.5,K-O0.5
O,K4 O2,6,4.0,2.0,0.0390305881985315,0.0065050980330885,0.0097576470496328,0.0195152940992657,145.56083105082163,998914,K4 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,6.505098033088584,9.757647049632876,0.6666666666666666,0.3333333333333333,0.0195152940992657,0.0002681393608209,0.2681393608209355,C2/m,12,6,145.56083105082163,998914,K2O,24.260138508470273,0.5,K-O0.5
