
cell_length,energy,E-dispersion
13.4092178344999997,-.32961453E+02,-0.25788
14.4092178344999997,-.33063157E+02,-0.27048
15.4092178344999997,-.33074162E+02,-0.27474
16.4092178345000015,-.33054241E+02,-0.27548
17.4092178345000015,-.33024309E+02,-0.27293
18.9092178345000015,-.32979762E+02,-0.26208
19.8092178345000001,-.32956968E+02,-0.25292
20.7092178344999986,-.32936308E+02,-0.24325
21.6092178345000008,-.32918427E+02,-0.23377
22.5092178344999994,-.32904198E+02,-0.22467
23.4092178345000015,-.32890512E+02,-0.21590
24.4092178345000015,-.32876706E+02,-0.20657
25.4092178345000015,-.32864073E+02,-0.19783
26.4092178345000015,-.32854581E+02,-0.18987
27.4092178345000015,-.32845783E+02,-0.18284
28.4092178345000015,-.32838971E+02,-0.17674
29.4092178345000015,-.32833381E+02,-0.17151
30.4092178345000015,-.32827973E+02,-0.16707
31.4092178345000015,-.32823406E+02,-0.16329
32.4092178344999979,-.32820182E+02,-0.16007
33.4092178344999979,-.32816952E+02,-0.15732
36.9092178344999979,-.32809672E+02,-0.15043
38.4092178344999979,-.32812158E+02,-0.14840
39.9092178344999979,-.32806309E+02,-0.14673
41.4092178344999979,-.32804388E+02,-0.14537
42.9092178344999979,-.32802819E+02,-0.14424
44.4092178344999979,-.32802112E+02,-0.14330
45.9092178344999979,-.32800683E+02,-0.14251
47.4092178344999979,-.32800652E+02,-0.14184
48.9092178344999979,-.32800377E+02,-0.14128
70.4092178344999979,-.32797436E+02,-0.13808
